page 2	社評歐局外新攻勢
page 3	日軍企圖進犯福州浙東戰事愈趨猛烈紹興蕭山一帶日軍結集逾萬我軍分頭迎擊形勢漸見穩定
page 3	滬租界納稅外人竟團擅改地皮章程工部局大廈突施行嚴重戒備
page 3	日將加緊壓迫越南
page 3	中印公路籌備興築測勘隊月杪出發
page 3	粵積極加強軍事準備調訓將領補充部隊
page 3	遠東紅軍傳將調西部邊境經西比利亞鐵路旅行護照上海德總領事已暫停簽發
page 3	日報狂叫指摘英美阻日南侵
page 3	後方增產運動二
page 3	汪行又一嘍囉昨被擊畢命放槍者被逮捕
page 3	顧維鈞大使啟程往倫敦魏道明將赴維希
page 3	中樞紀念週馮委員講解國父遺教
page 3	美擅香山之友會籌款援助中國難民
page 3	澳當局闢謠中英美澳印荷締約說係日方捏造並無根據
page 3	海外部長劉維熾視事該部主任秘書由李綺庵擔任
page 3	滬婦孺收容所發生爆炸炸傷難童四人
page 3	緬印兩要員抵渝觀光曾謁蔣委員長致敬中緬文協設宴歡迎
page 3	陸豐縣民恨日刺骨協助大軍驅除侵略者
page 3	蟻光炎家屬捐資獎學僑委會函予嘉勉
page 3	蘇日簽約經過松岡自謂事出意外十分鍾內草草成交
page 3	詹森大使在渝演講中英美共同努力為民主主義奮鬥
page 3	文藝獎助金管委會開會徵求作品編纂叢書
page 3	地理研究所組考察團出發福建考察
page 3	財部令滬四行儘速恢復營業防範恐佈保障行員措施政府當局業經加以和籌劃
page 3	滬煤荒嚴重電費陸續增加
page 3	社教講習會教部令各省舉辦
page 3	日陸軍經理部舉行會議興亞院訓練浪人
page 3	羅斯福公子即將來華關於渠此次東來任務華盛頓即將發表聲明
page 3	奧特返東京
page 3	前美艦總司令顏露爾傳將任駐菲專員
page 4	巴爾幹局勢仍嚴重德軍進攻益見銳利希軍主力正掩護撤退新陣地部署已告完竣
page 4	希王鼓勵國民
page 4	土邊疏散民眾
page 4	傳德曾電貝當願恢復合作惟以拉伐爾入閣為條件西閣討論國際形勢
page 4	美總統向醫界呼籲為英醫院自動服務
page 4	近東的鎖鑰伊拉克
page 4	英王長女生辰將承襲王室珍飾一套
page 4	希特勒在東南歐度過五二生辰海陸軍司令發告軍士書羅馬電台發生阿諛廣播
page 4	印度孟買發生暴動局勢已漸平息
page 4	英海相演講大西洋之戰大西洋之狼已被剷除護航驅逐艦已大見增加
page 4	美加動員全部資源加緊國防生產藉以保護北美及援助民主國美加當局已擬就原則
page 4	喪失了自由的羅國德以重建鐵衛軍為威脅向安東尼斯科苛刻要求
page 4	教皇演說世界需要忠義及仁愛摒棄兇惡造成之光榮
page 4	北非英空軍襲德義根據地德軍屢攻多布魯克不逞坦克卅架被毀損失千人
page 4	羅馬之祝詞
page 4	松岡得意忘形
page 5	軍委會頒行辦法厲行公務員考績分工作操行學識三項
page 5	恭城蒙山各界熱烈歡送新兵桂林市民梁紹才慷慨從軍
page 5	西康日記第十五編由麗江返昆明
page 5	粵生產教育增加職校班次實施勞動訓練各方面力加改進中
page 5	財廳派員複查南路稅務
page 5	淪陷區外商商業已無插足餘地馬歇爾在滬英商年會中演講中國商人正常貿易摧殘殆盡
page 5	南寧恢復繁榮一般振務已達到要求屈映光視察歸來談片
page 6	本港防務實力雄厚縱遭遇戰事亦足可應付各民眾組織仍積極擴編
page 6	華人代表譚雅士對利息稅之批評利率高低受供求律支配郭泉談將促使資金外流
page 6	港督電賀英公主壽辰
page 6	王揆生談閩省主要賑務解決福州米荒救濟漁民在港接洽圓滿月底北返
page 6	模型飛機協會昨午招待各界五月中旬展覽飛機模型七月舉行二次公開比賽
page 6	柴薪源源運港批發價抵減零售價不動統制專員嚴禁柴商壟斷
page 6	警察局接辦防奸隊以俄籍警員為統領最初由韓斯主理之防奸
page 6	大埔道築路工程刻在順利進行中
page 6	大嶼山請地者逾三百人
page 6	海軍當局定期演習演習期內將發警報
page 6	馮鋼百作品中華書局借往陳列
page 6	市區官地須建高樓補救地皮缺乏狀態
page 6	中化分會二十四日會員聚餐同時舉行學術演講
page 6	健康運動週昨晚開始麥康樂主持典禮
page 6	新界周頭村發生槍殺案兩人遇害一死一傷
page 6	滬黨部主委吳紹澍抵港
page 7	東方籃球征菲隊昨晨奏凱抵港在菲九戰勝七負二博得好評今夜在中青出戰星島隊
page 7	港澳足球大戰港隊受挫詳記
page 7	學界籃球揭幕戰興華培英大捷今日下午四時半有比賽兩場高級嶺東對漢華
page 7	協會田徑預賽改期選拔因場地有問題
page 7	小球協會初選揭曉
page 7	星友小球隊擊走耀光今日轉機中電
page 7	星島女籃球隊廿五征澳預定比賽三場
page 7	美菲荷匯牌價略縮英匯沉寂申匯傾淡
page 7	國幣市況先穩後疲
page 7	股票益形疲弱人心不振買賣寥落
