page 2	社評波羅的海蕩起波蘭
page 3	高斯來華卡爾過滇郭泰祺氏月中返國華盛頓援華情緒益見熱烈
page 3	王外長歡宴席上中美友情洋溢詹森大使表示臨別依依羅斯福上校談以敬愛促進邦交
page 3	美輸出統制程序將列入菲律濱內政部將向眾議院要求
page 3	英國紅十字會救護隊員來華
page 3	倫敦關注遠東局勢
page 3	英政府探詢日方態度松岡接到英方公文
page 3	日本片面夢想赫爾嚴詞指斥
page 3	傳英美荷澳成立君子諒解共同利用太平洋根據地
page 3	南太平洋英荷擴大巡邏星洲菲島間即舉辦空航
page 3	諾克斯將檢閱檀島美國艦隊
page 3	五月節滬兩租界實施緊急戒備一月
page 3	港運米濟滬奸商仍肆抬價
page 3	孔財長致函郭秉文撥款與中英發展公司
page 3	嶺大等校籌備內遷各校負責人抵韶
page 3	刺謝兇手昨日在滬開審
page 3	滬票據交換所竟任汪行加入
page 3	日機轟炸金華被我擊落一架浙東我軍加緊反攻中
page 3	我軍事發言人評論日方企圖
page 3	對滬臨時工董會我決不承認該會昨開會汪歹徒出席袁履登一度被綁
page 3	兩新部長人選傳已內定賀耀組與會養甫
page 4	芬蘭方面承認德軍一部入芬波羅的海暗流洶湧莫斯科舉行五一示威鐵木辛科作激昂宣言
page 4	蘇禁軍火過境德日大受打擊
page 4	希境英軍大部已撤退在德陸空壓力下由沙灘撤出重兵器之損失不久即可補充
page 4	四月份德義損失機數達二百五十二架
page 4	英政界人士主張刷新政府機構動員勞工加緊戰時生產將為下週眾院辯論主題
page 4	普里茅斯屢遭慘炸
page 4	澳代總理佛敦邀請工黨入閣澳工業並未發生糾紛
page 4	四月二十四日美海長演說全文二
page 4	傳德在十日內對埃發動攻勢英國促法提防德軍假道北非直布羅陀作防守演習
page 4	土再召集後備兵入伍由五月至六月決定召集八級
page 4	美製機速率突飛猛進迅速接近英德生產率現正製造新機十六種
page 4	美參院外委會否決反對護航案總統下令徵集商船二百萬噸加緊運送軍用器材至民主國
page 4	美報主張實施護航
page 4	美總統廣播演說向國人勸募公債
page 4	探詢什么
page 5	全菲僑教會議商改進僑民教育切實改善課程與教材並加緊推行戰時教育
page 5	西康日記第十五編由麗江返昆明
page 5	發展驛運事業開闢幹線約近一萬公里中央決再加強驛運機構
page 5	搶救四邑婦孺第一批已抵韶
page 5	漁業專家周氐暢談國民營養改進應先增加穀米代替物
page 5	加緊推行戰時教育
page 5	滬存燒鹼豐盈囤戶已感心慌氣候轉熱賣戶逐見減少
page 5	黃元彬談粵建設事業努力國防工業增加生產籌辦煉鐵機器工廠
page 5	整理稅務機構粵統稅局菸酒局已合併每月稅收可達七十萬元
page 5	虞洽卿策動濱海資金內移擬請港滬金融界投資參加太後方生產事業
page 5	杜林第二次防空演習
page 5	李漢魂赴湘省商洽糧食接濟一切問題均圓滿解決昨日已離湘返韶
page 5	桂右江那坡水利竣工幹線長五十華里灌溉二萬五千畝
page 5	港教會學校紛籌內遷李應林等抵韶視察
page 5	西大文法學院改稱法商學院商科部分將酌量擴充
page 5	浙贛監米開始互濟
page 6	僑港工團昨日紀念五一節
page 6	某農業家談本港糧食問題應發展農業求自給自足組織合作社防商人剝削
page 6	我空軍學校開始招考新生因環境關係不在港舉行但本港青年將優先取錄
page 6	全文被檢
page 6	兵賑書畫會今晨開幕購券者極踴躍
page 6	失業清糞夫請求當局救濟千餘人赴華民司署請願清糞費政府擬按年徵收
page 6	港澳振濟會義校今日截止報名港澳振濟會為救濟失學
page 6	蔣夢麟昨晨飛滇司徒雷登日內北返
page 6	聖安得列教堂及九龍青支會代售官辦柴薪柴券一元可易柴二百斤購卷者極踴躍六日領柴
page 6	織造總工會二屆職員昨日宣誓就職在北河戲院開會同時慶祝勞動節
page 6	崇正總會今日歡宴丘元榮
page 6	廿世紀書店借閱部昨日開放九龍廿世紀書店為便利
page 6	吳涵真談勸募戰債意義幫助國家財政政策上軌能使法幣回流平抑物價
page 6	九龍青支會明晚舉行口琴晚會中華基督教青年會九龍
page 6	光夏書店開幕廉價一週光夏書店已於昨日正式
page 6	美醫在港執業問題暫時宣告作罷因本港醫學界表示反對
page 6	基督學聯會青年月昨開始發新青年公約二十則藉以糾正過去之不是
page 6	荷僑前日慶祝王儲朱麗娜壽辰荷僑會長溫德蘭演說促團結救國光復河山
page 6	港府發展近郊效能藍塘道及北角交通線均積極闢新路或改建
page 7	鎮和紀念足球賽明日開始交鋒香港上海兩隊分庭抗禮同日下午二時在加山開追悼會
page 7	足球縱橫談十六
page 7	恩德杯賽三強布陣
page 7	棒球開賽期近南華嚴陣以待中華好手林業陳芳來歸印人夏高理亦加入戎行
page 7	居聯會新建泳場明日行開幕禮有游泳及跳水表演助興文藝競賽同日舉行頒獎
page 7	香港籃球聯會舉辦投籃比賽
page 7	東主征澳七日出發
page 7	寧夏春運會定五日舉行
page 7	外匯牌價俱無變更美匯略緊申匯仍穩
page 7	股票市況黯淡成交稀微價格不支
page 7	四四金市略有起色
page 7	國幣市況略形堅挺
