page 2	社評抗建國策之再認識紀念五三國恥
page 3	擾閩日軍傷亡慘重厦门運到大批傷兵浙西我軍大擧環攻長興殘日
page 3	郭泰祺氏在美演講中英美團結合作我國抗戰必堅持到底美國制日行動應迅速
page 3	美當局推薦福克斯任平準基金會代表
page 3	羅斯福上慰參觀我兵工廠
page 3	美輿論痛斥日外交攻勢
page 3	德軍戰略的轉變
page 3	陪都輿論批評日方荒謬建議
page 3	東京又製造反美空氣路上標語要求強硬對美
page 3	英大使抵渝在星洲曾與我僑領晤談高斯大使月中抵滬
page 3	中美文化協會贈詹森紀念傘
page 3	學童女王王梅禮在英膺選
page 3	粵發展蠶絲業籌設西江蠶絲改良場蔣委員長對粵政備極開懷
page 3	日方訓練侵華浪人設高興亞練成所
page 3	西貢人士指出日方陰謀廣播目的在找藉口
page 3	參政會駐會委員昨舉行四次常會孔部長報告財政金融
page 3	追悼謝團長因工部局通知孤軍展期舉行
page 3	我東北一同胞憤恨蘇日訂約竟自殺以示抗議
page 3	黃炎培來港
page 3	菲禁納粹宣傳逮捕菲人三名
page 3	蘇聯繼續援華日人表示不安田村撰文論蘇日協定謂日本僅為他國傀儡
page 3	國民政府明令獎勵有功縣長
page 3	與奮過度松岡得病
page 4	近東問題轉複雜英伊關係突緊二批英軍開到伊拉克伊政府已提最後通牒
page 4	巴爾幹德軍開拔忙一部調赴薩隆尼加
page 4	德官方宣稱將襲擊美輪凡駛入戰區者一律予以襲擊美撥船五十艘運油赴英
page 4	軸心軍進攻多布魯克外圍防線雖被突破英軍猶作猛烈抵抗
page 4	美總統手下的六位能員一
page 4	蘇禁運軍火說柏林未予否認
page 4	英國內閣局部改組比弗布洛克職責加重協助邱吉爾處理政務
page 4	巴本返土今日抵伊斯坦坡
page 4	美參院通過海軍預算案包括建築兩洋艦隊費用羅斯福撥欵完成通運河公路
page 4	諾貝爾獎金合併頒發去年曾申請者今年仍可參加
page 4	路透社記者發表英軍撤退經過沿途曾受德機不斷轟炸卒能化險為夷大部撤退
page 4	希人擁護希王繼續對德作戰
page 4	美總商會保證願與勞方諒解以避發生有礙國防程序糾紛宣言繼續支持海外商會
page 4	假撇清
page 4	松岡之病
page 4	英伊關係
page 5	滬孤軍營團長謝晉元被害經過叛兵行兇背景決不單純團附企圖彈壓亦遭刺傷
page 5	西康日記二八０第十五編由麗江返昆明
page 5	廣州灣群樂戰院發生倒塌慘劇建築簡陋屋頂不堪支持觀眾橫禍臨頭死傷甚眾
page 5	張長官慰問粵南四邑災民派員組織粵南宣慰團攜金五萬日內可到達
page 5	桂省米價上漲當局分頭救濟邱昌渭等召桂北各縣長會議農林部撥助鉅款增加生產
page 5	日軍拉伕調赴江門新開路連日砲戰中山倀軍暗鬥烈
page 5	促進兒童健康教部訂頒各縣市競賽辦法每年五月十五日舉行一次
page 5	廣州市內治安混亂日方增設警方部
page 5	劫後赤溪損失調查抗戰死傷三十六人財物損失三十餘萬
page 5	粵省募債工作各方蓬勃開展節儲總額再增七百餘萬韶關梅縣兩地成績最佳
page 5	黃麟書返韶談中央關懷粵教育國民教育經費增加百分四十本年暑期內將大量培養師資
page 6	籌賑東江兵災慈善書畫展昨開幕今日公開展覽歡迎參觀地點在石塘嘴陶園酒家
page 6	周啟剛主持開幕典禮
page 6	零沽米店限制購買官米昨晨起每人限購米五毫因官米每日僅購得三包米石黑市昨日又告暴漲
page 6	廣大校長陳炳權歡宴書畫界同人並歡迎名畫家張書旂
page 6	官辦清糞仍待繼續改進　　　　　　　　　　　　　　仍未符合衛生
page 6	中國婦女會售彩票籌款定七月間開彩
page 6	清糞工友再度請願
page 6	防空當局分配各區居民逃避空襲地點各壕洞均有防毒氣設備砵甸乍街一洞中止興築
page 6	五四青年節停止集會因籌備不及
page 6	票據交換所汪行加入說不確
page 6	聯美航空公司闢菲星新航線菲港間將改為兩週一班港星間不派民航機飛航
page 6	青年會學生部主辦全港學生論文比賽以學校為單位共分兩組即日開始報名八日截止
page 6	嶺南真光協和培正培道均擬在曲江設分校今年九月新校即可開學但港校仍照常繼續辦理
page 6	死亦不易棺木來源短絀價格暴漲死亡率高墳地求過於供
page 6	富勵士將於下月離港
page 6	崇正總會昨歡宴丘元榮
page 6	港印班輪運費又告增加
page 6	新任副按察司對審案之建議認為有應改善者多項律師公會將開會討論
page 6	藝術界獻機會戲劇委會昨開會議決採用三種演出方式組演出委會計劃草擬中
page 6	青年劇團籌備慶祝一周紀念
page 6	保險公司停受華北航運保險
page 6	清水灣一段公路修理
page 6	金陵同學明日旅行赤柱
page 6	兒童保育會昨召開理事會議秘書處請追認兩案通過三八賣花得款五千餘元
page 6	女青年會紀念五四青年節女青年會
page 7	鎮和紀念足球賽上海對抗香港下午四時半在加山開始交兵三時開追悼陳烈士大會
page 7	悼亡友鎮和烈士
page 7	烈士史略
page 7	懷念同窗故友小黑炭陳鎮和
page 7	學界排球比賽鐵定十五開鑼
page 7	銀聯球賽本週秩序公布
page 7	南華南遊隊明日戰米軍
page 7	久匯牌價俱無變更美匯趨靜申匯傾談
page 7	股票市況呆滯股價趨跌為勢尚屬和緩買胃不暢成交一萬餘元
page 7	國幣市況略趨下游
page 7	四四金市先靜後堅
