page 2	外助與自助
page 3	中美合作益見進步援華物資確已啟運陪都餞別美使蔣委員長親臨致詞謂美總統政策將可廓清日本侵略中蘇航空恢復足證友誼增進
page 3	蔣委員長手諭勸告陪都民眾繼續疏散法使館舊址全部被燬
page 3	滬各界開會追悼謝晉元雖限制綦嚴參加者仍眾
page 3	上海英僑電邱吉爾祝就任首相一週年
page 3	三國同盟駐日委員會日前曾一度舉行
page 3	高斯大使過日直滬
page 3	上海汪報忽高調反德
page 3	蘇州河毀船案日方猶圖狡飾竟謂過在船夫
page 3	戰後世界秩序論
page 3	曾磊被扣後各方紛紛控告當局決予嚴辦
page 3	羅斯福夫人開懷中國難民提倡救濟別針
page 3	日本駐滬海軍司令由平岡繼任
page 3	高斯與詹森
page 3	粵省府關心港僑歸國者妥為安插學校內遷補助經費
page 3	孤島綁案
page 3	浙東加緊反攻諸暨城郊大戰日軍被殲逾三千人
page 3	晉南豫北緊張垣曲我軍轉移陣地
page 3	鄂北日軍又犯厲山
page 4	傳有大批德軍將開赴伊拉克敘利亞形勢亦呈不穩
page 4	泰晤士報記者論蘇德關係認蘇仍將採取中立英蘇關係障礙仍多
page 4	美國工潮又有復燃勢舊金山灣船塢機工罷工一部建艦工程將受影響
page 4	蘇德與兩海峽及近東三
page 4	合眾社記者遊羅之觀感
page 4	德工業家敏諾突被拘捕理由未見宣布
page 4	勢浪襲埃境戰事轉沉寂最低溫度亦達百十九度英機夜襲北非沿岸
page 4	西政府改組後
page 4	佛朗哥地位愈臻鞏固外交部秘書長亦易人
page 4	羅遜王加羅爾抵伯茂達不久將赴古巴
page 4	法空長飛抵北非魏剛親自迎迓
page 4	紐約警察續繼搜捕義僑因多係違法入境
page 4	美國議會方面重視英方航輪損失實情
page 4	德機猛襲倫敦損失相當重大德機被擊落三十三架
page 4	歐戰二十月英輪損失概況共一千四百五十四艘六百零七萬八千餘噸
page 4	加海軍實力不斷增強中明年四月將可倍增
page 4	羅斯福總統將作重要聲明對外交政策有所闡述德報攻擊羅斯福總統
page 4	荷比兩政府紀念參戰週年荷女王偕閣員全體參加比國總理盛讚李奧波德
page 4	德國與近東
page 4	滬追悼謝團長
page 4	　　本色
page 4	羅斯福上尉訪英軍司令華維爾
page 4	林白演講認英難勝並指政府不顧民意
page 5	日軍圖犯防城東興南路守軍嚴密戒備沿海各地加緊綏靖工作
page 5	唐貞觀之治二
page 5	廣西工業發榮滋長中各地工合運動迅速開展增加生產尚待努力改進
page 5	遂溪鼠疫勢益猖獗居民紛紛營居郊外
page 5	遂溪縣寸金橋公共醫院成立收到各界捐款共六十餘萬元尚望更多援助俾益臻完善
page 5	韶關嚴厲執行疏散人口物資警備部組織疏散執行隊
page 5	桂林發現腦膜炎症
page 5	茂名吳川發行劫殺案
page 5	澳門米價高漲破三年來紀錄當局現正設法救濟解決中米商操縱已有七家被處分
page 6	澳督今日離港返澳行前暢談澳門庶政華人歡迎茶會盛況一時
page 6	港府派輪多艘赴仰運米來港米價連日回跌平民稱慶青年會售官米進行順利
page 6	勸購戰債黃炎培談在港銷債目的暫定五百萬元
page 6	大埔坳海面貨艇被劫損失國幣百元
page 6	東華三院籌設專門肺癆病院擬在東院闢樓一層作院址
page 6	張家濟酒廠八折優待將滿期
page 6	美擴大援華嶺大員生聯名函謝美國總統乘美國舉行中國週特致最虔敬之謝忱
page 6	中西舊書商店前日正式開幕
page 6	余東璇昨逝世大埔別墅中患心病不起所遺妻子多人分居各地
page 6	日軍環邊境外建築三大機場分在南頭大鵬勒馬洲
page 7	學運會功德圓滿嶺南蟬聯冠軍仿林女乙第一溫素娟最出風頭羅文錦頒獎品歡呼散場
page 7	網球初學指南下
page 7	九龍溜冰籌振賽梅舜珍獲皇后銜聶蘭儀行女子單人花式冠軍
page 7	工程實力脆弱港啤贏十比一
page 7	中華技擊老師劉錦東訪問記
page 7	我國重要土產運港數量銳減現出口總匯已改在仰光豬鬃產量不多價格猛漲
page 8	歐戰中的婦女生力軍下
