page 2	行鹽制度實施之商討
page 3	中條山我反攻順利日軍全線狼狽北竄太岳谷戰事猛烈日傷亡慘重十八集團軍將遵令參加作戰
page 3	赫爾發表聲明後美日流言漸澄肖松岡談話為掩飾外交攻勢失敗
page 3	海外僑胞捐獻戰鬥機二千架陳慶雲將赴南洋推動
page 3	以上接第二版式星期論文
page 3	我軍事代表團公畢過緬返國
page 3	蔣委員長勗同胞節儲
page 3	港閩災救濟會匯欵返閩辦賬
page 3	康省會各界歡宴藏代表團並慰勞抗戰軍人家屬
page 3	日機襲桂林在郊外擲彈四次
page 3	滇地方自治成績頗良好
page 3	中執委會電唁王法勤家屬
page 3	川紳周道剛等電美總統致敬
page 3	泰國代表抵星將訪晤普法姆等商要公
page 3	閩米價漸平
page 3	紗布進口不再限制
page 3	英報讚揚中國抗戰艱苦奮鬥埋頭建設足使英人得一鼓勵
page 3	美援華新步驟空軍飛行員來華服務美陸軍當局將加准許
page 3	美總統重申援華英感覺滿意認為日本南進更應考慮
page 3	一段補充
page 4	英軍抵巴格達伊方當局已要求休戰格拉尼挾幼王逃伊朗
page 4	克里特島戰情混沌德方宣傳將告結束
page 4	前暹羅王在英逝世
page 4	英海軍人員述英德海戰情形荷德炸後僅餘一縷濃煙
page 4	美駐英大使由英抵紐約將向總統及國務卿述職預定數日內即返英
page 4	威廉二世病危廢皇太子抵荷蘭
page 4	南愛京城被炸一夜間落彈三枚
page 4	德土新協定三十日在土京簽定貿易額一千五百萬土鎊
page 4	美對歐戰難置身度外嘉勒普民意測驗揭示大部選民認美將參戰
page 4	美國飛機雜誌布露驚人消息德空軍加緊計劃襲美
page 4	維希軍隊進攻非洲自由法軍未遭抵抗即佔領軍事站
page 4	美海軍部徵用大批輪船徵輪原因保持秘密
page 4	美國防工廠船塢特別警戒海岸防軍保護船隻因傳有擬加破壞之陰謀
page 4	中東英將領因功晉陞威爾遜陞為上將
page 4	美向維希將提出警告國務卿赫爾已擬就照會美法邦交繫於維希行動
page 4	法國存糧僅敷一月
page 4	根據租借法案美糧首批抵英伍爾頓曾親赴碼頭接收
page 4	阿國南部湖沼區義軍已完全肅清
page 5	粵僑捐款六百萬籌設墾殖區八處全部面積約八萬餘畝可收容義民二萬餘人
page 5	粵省糧食問題難關即可度過各地糧價已漸趨穩定李主席在紀念週報告
page 5	開座談會討論糧食
page 5	籌集基金收購米穀
page 5	粵北的前哨清遠近貌
page 5	教部獎勵著作發明撥款十萬充作獎金
page 5	粵省農貸發展迅速估計目前貸款額已達一千餘萬元
page 5	從化黨員鋤奸除毒省黨部傳令嘉勉
page 5	順德日軍抽調空虛我軍一度衝入大良
page 6	港督在憲報頒佈兩項緊爭治罪法冒犯守軍者行處以極形盜竊軍用特品罪亦相等
page 6	衛生局明日會議周錫年提嚴重質問將為各小販作正義呼籲廁所清糞等案提出討論
page 6	李石曾由法經美返國三日可飛抵港
page 6	港滬經濟關係
page 6	一碗飯運動商會小組會昨開會會中拒絕記者旁聽
page 6	富勵士定期離港乘太平輪赴澳在港服務二十載頗有惜別意入境事務局職員昨開歡送會
page 6	喬治公園揭幕期尚未定
page 6	郭泰祺外長將不來港抵菲經星返國港歡迎秩序取消
page 6	皇后平安
page 6	娛樂戲院
page 6	堅民第十分店今日開幕
page 6	宋子文宣布脫離保衛中國大同盟孫夫人昨日發表聲明
page 6	日本輪船共十一艘港府宣布作為敵產
page 7	本港中華棒球會組少年棒球隊梁扶初負責指導並發表宣言促進團結提倡尚武精神
page 7	夏令籃球賽譚進報效銀杯
page 7	東星隊首戰不利敗於新南威結果六比四戰情緊張南華在吉隆坡勝華聯
page 7	美華僑獅子籃球隊獲阿市冠軍卅六比卅四勝西隊一球林思聰大顯身手
page 7	星島女籃球隊暫緩出發征菲
page 7	游泳對抗勵進壓倒西青
page 7	華人游泳會今午舉行水藝會
page 7	棒球聯賽期近各隊紛紛備戰今晨十時愛殊和戰港啤下午南華門工程
page 7	平正大發雄威慘敗青商隊六十九比十六輸得莫名其妙另兩場漢華培正同奏凱旋歌
