page 2	社評現階段的美日關係
page 3	近東局勢急轉直下英軍已開入敘利亞高爾領導自由法軍為前驅維希聲明以最大力量抵抗
page 3	德國偷運軍隊擬增援里比亞
page 3	美國草擬照會再度警告維希美曾與西半球法屬地訂協定保證各該殖民地之美國權益
page 3	美超等無畏艦舉行下水禮為三個月內下水之第三艘
page 3	魏剛返北非傳魏剛態度極堅決反對達蘭投德計劃
page 3	美國已撤退駐巴黎代表
page 3	英不管部大臣對加拿大廣播希望供給機械人力協助英國應付危局
page 3	美參院領袖已同意授權總統徵用私產羅斯總統將用特權制止罷工
page 3	魏南談話英人絕未動搖
page 3	美總統將參加哈佛校友會哈里法克斯亦將出席
page 3	馬爾泰總督對人民廣播力足應付敵人侵犯
page 4	晉南日軍繼續北潰我軍迎頭截擊日傷亡慘重東戰場我游擊部隊甚活躍
page 4	蔣委員長澈查隧道窒息慘案劉峙胡伯翰吳國楨革職留任組織審杳委會明瞭肇事真相
page 4	英援華會籌募振濟基金千鎊
page 4	魯加緊對日經濟戰嚴防仇貨偷運省府舉辦農貸
page 4	內次雷殷抵筑談話
page 4	協助僑胞回國人事生產事業中央設僑民事業輔導會
page 4	獻機運動風起雲湧
page 4	卡爾大使離渝來港
page 4	粵稅務局長姚伯龍繼任
page 4	品質惡劣日制定優生法增殖善良分子
page 4	越南法當局圖推卸責任日方搬走物品否認曾予同意
page 4	豫西伏牛山闢為墾殖區
page 4	滑翔總會理事會議籌設滑翔機製造廠
page 4	雅納爾上將演說主張應立即參戰
page 4	日海軍省發言人評美國巡邏制度
page 4	美國務卿宣布國防原料品運菲律賓須領證
page 4	英軍開入敘利亞
page 5	粵漢鐵路上破獲殺人劫鹽案鹽務局職員胡藝維慘遭謀害凶犯七人已全數落網
page 5	合川之行二參加獻機典禮別記
page 5	粵籌備組織徒犯生產團擬先在北江擇地開墾
page 5	桂林充實空防著手廣修巖洞
page 5	禁止軍人經商牟利
page 5	厓門兩岸之戰
page 5	桂南駐軍協助耕作
page 5	潮汕燃犀錄日軍實施文化侵略毒策宣傳刊物極盡淫褻能事
page 5	桂省勸募戰時公債定額一千五百萬
page 5	邕寧上思災情慘重繼續擬款辦理急振
page 5	日軍侵犯厓門砲台厓西一帶形勢吃緊
page 5	華振中赴渝入陸大深造
page 5	翁源等七縣組織生產合作社
page 5	梅縣節儲成績優異中央特頒電嘉獎
page 5	粵北棉紗市價狂跌潮屬米價亦已低落
page 6	虞洽卿發動實業界開發我西北資源連日與各方面進行商洽組織一大規模企業公司
page 6	全港每月需米量共計十八萬包登記零售米店七百餘家代理官米之米商會統計
page 6	戰時經濟委會研究限制奢侈品之輸入及考慮減少煤炭之消耗討論小額戰債之發行等
page 6	冒三青團名少年行騙以電燈泡騙款
page 6	蔣委員長孔財長嘉獎譚進林培生自動認購巨額公債並能熱心負責勸募
page 6	警司巡察警察分署並徵詢各警員改革有關警政
page 6	利用私人資本開發大嶼山凡有意投資開發得向理民府顧地
page 6	美空軍訪華團視察完畢返港在渝蓉訪晤我空軍當局認我空軍之建設頗滿意
page 6	龍泉茶室捐愛國飯共計二千碗
page 6	生油供應情形上等生油來源日見短絀統制生油出口油價回跌
page 6	吐泄疑症經某名醫生查出食不良生油所致
page 6	本港牛奶求過於供
page 6	港府積極進行遣送難民離港經商得澳門政府合作在澳建築難民居留所
page 6	美籍華僑美領昨否認限期返美國
page 6	大規模防空演習二十七日舉行至下月三日止連續七天防空處續招防空員四千
page 7	愛殊和神棒驚人六比四勝香港南華陣腳不齊幾不成軍結果五比九竟為一程隊擊敗
page 7	東星在澳第四戰七比四勝格蘭威前日以五比三打贏北區聯隊
page 7	學界排球賽保羅對抗西南
page 7	居聯水藝會圓滿閉幕義款收入可觀
page 7	勃琪的雙打論其四
page 7	仿林導正兩校祝捷大會在孔聖堂舉行
page 7	中學籃球賽香江獲勝今天仍有兩場
page 7	鐵城杯籃球比賽各隊準備參加共賽三屆每年舉行一次
page 7	童訊籃球隊擊退華仁
