page 2	社評敘利亞與中東大戰
page 3	聚利亞三路起激戰聯軍進攻聲勢甚盛一部已佔領大馬色附近據點
page 3	英艦增援近東多隆港法國艦隊傳奉令準備出發
page 3	貝當發表宣言命令軍隊應戰英法關係更趨嚴重
page 3	土國人士興奮仍採靜觀態度美報擁護英國行動
page 3	敘利亞軍士氣頹喪難阻英軍聯合進攻
page 3	英決推翻維希統治軍事政治雙管齊下
page 3	關於敘利亞
page 3	敘利亞英機把握制空權曾晝夜空襲貝魯特油池機場皆被炸中
page 3	華維爾通告敘利亞法軍希望認識真正敵人停止抵抗援助英軍
page 3	伊拉克斷絕對義邦交僑民限期離境
page 3	近東北非一帶德機展開攻勢西普勒斯島遭猛炸亞力山大港全城一片火光
page 3	義國會會議討論改善國內狀況
page 3	美砲彈廠被燬於火
page 3	美鐵道大王詹姆斯逝世
page 4	我軍加緊圍攻福州先鋒部隊曾一度衝入市區
page 4	日妄作種種讕言我軍事發言人予以駁斥
page 4	荷日談判擱淺日外務省正籌商對策美報論日不放棄南侵
page 4	郭泰祺氏飛抵馬尼拉將乘原機飛新加坡
page 4	魯斯夫婦抵紐約暢談遊華觀感蔣委員長深信對日抗戰若得美國援助必能獲勝
page 4	美官員警告國人應準備犧牲對德戰事或將爆發正視前途毫無畏懼
page 4	青年們在上海一
page 4	美報銷數創新紀錄四十年中增加三倍現已超過六千萬份
page 4	甘省紡織業呈空前發達
page 4	美工潮軍隊接收工廠工人表示反對
page 4	北平居民領居住證剝削無所不至
page 4	合肥鄉民自動請纓省儲傳令嘉獎
page 4	松岡對小學生訓話
page 4	土肥原兼任航空總監山下任參議官
page 4	威廉二世葬禮在全副軍禮中舉行
page 4	糧食增產粵省積極推動派員出發督導
page 4	屈映光抵浙辦理振務攜款七十萬元
page 4	上海黑市外匯轉緊
page 4	蘇運食糧接濟芬蘭表示友好姿態
page 4	美記者楊格評述日絕無獲勝機會處理對華戰事方法極拙劣
page 4	貪污被扣新會縣長李勉成有營私舞弊嫌疑
page 4	日北海道風災房屋多傾圯輪船互撞傷
page 4	蘇聯發行經濟國防債券
page 4	美國與日荷談判
page 4	一群不願做奴隸的兒女風雨的深夜在街頭書寫
page 5	粵省工合貸款第一期二百萬元曲江等十八縣本月開始貸放四行舉辦粵北七縣水利貸款
page 5	整理水道航運輔導農田灌溉着手進行以來成績頗有可觀灌溉工作業已完成二百萬畝
page 5	桂省召開糧食增產會議設法推廣良種防治稻蟲冬作方面增加雜糧生產
page 5	陳雄談話
page 5	韶關疏散商店存貨取締建築茅棚木屋
page 5	江西中學暑期在桂成立
page 5	鐵路公路兩旁隙地開放種植雜糧湘糧食增產處建議兩路局建廳訓令公路局研究辦法
page 5	粵擴大收容戰區員生下學年中上學校將一律增加班額
page 5	時人行蹤
page 5	粵省進行調查全省農村狀況今後根據實情推行復興建設將組織五大調查隊定期出發
page 5	粵糧管局調查各縣糧食盈虛漲落原因
page 5	天蠶絲粵建設廳設場試驗並在雲浮設辦事處
page 5	中央派員抵韶視導圖書審查
page 5	粵婦女會促進識字運動
page 6	利用私資開發大嶼山詳細計劃草擬中或採取大企業公司方式負責籌劃領地耕種事宜
page 6	小販以處理問題探求兩全辦法俞警司談此事處理困難小販總會擬定營業辦法
page 6	入境事務局設法加速發證時間五月發證萬五千張
page 6	翁文灝函葉蘭泉嘉勉廠商募債希望協助推動勸募戰債
page 6	喬治公園明日正式揭幕港督主持典禮
page 6	平劇義演定下月五六日舉行
page 6	國立中山大學派員來港招生共招新生一千二百餘人下月二十二日開始報名
page 6	存柴計劃貯柴廿五萬擔足供兩月需用
page 6	王濟遠畫展在馮平山圖書館十三日開始舉行
page 6	學校新聞
page 6	酒家捐贈炒飯計已逾七千碗樂仙酒家昨續捐二千碗大同馮儉生將大量捐贈
page 6	兩印警昨晨夜兇鬥結果有一印警被斬重傷糾紛原因似有桃色關係
page 6	洋衣勞資糾紛仍未解決勞工司接見勞方代表
page 6	我教部及僑委會亟謀促進海外僑教特派周尚研因蔣釗白前往南洋各地視察僑教
page 7	公開棒球聯賽全部秩序編定每週賽足四場八月十六日結束國際棒球賽亦定期開始
page 7	中青荔枝角泳棚定十五正式揭幕
page 7	學界排球賽西南奏捷三比二贏保羅
page 7	南華隊師次怡保勝馬華選手惠堂一針見血李四二度梅開南華控制全場結果淨贏三球
page 7	青支籃球
page 7	港菲埠際游泳今年又成泡影
page 7	馬華足球埠際賽南部大戰爆發陸軍聯四比零勝森美蘭客隊僅得機會射門三次
page 7	援英網球義演潘雷稱雄
page 7	夏令籃球各項進行積極胡好報效獎品
