page 2	社評荷印步不能退讓
page 3	日對荷印加緊恫嚇東京連日舉行會議聲稱將召回芳澤撤退僑民
page 3	日報大肆咆哮
page 3	美飛行員百餘人願來華投效軍用品源源運遠東
page 3	美捕獲日間諜河野充任卓別靈之車夫搜集國防情報供給他國
page 3	泰國會批准泰越和約湄公河將復航
page 3	郭泰祺氏飛抵星洲
page 3	普法姆視察緬甸防軍結果極為滿意
page 3	蘇日間漁約在談判中商約尚無頭緒
page 3	今年九月廿一日八省得見日全蝕陪都著手籌組兩觀測隊
page 3	英駐華艦隊司令賴登發表演說新加坡非常措置已完成
page 3	卡爾大使昨晨乘機飛港日內即將返渝
page 3	艾登宴重光
page 3	南京雨花台前強一虎遭毒手
page 3	豫水利建設各地分設水文站
page 3	國府褒揚華群女士
page 3	滬東日人又一暴行開槍擊傷女工
page 3	晉各線時有砲戰日軍受重大打擊
page 3	我軍衝入開封
page 3	重慶本報代收空襲救濟捐款
page 3	戈思默自平抵滬行蹤詭秘
page 3	閩戰利品公開展覽當地民眾傾城往觀
page 3	西寧人口最近調查
page 4	英軍進攻順利傳已佔大馬色德報謂將作旁觀者
page 4	英使記土當局
page 4	傳德向維希乘機提出建議減輕和約條件但須交出軍艦赫爾對海雅提出警告
page 4	聚利亞戰局情勢英眾院展開論辯
page 4	敘利亞京城大馬色
page 4	美總統採斷然行動制止機廠罷工風潮並發表聲明勸告復工防軍開入工場維持工作秩序
page 4	美貨輪一艘被德潛艇擊沉海軍部已接獲報告
page 4	法機飛臨直布羅陀為高射砲猛烈轟退
page 4	埃及政府決定沒收德義資產補償所受轟炸損失亞力山大居民加緊疏散
page 4	北非英機轟炸德軍根據地運輸車輛被毀甚眾地面飛機亦受重傷
page 4	美前任駐比大使述遊德之觀感希特勒並無求和意嚮人民恐戰敗死心作戰
page 4	克里特之役英艦十艘擊沉德機損失為數亦眾
page 4	美眾院通過陸軍供應案共撥款九十八萬萬餘元馬夏爾全權訂造裝甲軍備
page 4	五月份義軍傷亡人數在北非被俘二萬餘人
page 4	英軍攻入大馬色
page 5	便利戰時運輸粵限制商車出境省際交通要衝設站實施檢查擅自離境者科萬元以下罰金
page 5	陪都盛大舉行首屆工程師節展覽模型圖表頗富興趣各發明人多親臨作說明
page 5	清華大學三十週年紀念
page 5	歐陽崙發表論文
page 5	日軍進擾厓西我軍固守斗門
page 5	獎勵工業專利品已達一百卅五起
page 5	詹森大使過菲備受熱烈歡迎談中國前途絕對樂觀
page 5	戰地土地權利高信談處置辦法如在偽組織登記者絕對無效受誘惑前往登記者自招損失
page 5	粵省驛運已開闢十餘線
page 5	川縣鄉銀行積極籌備中資額增至二千萬元
page 5	惠陽縣長黃佩倫電韶報告災情難民二十餘萬嗷嗷待哺熱望僑港同鄉捐款急振
page 5	粵勸募戰債總隊設評議委員會調查社會富力公平分配
page 6	福克斯在美僑會演講美援華具有決心將以事實行動援助中國中英美在遠東密切合作
page 6	為民主而戰不分東西
page 6	中美之親睦前所未有
page 6	光榮之抗戰必獲成功
page 6	華商總會昨議決擴大勸募戰債組織小組委會負責進行戰債委會勸港工友購債
page 6	援華賴事實不尚空言
page 6	歐亞航空公司籌闢設港韶線已向粵府進行接洽妥當何時開航現時尚未決定
page 6	司徒永覺發動增加新界蔬產公共飯堂進行漸有頭緒公平糶米會六月底結束
page 6	我留美學生數十人因船票關係滯港擬先赴馬尼拉再乘輪轉美中華基金會電外部請交涉
page 6	機工二萬人要求改善待遇資方對此要求表示同意勞工司協助勞資交涉事
page 6	港美領對記者談美僑撤退仍少來港菲工程帥樂帥日增總統輪暫時停載外籍客
page 6	我外交人員可購船票赴美美外部昨電覆
page 6	非住宅清糞每年十一元詳細收費辦法待批准
page 6	明日為英王誕辰港府慶祝秩序排定上午總督主持閱兵典禮下午在督轅招待各外賓
page 6	國貨簽證會組織草案經呈遞經濟部審核商會歡迎廠商加入
page 6	喬治公園今日開幕
page 7	香港足球總會今日舉行月會決定召開同人大會日期黃家駿蟬聯下屆主席呼聲最高
page 7	南華在吉第三戰大破吉體隊四比二先輸後贏威震吉隆坡文治一腳奠定勝局
page 7	公開夏令籃球下月初旬開賽
page 7	居聯會首次水藝會定二十一日舉行
page 7	華雄籃球部歡送教練入桂
page 7	學界排球各隊實力檢討高級英皇冠軍
page 7	團體網球賽南丙出師戰奇利近加華
page 7	居民會泳訓班開始操演西拳組亦招生
page 7	中學籃球大比賽嶺東擊退民生結果七比五二戰情頗緊張培英綠大勝興中
page 7	中級杯乒乓賽昨午頒獎
page 7	華瑪潭撑竿走跳高創世界紀錄
