page 2	社評邱吉爾之聲明
page 3	英決放棄在華特權伯特勒在眾院聲明美驅逐機百架已運抵中國
page 3	荷日談判仍僵持日決定召回芳澤
page 3	泰傾向英美派員赴美解釋過去誤會英允供石油泰極表欣慰
page 3	制止日機轟炸暴行陪都民眾團體函美總統籲請對日實施禁運汽油
page 3	加拿大小麥輸日由三外商經理
page 3	日農相石黑因病辭職農次井野繼任
page 3	美貨輸日銳減美商務部發表第一季之統計
page 3	青年們在上海
page 3	美駐菲專員賽雅不撤換
page 3	考試院組考詢委會查驗高考及格人員品學
page 3	豫西喜雨秋收有望
page 3	日機墜落飛平途中失事機員五名畢命
page 3	行政院會議討論改善防空洞定期舉行三屆全國內政會議粵閩桂各地設立歸僑接待所
page 3	勸募戰債運動各省熱烈展開張元夫飛新疆進行勸募
page 3	日機襲川陪都發出警報兩批飛過市空
page 3	福州絕糧每日餓死千人
page 3	侵略者野心刻毒編譯我各省縣志
page 3	綏西日軍蠢動未逞我克復安北高台梁各據點湘鄂邊境羊樓洞發生激戰
page 3	全國軍人眷屬參加生產工作組織軍眷生產合作社蔣夫人任指導長
page 4	邱吉爾氏縱談戰局聲明對聚利亞無領土企圖英國軍需生產已較去年增兩倍
page 4	克里特之戰
page 4	對敵人之意志應作堅強抵抗
page 4	英方損失雖重德亦付出重價
page 4	德受種種限制攻英尚無能力
page 4	聚利亞問題
page 4	大西洋之戰
page 4	回顧與前瞻
page 4	英首相演說各報表示接納惟仍主張調整內閣艾登將提出外交改革案
page 4	墨索里尼又唱高調居然向美提出警告謂將大舉進攻埃及
page 4	美輪被擊沉事歐萊表示澈查
page 4	美陸軍大學畢業史汀生演說民主軸心萬難妥協
page 4	北美航空公司大部已復工勞資雙方將重行談判
page 4	鋁公司工潮未完全解決
page 4	德國取消跳舞禁令
page 4	聚利亞抵抗英軍德國僅表同情大馬色仍在被包圍中北非法空軍飛抵中東
page 4	達蘭廣播法已準備和平方法謂先須造成一種良好環境未提及聚利亞或英國
page 4	英國之聲明
page 4	美工潮低落
page 5	余漢謀王俊等出巡粵北東西江視察戰區實況指示作戰機宜經濟游擊隊指揮處提前成立
page 5	全國財政會議粵省提案內容張導民臨行前發表談話
page 5	清華大學三十週年紀念
page 5	政院經濟會議商討防旱增產通過緊急措置辦法三項
page 5	日軍竄擾斗門陷入混戰狀態
page 5	兵役視察團出巡西江南路
page 5	粵省各地糧價日來繼續回跌查禁羅定殷戶囤米居奇
page 5	粵省新縣制提前完成本年內一律實施
page 5	湘省實施國民教育增加經費八十萬
page 6	羅傑士福克斯等下週離港飛重慶中英美金融領袖曾設宴歡迎英大使昨會晤福克斯等
page 6	穀米官營計劃決不再事變更收購存米大部經已辦妥詳細營業辦法憲報公布
page 6	衝鋒隊舉行防暴動演習
page 6	節省陽光當局訂定新則例十五日開始施行
page 6	李石曾昨日暢談旅居法美觀感北大校友茶會歡迎李氏
page 6	澳門孫公館劫案已被警方破獲在大群酒店獲匪黨贓物匪售玉如意乃追蹤破案
page 6	大道中榮興銀號印警昨被同僚槍殺兩印人平日交往甚親密金菊園夥伴中流彈受傷
page 6	喬治公園昨日開幕輔政司主持開幕禮
page 6	一仙輔幣券明日發出行使二仙一種決定暫時緩發市面流通銅幣逐漸收回
page 6	公平糶米會決意平抑菜價菜欄操縱菜價壓抑菜農市面售價高昂居民困苦
page 6	特務警察隊定期開會一切在籌備中
page 6	范蠡與西施現已開始發售
page 6	港府限令鹽商貯鹽五百萬磅以後只有貯鹽四商團始有權運辦鹽斤入口
page 6	商會副主席吳澤華談一碗飯運動即可開始各酒家捐贈炒飯可超過萬碗飯券推銷工作在籌備中
page 7	足球總會同人大會下月九日舉行屆時將修正會章規定聯賽日期旅行足球隊財政報告總會
page 7	南華在南洋
page 7	中西游泳義賽尚待華會決定
page 7	合眾單車比賽決定十八開始
page 7	居聯會游泳技術測驗歡迎各界參加
page 7	中學籃球賽月底結束培正南華奏捷
page 7	南華首次義演再勝霹靂聯三比零惠堂兩脚定天下看客擁擠收入大有可觀
page 7	南華在吉破二關雪聯遭慘敗零比三惠堂獨進兩球許竟成出色博得好評
page 7	東方體充會徵求成績結束月底辦理交代
