page 2	最後成敗全在自己
page 3	晉南敵軍西竄受創芮城附近續有激戰贛北浙東我軍紛紛了擊獲勝
page 3	日對荷印一貫恫嚇大批軍艦向南移動
page 3	日要求內容自稱極合理
page 3	華盛頓觀觀察日不敢冒險
page 3	美援華會舉行聚餐詹森等出席演講
page 3	中緬界務始末
page 3	東京報紙要求日泰軍事同盟泰報繼續譴責日方造謠
page 3	協定原文
page 3	中緬劃界換文中英正式簽字
page 3	視察閩政歸來顧毓琇梅公任過韶談話
page 3	巴格達鐵路下為希特勒東進最後目標其重要性等於滇緬公路
page 3	滬外匯黑市回跌公債仍好
page 3	糧食部已開始辦公縝密研討民食供應問題盧作孚氏延期出國考察
page 3	滬日劫奪無線電料
page 3	陪都隧道窒息案監院派員查勘所得材料正趕速整理中
page 3	日人眼中汪這身份
page 3	劉侯武返桂
page 3	陪都舉行座談會討論國際貿易策
page 3	大湖之捷陳嘉庚電賀閩抗戰將士
page 3	平準基金委會開始初步工作陳光甫福克斯接見銀界代表財政會議舉行二次大會
page 4	土耳其對德妥協簽訂友誼條約巴本又完成一傑作
page 4	英軍正運用廣大迂迴戰
page 4	論戰時財政二
page 4	一片離奇消息土傳德蘇發生軍事行動又謂羅向蘇提最後通牒
page 4	北非英軍完成任務安然退守原有陣地
page 4	英機極活躍作有效掩護
page 4	近東聯軍續攻大馬色自由法章軍已抵西郊譚志仍圖最後掙扎
page 4	美民意表現多數主禁共黨活動
page 4	智利以銅運往日本美議員向政府呼籲採取辦法加以阻止
page 4	英國取消承認芬蘭為獨立國英海軍截留芬輪三艘並對芬開始加以封鎖
page 4	德提正式抗議美將不予接受義報謂軸心報復計劃不增加對美緊張狀態
page 4	義軍開希境為德這填防
page 4	冰島首任總統朱爾遜當選
page 4	西半球美新根據地最近可告完成
page 4	美陸軍部將改組空軍以便統一指揮
page 4	現成的反證
page 4	土國之前途
page 4	北非戰事
page 4	何必裝腔
page 5	劉建緒將軍談浙東戰役經過寧紹各地我正掃蕩中
page 5	桂省五屆臨參會舉行開會式各機關首長均親臨致詞
page 5	所謂高度國防下的日本經濟四
page 5	巴超俊吳鼎新談四邑散振各地災民深感中樞德意台山損失最為慘重
page 5	戰區宣慰團在粵南工作經過
page 5	湘新聞業調查
page 5	寧波淪陷後米荒益嚴重居民不堪壓迫紛紛逃滬金融前途尤感黯澹
page 5	赴粵旅客應備防疫證明
page 5	韶關防空會提議取消疏散時間另求妥善辦法以謀補救決籌巨款加防空設備
page 5	閩省創辦師範專校下月初開始招生
page 5	經部在豫西設三工廠按照計劃籌備中
page 5	遂溪嚴禁米穀偷運租界違者以資敵論處
page 6	立法局昨日會議通過提高戰稅案限制濫用緊急權力案被否決六項修正衞生則例通過
page 6	港郵局昨通告收寄內地包裹此次恢復仍係暫時性質
page 6	金陵女大在港招考新生
page 6	報告書發表前移民局長富勵士犯兩來得錯誤富氏不適宜任機關領袖建議政府派員監督行政
page 6	卑斯麥浮沉記即在港公演係由飛機運來
page 6	中國交通兩銀行各購債百萬元商會發動各行商會募債旅業聯會會昨亦起響應
page 6	官營米石價格兩月後可貶低米貴係因運費高昂所致穀米統制專員巴利談話
page 6	謀汽煮飯爐中華煤汽公司新創造
page 6	吳澤華對記者表示未聞有徵入口稅事但祇研究減少奢侈品之入口目的在求節省外匯消耗
page 6	七七素食售花進行辦法決定屆時全港實行素食一天各界振聯會昨開會討論
page 6	警察拘捕小販與太古工人起衝突警車玻璃被磚石擊毀警察馳到彈壓捕三人
page 7	體協會聯席會議全部章程修妥華人南華兩會函覆決不加入六社團僅得兩代表出席
page 7	星東征澳記第二函從馬尼拉到禮拜四島珍珠埠五月十日至十八日
page 7	港菲埠際游泳賽港擬派隊征菲托菲駐港代表向菲協會接洽候菲方答覆即可決定
page 7	太古體育會海浴大會下月一日舉行
page 7	澳門溜冰比賽各項冠軍揭曉
page 7	夏屆籃球參加甚眾突破歷屆紀錄
page 7	溜冰籃球賽居聯勝士葛
page 7	黑拳王喬路易稱雄打倒比利康
page 7	勃琪的雙打論其六
page 7	學籃培正奏捷興中隊輸四球
page 7	外匯牌價申匯略縮美匯淡靜英匯沉寂
page 7	國幣市況益形傾疲
page 7	股票市況仍無進展趨勢不定成交稀少
page 7	四四金市仍甚沉寂
