page 2	社評歐陸的三個角落
page 3	郭外長對本報記者暢談大局中美英蘇密切攜手聯合抵抗共同敵人日本益陷孤立無力南進北進
page 3	蘇軍反攻獲勝前鋒突入波蘭南境
page 3	英國對蘇態度鮮明舉國支持援蘇政策空軍加緊對德轟炸
page 3	蘇騎兵隊突襲成功南路德軍攻勢轉弱
page 3	土國重申中立政策土使曾向蘇外長聲明
page 3	蘇芬關係微妙蘇機猛炸芬蘭各地德軍在北冰洋附近侵入蘇境
page 3	蘇聯紅軍的制度與組織
page 3	倫敦方面觀察德國攻蘇目的企圖擊敗蘇聯然後對付英國
page 3	土輪被潛艇擊沉遭難百餘人土方極憤激事前曾向德義要求安全通過
page 3	英空軍大規模出動不斷掃蕩德國據點
page 3	不度德不量力義派兵出征蘇聯
page 3	安喀拉傳德向英誘和謂巴本擬邀土斡旋
page 3	蘇聯軍需工業有顯著進步巨型軍械皆能自製出產數額超過預期
page 3	納粹大軍壓境瑞典處境困難被迫允許德軍武裝過境
page 3	美國援蘇漸具體化商輪可開赴海參崴對蘇德戰爭不擬發表中立宣言
page 4	松岡決定辭職日對大局依然無對策深懼美蘇作聯合行動美海長談太平洋局勢
page 4	美眾院通過巨額國防費增加海軍航空隊實力陸軍撥款案亦經提出
page 4	滇着手組織市縣參議會
page 4	美當局考慮貸款援英以便英國支付訂購軍械欠款四月份美運英貨物驟增
page 4	遠東德僑走頭無路西伯利亞鐵路封閉彼等與祖國全隔絕
page 4	美租借法加緊執行
page 4	上海大雨傾盆租界交通停頓馬路積水淹及二樓
page 4	英從院討論航運情形英相會發表完備報告
page 4	羅斯福總統鼓勵民眾應為自由而努力
page 4	戰時蘇聯全貌要區及名城
page 4	中澳換使積極進行
page 4	渝隧道內裝設電話
page 4	鄂南我砲隊揚威轟擊宜昌敵機場炸毀敵機達十三架
page 4	我國棉襪在美暢銷去年輸出值六十八萬美元
page 4	我空軍團抵星考察由毛邦初率領
page 4	南昌附近激戰敵蠢動受重創福州近郊我游擊隊活躍
page 4	陳光甫由渝飛昆為平準會搜集材料
page 4	各省農田水利突飛猛進川康築成自流渠十四道
page 4	財政會議宣言續
page 4	郭外長談話
page 4	松岡將辭職
page 5	四邑形勢轉安定江會敵軍一部已他調我軍事當局積極準備反攻
page 5	韶關募債運動各界熱烈響應
page 5	臨桂破獲大賭窟
page 5	晉豫經濟戰上記晉豫區工合
page 5	粵北邊匪將告肅清
page 5	擴大徵求節儲會員遍組節儲實踐分會
page 5	糧食類型各項物品指定取締囤積區域
page 5	劉侯武抵桂林談視察觀感桂省各項政務推行頗著成效粵省農村合作成績亦佳
page 5	各地護僑站開始工作東江方面亦將籌備恢復
page 6	立法局昨舉行會議通過修正戰稅法羅文錦請政府保證戰稅用途港督對戰稅案發表聲明
page 6	粵留港參議員日內赴韶開會一行計有陳炳權等十人將提出疏散及投資問題
page 6	自由法國運動獲得廣泛成功法國軍人紛紛投附高爾高爾遠東代表離港之談話
page 6	美孚汽油船大火詳情起火時有爆炸聲被焚汽油千餘罐
page 6	僑委會派余俊賢赴南洋視察僑教余氏明日可由渝飛抵港教育團體準備熱烈歡迎
page 6	華商會七一開始募債千萬元運動渝募債委會昨來電嘉勉金銀貿易場定今日募債
page 6	嶺大畢業禮昨日盛況
page 6	港紳發起創設大平民生產事業社救濟流落難民失業勞工希望各界人士參加辦理
page 7	體協會執委會月底召開會議東方會呈報足球隊遠征澳洲通過修改章程草案及新社團入會事
page 7	卓雄杯賽今日比賽兩場
page 7	香港青年棒球團百餘人參加可編作十餘隊分隊練習梁教練星期日召集訓話
page 7	老惠第四信六月十一日寄自怡保
page 7	中青初級泳班下月五日開始
page 7	籃聯投籃賽短期可實現
page 7	中國游泳隊羅文錦任領隊參加中西義泳
page 7	中學籃球賽嶺東大勝今日仍有四場
page 7	三大游泳會定下月五日分別舉行水藝會華人會響應公債運動
page 7	廣大游泳場明日下午開放
page 7	南華在怡保三比零淨勝霹靂聯
page 7	外匯牌價俱無變更美匯沉靜申匯仍穩
page 7	股票市況扶搖直上昨日成交八萬餘元
page 7	國幣微降
page 7	四四金市仍甚沉寂
