page 2	社評近衛內閣的壽命
page 3	明斯克區繼續血戰德軍攻勢已遭重挫雙方施用坦克車竟達四千輛傳史達林赴烏克蘭前線督師
page 3	蘇軍越多瑙河傘兵在羅着陸海空猛襲康斯坦沙港
page 3	蘇軍掩護戰曾予敵重創
page 3	美國的國防生產援助民主國家實力的再估價
page 3	芬境德軍日增沿北冰洋東進圖佔蘇港口摩曼斯克
page 3	芬軍元帥發出手令公然揮軍對蘇作戰
page 3	英報痛斥羅芬瑞典甘心墮落幫凶侵蘇
page 3	蘇聯伊朗關係友好德方宣傳純為捏造
page 3	瑞典南部佈置水雷
page 3	蘇聯軍民堅決鎮靜抱有最後勝利信心
page 3	英蘇兩國代表開始舉行會商正尋求快捷合作方法美議員演講助蘇抗德
page 3	美政府要求國會擴大總統職權正式宣布全國緊急狀態以便總統施行更大權力
page 4	美國加緊援華步驟飛行員已大批來華並將在華設立飛機配件廠
page 4	日報又發狂論竟圖瓜分蘇聯鳥克蘭東列入東亞新秩序德發言人論三國同盟謂足以替代反共公約
page 4	西歐連日空戰德機損失百架英機出動畫夜不息
page 4	維希政府否認甘茂林越獄說
page 4	格魯森道夫任美駐華副武官
page 4	南國紀念日英首相廣播
page 4	英國尚未禁止油類運西雙方正談判新協定西反英態度半影響談判
page 4	美海軍陸戰隊一小隊赴英便利美辦事機關聯絡
page 4	土輪被擊沉英蘇表同情
page 4	蘇聯紅軍的制度與組織四
page 4	德煤油供應前途難樂觀英經濟作戰部長演講
page 4	非常時期工商業及團體管制辦法行政院公布施行
page 4	獻機運動熱烈展開海內外普遍響應預計可捐千餘架
page 4	鄂中敵軍以蠢動應城附近激戰中
page 4	土外長將赴柏林簽署友好條約
page 4	德國發表大西洋戰報潛艇擊沉英航輪
page 4	節儲競賽成績良好總數不久可達四億五千萬
page 4	黃炎培由渝飛滇勸募戰債
page 4	荼陵一學生代兄入伍
page 4	日本想瓜分蘇聯
page 5	粵省當局決定救濟漁民辦法組織漁村工作隊協助抗敵或按情輕重妥予收容救濟
page 5	桂新穀登場米價驟跌湘米十六萬斤亦已運到
page 5	江會各線戰事沉寂赤溪邊境我戒備中
page 5	東江各地退出員生教廳已分別安置
page 5	財政會議宣言續完
page 5	粵省臨參大會舉行籌備會議聽取新制縣長意見以資借鏡本屆提案以糧食兵役為中心
page 6	颶風向本港吹襲七號風球深夜仍未解除海上船艘均作緊急準備
page 6	颶風行蹤
page 6	海上交通
page 6	港各樓宇須設水廁衛生局再討論
page 6	僑團聯合紀念七七節約素食獻金並擬交涉在　日正午停止交通三分鍾紀念
page 6	糧食統制專員通告領油豆麵粉證手續拒絕交由經紀人代交收
page 6	柴薪黑市仍然存在柴商運往澳門發售每日出口凡數百擔
page 6	本港與荷印貿易最近大見衰退因遊客減少貨物禁出口輪船客貨運輸均見稀疏
page 6	戰時保險於短期內實行
page 6	鯉魚門兩小雷爆炸水雷被沖脫鏈互撞所致貨船一艘經過險被炸沉
page 6	貧民缺營養肺病者增加司徒永覺籲請各界協助改善貧民生活
page 6	燈火管制演習時實地試驗防空燈罩將安裝此種燈罩三千個防空洞多個已全部竣工
page 7	港啤隊大發神威工程慘遭敗仗二比十八局勢成一面倒岷甸奴對香港因雨改期舉行
page 7	星東足球聯隊六比四贏全澳
page 7	青年棒球團昨午在加山場正式成立下月七日編隊訓練
page 7	南華游藝部響應募債今晚舉行出發
page 7	吉隆坡足球隊實力分析談星期論壇有詳細的評價李惠堂亦作評語
page 7	單車比賽下月二日開始各部職員選定
page 7	中學籃球賽昨因雨改期
page 7	鐵城杯賽今日截止報名
page 7	南華足球部主任梁焯雲萌去志曾去函執委會聲明辭職
page 7	上週本港金融行情
