page 2	社評日本與泰越
page 3	日新閣昨組織成立近衛發表簡短聲明
page 3	白宮重要集會商討遠東情勢日壓迫貝當接條件
page 3	美總統嚴正表示決不採姑息政策
page 3	墨西哥禁運日極感恐慌
page 3	美對太平洋局勢具最大決心將作一勞永逸之解決
page 3	鄺炳舜抵華盛頓
page 3	蘇在遠東沿海佈雷日本竟提強硬抗議
page 3	英美船舶保證制日輪首受影響大阪商船被迫改變航線
page 3	日捏造消息經蘇外次否認
page 3	拉第摩今晨飛渝
page 3	日本軍人對中國的圖案
page 3	日本幻夢與現實倫敦泰晤士報發表長篇論文檢討十六世紀來日外交政策
page 3	全國墾殖事業突飛猛晉努力擴大國營墾區
page 3	日貪慾無止境蔣廷黻氏向英美廣播
page 3	軸心外交人員最後一批撤退
page 3	外部兩次長傳秉常錢泰繼任
page 3	上海俄僑高潮反德
page 4	蘇德戰事無大變化羅馬尼亞軍隊一部投降紅軍
page 4	英在地中海將發動攻勢牽制德義對蘇軍事
page 4	馬夏爾促議會通過延長服役案防止軸心勢力膨脹惟有加緊增強實力
page 4	美建艦速率達巔峰階段四十日內二十二艘下水
page 4	美國又進一步打擊德義貿易封鎖南美軸心代理機關防止軍略原料偷運歐洲
page 4	駐美英大使參觀美機廠並向工人發表演說
page 4	羅運炎被偽方架往江寧
page 4	美海軍增強大西洋前衛
page 4	華維爾抵印盛世譽印軍工作
page 4	義軍佔領薩摩斯島
page 4	蘇願致力解放淪陷國對波捷等淪陷國家願支援其自由原則
page 4	從政人員須參加生產由主管機關擬定辦法
page 4	北愛總理贊成美設根據地並歡迎美派軍登陸南愛議員亦持同樣主張
page 4	倫敦對蘇一片同情聲演奏蘇聯音樂民眾歡迎蘇使
page 4	美國民意贊成接防冰島哈里法克斯氏表示英軍不致全體撤退
page 4	達拉第等六人仍受無期監禁維希宣布調查手續已完竣但在和約簽字前始行審判
page 4	財政新制度開始實施各省國稅局積極籌備
page 4	近衛新閣成立
page 4	霍金斯在倫敦參加英國閣議交換英美當局意見
page 4	納粹一將領在前線陣亡明興暴動主謀人之一一向為希特所倚重
page 4	維希閣員更調因受巴黎報紙攻擊結果
page 4	敵機襲渝英使館又被炸
page 4	晉東敵西犯未逞同蒲鐵路被切斷
page 4	余銘獲牛津榮譽學位
page 5	我大軍固守　西龍泉敵全部他竄
page 5	韶關電力廠電力微弱供應不敷當局限期切實調整
page 5	南路大雨成災化縣受害最重塌屋百餘田禾悉遭摧殘為高州二十年來所僅見
page 5	粵寒衣代金解足三十萬元
page 5	國府明令公布姓名使用限制條例
page 5	廣州灣法機越界飛行我方已提出抗議
page 5	靈山中學發生罷課風潮
page 5	岐澳貨運仍停頓中中山偽軍暗鬥甚烈
page 6	新任英駐華陸軍司令莫德庇昨日抵港昨已視事日內正式就職並前往拜會港督羅富國
page 6	立法院長孫科抵港孫夫人陳淑英同來
page 6	一朝才子失江東楊雲史遺體昨入殮致祭者有許世英等多人遺柩暫厝原處定期發引
page 6	防空副總監談燈火管制意義商店居民提早熄燈歇業此種行為殊非合作之道
page 6	南洋考察團組織規程工商團體領袖組織行程暫定為三個月
page 6	救濟我殘廢軍人募捐各方進行積極官紳及銀行界踴躍捐輸羅文錦代表向各方呼籲
page 6	留港參政員昨歡宴拉第摩陳光甫等多人作陪席間賓主酬酢甚歡
page 6	贈港督紀念品報名者甚眾現已有五十餘人
page 6	商會募債昨得四萬餘元
page 6	留港粵參議員五人由韶返抵本港大會通過要案七十餘件此次在韶所得印象甚佳
page 7	今日棒球獨腳戲南華對抗工程下午二時半在漆咸道場上演雙方實力不相上下必有惡鬥
page 7	青年棒球團梁扶初第二次訓話
page 7	南華游藝部今晚演劇迎新會友參加
page 7	埠際小球遴選賽紅隊戰和白隊三比三白隊二比一占先
page 7	風箏複賽今日分組舉行
page 7	南華會友排球今日行頒獎禮
page 7	晏榮杯賽六路英雄會師
page 7	足球拉雜談左腳王將易幟投奔南華星東征澳收入成績欠佳
page 7	上海業餘游泳會審定紀錄六項男女子各占三項男子倫司台一人包辦
page 7	居聯會今晚水藝會
page 7	外匯牌價俱無變更美匯沉寂申匯微淡
page 7	股票仍乏生氣買胃呆滯成交三萬餘元
