page 2	社評如何促進V字運動
page 3	莫斯科首次遭空襲防衛嚴密損失甚微史達林正式出任紅軍總司令
page 3	歐戰後的和平問題新秩序與新世界六月二十五日牛津航訊
page 3	印增強國防行政會議將擴充並組織國防會議
page 3	美總統要求國會承認緊急狀態以便下令延長兵役年限並要求取消正規軍限額
page 3	英國向美舉借巨債四萬萬餘元合同已簽字用以償付租借案前欠款
page 3	韋爾斯對記者談德有侵略新陰謀
page 3	美作家主立刻參戰希特勒係閃電戰俘虜
page 3	土不放棄韃靼納爾週年紀念時土報之表示
page 3	戰線範圍擴大德向義羅請兵羅奪回失地後無意援手
page 3	英德宣傳戰互相標榜V字運動
page 3	英機又炸歐陸科隆區大火長五哩法岸航運亦被襲擊
page 3	德國侵蘇不利又圖分化離間士博德又發動和平攻勢
page 3	比獨立紀念英外長廣播
page 4	粵省我軍出擊廣州敵軍恐慌萬狀
page 4	日本發動神經戰越南局勢愈微妙
page 4	華北日軍調動繁忙北平釜山列車停駛
page 4	美國大西洋艦隊三
page 4	倘日貿然南侵英美準備應變
page 4	粵新軍訓練受訓員生技術精神並重潛心研究現代軍事學術
page 4	英議會將再度舉行戰事生產問題辯論
page 4	近衛發表談話依然舊腔陳調
page 4	本多撒嬌經豐田慰留下月初返寧
page 4	竭澤而漁日將統制買易
page 4	美報業權威殷格索抵星洲謂美決不虛張聲勢同時能在兩洋作戰將赴陪都及莫斯科考察
page 4	安陽偽軍反正擊斃城內日偽軍甚眾
page 4	陳光甫抵渝福史斯同行
page 4	敵機襲渝時查窶鈞遇難蔣委員長呈請國府明令褒揚
page 4	國際友人盼望中共迅改態度陪都人士一致強調團結
page 4	湘公買餘擬定辦法十二條
page 4	援華會委員柯伯特抵滇將轉渝考察
page 4	中央海外部重視黨員補行總報到港澳展期本年底截止
page 4	全國童軍寒衣募金結束得款卅一萬六千元捐獻前方忠勇將士
page 4	美國委出駐印代表
page 4	滬大世界發現愛國傳單捕房勒令停業
page 4	近衛之言
page 4	莫斯科被炸
page 5	中國工合贛閩粵區工作會議結束在各地設班訓練技術幹部提高核准貸款增至一萬元
page 5	第四年抗戰經過五
page 5	梅縣發生重大劫殺案案情曲折當局加緊查緝主謀要犯現尚逍遙法外
page 5	韶關取締奢侈浪費不准增設茶居酒樓
page 5	湘省派員赴粵搶購鹽斤設戰時轉運站
page 5	粵改進各縣警政積極補充糧彈民廳將派員出發視察
page 5	台山繼續剷除煙苗
page 5	教廳電影隊赴東江工作
page 5	國粹與國學八
page 6	港種植總會昨開會決與當局合作售菜全港菜產組合作社發售
page 6	官米局答覆報界質問米價難回跌
page 6	航空委員會嘉獎港僑模型飛機運動航空建設協會允予贊助擬將列入協會工作之一
page 6	公平糶粹米會建議當局直接運穀來港米類種過繁應減為四種改期廿六日開始售菜
page 6	蔣委長電唁楊雲史家屬並贈賻儀萬元
page 6	全國大學生畢業論文競試嶺大三人獲獎為朱進任李沛金區錫齡全國大學學院共三十名
page 6	宏記購債廿五萬元
page 6	運蘇藝術品物主追索已得吳鐵城氏查覆報告各物現尚在蘇
page 6	華商會下屆值理選出郭泉等百人
page 6	魚翅燕窩擬限制入口
page 6	中大陳宗南抵港主持招考新生
page 6	紅海監運港首批七千噸
page 6	香港號轟炸機將出現歐大陸港英僑捐一萬五千鎊殖民大臣電港督致謝
page 6	生活程度日高教員多要求增薪金或兼營別業以增加收入一部學校實行自動加薪
page 7	體協會同人大會將於月底舉行協會一兩日內即發通告週知星島民聯兩會尚未去函參加
page 7	內鋒的技巧七
page 7	卓雄杯賽今日兩戰好看昨天南洋勝仗
page 7	夏令籃球賽金銀告捷
page 7	短途徑賽談
page 7	霹靂互濟隊抵星中體熱烈歡迎兩方言詞關體育救國事
page 7	何日榮在星運動會神槍驚四座成績一百四十九尺強印軍包辦三英里民績破紀錄
page 7	防空演習棒球賽展期
page 7	滬網球卡遜返國後我華人稱雄
page 7	文治盾排球賽繼續舉辦
page 7	股票仍欠靈活需求既少賣戶亦屬不多昨成交總值僅三萬餘元
page 7	美菲荷匯牌價回漲申匯市況仍屬穩定
page 7	國幣市況依然不振
