page 2	社評論英美聯合宣言
page 3	英國宣布對日禁運經濟制裁又進一步英美將派重要代表團赴蘇
page 3	羅斯福邱吉爾會談時美要員多參加聯合宣言以四十種方言廣播
page 3	羅斯福總統仍遨遊海上專車正候於波士頓
page 3	華盛頓方面之反響認為軍事同盟前奏
page 3	英方極感興奮聯軍熱烈擁護
page 3	美飛機汽油首批運蘇聯由美運油船裝載取道海參崴美派代表赴蘇輸運油事務
page 3	滬敵汪暴徒在租界行兇殺害經濟學者嵇鯤生並與警捕格鬥死傷多人
page 3	納粹評論胡言亂語
page 3	日本承認性質重要
page 3	長敗國家侈談勝利
page 3	平沼被刺為政變先兆日本危機內重於外
page 3	裴佛布羅克飛抵華盛頓磋商擴大援英問題
page 3	軸心群魔傳將會議討論分贜夥劫辦法
page 3	大批澳洲軍又開抵新加坡普法姆司令親自迎迓日特務機關在泰活動
page 3	天羽英二任日外務次官
page 3	美國委出駐泰公使由柏克氏繼任
page 3	泰日兩國使館升格坪上任駐泰大使
page 3	檀島數百僑胞擬返祖國效力我領館已予註冊
page 3	美機廠工潮已宣布解決
page 3	美參院通過延長兵役案該案已送總統簽署徵兵限額亦已取消
page 3	偽滿邊境蘇日續有衝突日又增兵威脅蘇聯
page 4	俄底沙堅守中烏克蘭紅軍棄守兩城集中力量作持久抗戰
page 4	侵蘇戰事逾七週納粹損失慘重二十九個機械師團被毀蘇聯官方發表詳細統計
page 4	瑞典軍事家戰局觀察蘇軍必堅守俄底沙
page 4	英國機群又猛襲德國炸漢諾佛等處要地
page 4	星洲僑胞電蔣委員長請交涉恢復僑匯
page 4	美傳教士遭日虐待
page 4	丑表功芬匈竟誇張勝利
page 4	莫斯科設立防空陳列所作防空合理演習英專家極表欽敬
page 4	雷殷視察談謂粵政有進步
page 4	驛運能力激增進出口物資極為流暢各地驛運網加緊完成
page 4	美國無限緊急時期的賦稅與凱衍斯計劃二
page 4	軍委會發表一週戰況八月八日至十四日
page 4	晉省我軍出擊一舉克復孝義淪陷三年餘重見天日人民鼓舞青白旗飄場
page 4	又一敵酋被我轟斃
page 4	白副總長痛斥讕言建議起用張學良說純係荒謬不經謠言
page 4	敵機肆虐飛川滇陝等地投彈
page 4	航委會發表我空軍戰果擊落敵機千五百餘架
page 4	蘇州日商店發現兩炸彈
page 4	英對日禁運
page 4	陪都又一血賬防空洞口被炸堵塞死傷者多人
page 4	貴州省行昨舉行開幕禮資本六百萬元
page 4	粵省一貪污李勉成槍決
page 4	我赴美學生可照常出國外部交涉之結果
page 5	陸費伯鴻先生生平略述續
page 5	恢復惠州繁榮省振會續撥三萬元施振省行就地舉辦小本貸款
page 5	粵省家庭節儲隊勸儲成績良佳總額逾一百三十萬元
page 5	美教士自蓉抵滬暢談遊華觀感偉大不可屈服人民奮發世無其匹擁護領袖信念堅強
page 5	國立中山大學恢復附屬中學部令作為師範實習場所本屆招新生一百六十人
page 5	曲江舉辦糧食登記
page 5	韶關開始執行戒除奢侈浪費警備部派員赴各商店勸諭營售化妝品海味均將處罰
page 5	建設新韶關市區面積擴大十倍
page 5	澳門海面電船爆炸損失達十五萬元
page 5	黃枯桐詩悼泰戈爾
page 5	粵定下學期起增加各校經費教員支薪標準將一律提高並實行徵收學米彌補生活
page 6	港日僑全部撤退日領謂因商務停頓關係
page 6	莫德庇宴別港督羅富國據港督府副官處公布
page 6	國貨陳列所昨開幕各界名流參加情緒熱烈虞洽卿郭泉主持剪綵禮
page 6	戰債已銷千五百萬但收到債款僅三分之一日內頒行募債競賽辦法
page 6	港府在澳建難民營四座可容二千人
page 6	沙遜爵士過港暢談遠東形勢日本已殺斃生金蛋之鵝資金凍結滬商業受打擊
page 6	孔子誕辰紀念辦法定二十七日舉行集會同時舉行慶祝教師節
page 6	軍事演習
page 6	港府限制僑匯辦法係屬暫時性質尚待我當局提改善建議個人匯款限額亦應增加
page 6	施柏堅總監月底離港防空建築受賄案希望居民予揭發
page 6	八一三獻金逾四十萬金銀貿易場最佳
page 6	華商會圖書館遷入二樓開辦便利僑胞前往閱讀書報在下月初即可動手遷移
page 6	美禁日絲入口後港絲價反暴跌因粵絲大部係由日收買但預料短期內將可回漲
page 6	清華公費生三人赴美中華教育基金會
page 7	棒球慈善大比賽今午揭開戰幕美艦聯對港聯取五場三勝制聯賽工程隊再戰中華
page 7	譚進杯錦標賽仿林遭遇金銀高級組星島仿林初會師舉行戶內獻花救濟失學難童
page 7	中西游泳對抗勵進團再戰域多利
page 7	星猛虎足球隊戰和檳華聯一比一猛虎先輸後贏雙方演出極緊張
page 7	鐵城杯賽新青銀聯奏凱
page 7	東方重築泳場今日開放
page 7	粵救分會籌款舉辦水陸游藝今夕八時在鍾聲揭幕
page 7	卓雄杯賽太古打和錦輝
page 7	居聯今晚水藝會
page 7	國幣市況微淡且靜
page 7	股票市況靈活昨日成交總值十萬餘元
page 7	外匯牌價俱無變更美匯沉寂申匯淡靜
