page 2	社評蘇德醞釀大戰
page 3	福州敵軍被迫撤退我軍追擊予以重創福清秩序漸復民眾相率返城
page 3	各戰場均有捷報
page 3	敵閣遇新危機眾院正副議長提辭呈
page 3	長沙嚴禁釀酒賣酒
page 3	由日撤退美僑備受留難領取六七種允許證種種限制不一而足
page 3	印度機械化部隊開抵新加坡增防
page 3	論國際反侵略戰新形勢中蘇英美聯合起來為撲滅侵略者而奮鬥
page 3	美日談話未有新發展赫爾接見記者表示
page 3	封存外匯資產動支暫行辦法經財部規定由中央銀行公告
page 3	開發黔西富源滇黔邊地土司殷戶計劃設立開發公司
page 3	化學會第九屆年會蔣委員長頒示訓詞
page 3	糧食工業公司即將正式成立
page 3	我訪緬團在仰光盛受熱烈招待日內即轉道臘戍返國
page 3	馬來亞倘被進攻英將作戰到底總督湯瑪斯警告日本
page 3	澳洲積極備戰麥凱任總司令
page 3	英在遠東地位較前大見增強
page 3	美國軍事代表團團員奧斯蘭抵渝
page 3	馬尼拉日僑僅少數撤退
page 3	德駐津總領由魏德曼繼任
page 4	英美加緊援蘇第一批飛機已運到莫斯科公布退出塔林
page 4	戰事已十一週蘇軍抵抗愈強
page 4	蘇派代表赴美考察飛機工業並商購轟炸飛機艇
page 4	伊朗接受英蘇休戰提案覆牒已送英蘇代表
page 4	英德空軍比較英占壓倒優勢人才技術均有長足進步
page 4	納粹統治下的二歐洲民族怒潮
page 4	大西洋之戰英始終主動海上交通迄未斷絕最近損失大見減少
page 4	德義狂想曲計劃組織歐洲國願步拿破侖後塵
page 4	美總統讚揚蘇英勇抗戰
page 4	美新租借案下週可提出數額由五十至七十萬萬
page 4	巴本赴維也納短期內將重返安喀拉蘇認德義將施新壓力
page 4	荷比挪等國民反德運動益烈
page 4	英經此兩年努力終能擊敗德國英情報部長之談話
page 4	美墨關係緊密美滿意墨總統宣言
page 4	英在西非積極設防
page 4	義大利人民不甘受德利用望美參戰擊敗納粹由義返美旅客如是談稱
page 4	神州克復
page 4	美總統授權徵用外輪有效期至明年六月
page 4	蘇芬媾和說美國並未與聞
page 5	在我堅強防禦下粵敵軍一籌莫展大部敵軍他調已無深入能力烏合偽軍更不堪一擊
page 5	桂省籌備組織省營貿易公司購運供給民生重要物資改進運銷省內特產物資
page 5	中國史上之教育家三
page 5	粵省掃除煙毒半年來緝獲烟土四千兩沿海普設關卡緝捕私烟
page 5	持械運輸鴉片奸商判處死刑史開顯等在桂境被捕獲從犯六名各處無期徒刑
page 5	香山幼稚師範桂林分院日內將開始招生
page 5	英國婦女城市生活
page 5	粵兒童教養院加緊籌設工藝院工廠七間限期本年完成四邑義童一批搶救抵韶
page 5	贛省煉鐵廠籌備已就緒派員勘查礦地著手開採
page 6	港府在市區內外建築公共食堂廿三處供空襲時居民就近食飯全部建築經費數十萬元
page 6	華商總會昨歡迎孫院長報告國際對我援助日增領袖賢明抗戰勝利在握
page 6	一元獻機會今日正式成立敦請陳副部長蒞臨致詞
page 6	防空工程續審訊研究劉美美五千元存款捷和經理供述承造經過
page 6	本港教育概況英國遠東情報局廣播下
page 6	劉美美女士
page 6	美總統輪遠東總公司擬由滬遷往菲如必要時將撤銷滬航線該公司遠東經理昨抵港
page 6	邊境日軍調動頻繁我空軍曾飛往偵察日軍恐懼異常忽忙布置
page 6	學生救濟核准四十四人
page 6	全國學業競試嶺大獲第二名國立中央大學榮膺冠軍教部將嘉獎優勝各大學
page 6	黃君璧個展明日開始
page 6	颶風已轉向無襲港虞一號風球除下
page 6	文化服務社港分社明開幕
page 6	女光半月刊二期出版
page 7	一波未平一波又起居聯退出協會正式遞函通告並召回五代表東方今日開會商討退出協會
page 7	鐵城杯賽昨夜無戰事
page 7	特別銀牌籃球賽今晚開代表會報名參加者凡十一隊比賽秩序即席可編定
page 7	南華足球隊定期抗軍聯
page 7	港九居聯會舉辦港僑校際水運廿八開始即日函請各校參加日間水上游藝七日正午舉行
page 7	樂斯杯賽警察戰僑星
page 7	來屆足球聯賽士葛實力檢討支屆健將依然出馬效力
page 7	澳門水球隊約戰居聯定七日角逐
page 7	星水球錦標賽猛虎輕取華人
page 7	卓雄杯明日兩場對抗下月辦銀牌賽
page 7	外匯牌價俱無變更英匯美匯仍乏生氣
page 7	股票扶搖直上投機者之買胃愈形暢旺昨日成交總值十五萬元
