page 2	社評南太平洋之暗濤
page 3	美決加緊援助中蘇對日態度始終沉靜英海長表示關心遠東局勢
page 3	日報遍放煙幕企圖誘脅泰國並圖鬆弛民主國包圍
page 3	東條排除異己近衛左右人物悉被擯棄
page 3	遠東紅軍實力未減偽滿邊境蘇日軍對峙
page 3	樹倒猢猻散近衛坍台後汪逆大恐慌
page 3	日人垂涎越南資源
page 3	美議員建議取締雙重國籍公民外國政府利用刺探軍情
page 3	暴日佔領越南真相一華僑呈獻一片赤誠擁護領袖抗戰到底敵人的兇殘泯滅不了華僑忠貞的氣節
page 3	我政府同意捷克新公使
page 3	工人遭受空襲損害暫行救濟辦法公布
page 3	政府及工業機關請求外匯財部新訂六項辦法
page 3	西北建設問題與科學化運動朱部長家驊播講
page 3	菲島限制鋼鐵輪日
page 3	羅文榦靈櫬定今日出殯
page 3	工程師年會開幕盛況空前參加會員來賓數達千人通電林主席蔣委長致敬
page 3	澳駐華公使月杪遞國書
page 3	英財政專家倪邁雅氏研究我經濟資料邀我主管當局會談
page 3	菲律賓昨晚燈火管制時間僅二小時
page 3	豫我軍衝入鄭州新鄉亦發生激烈巷戰
page 4	莫斯科戰事穩定柏林戰報沉寂傳德又計劃新攻勢
page 4	論資金內移三
page 4	哈里曼談話蘇意志堅定不惜任何犧牲作戰到底美援蘇物品分幾路運蘇
page 4	英海軍熱烈紀念特拉法爾加之役英海軍納爾遜精神猶在
page 4	商輪屢被擊沉需要武裝益亟美總統對記者之談話
page 4	以武力打擊武力乃和平唯一希望美海長向全國廣播
page 4	英國期待美陸長赴英美陸部未發表意見
page 4	英墨恢復幫交徵收油田問題暫予懸擱
page 4	美輪三艘又被德國擊沉地點在大西洋與非洲海岸
page 4	赫爾主張廢除中立法美國不能逃避準備抵抗情勢侵略狂流正向美國方面衝激
page 4	議會人士大為震動裴勃爾主加倍報復
page 4	法境德司令被刺德又濫殺人質法人五十名已橫遭處決達蘭已由維希趕赴巴黎
page 4	德經濟要員先後赴義磋商食糧經濟問題
page 4	英王捐款千鎊作為援蘇基金
page 4	美輪又被擊沉
page 5	上海物價狂漲全由囤積居奇被囤日用品價值五十萬萬奸商不顧法令情形甚嚴重
page 5	中國抗日戰場上的朝鮮義勇隊下
page 5	鄭彥棻返韶談赴渝經過及觀感粵公務員質樸緊張生活應保持發揚光大
page 5	中國反侵略工作及動向
page 5	粵省公務員應樸實緊張
page 5	粵南各地匪風猖獗
page 5	韶關破獲夥黨械劫案不肖哨長黃毓寰伏法
page 5	盤踞粵省敵軍有蠢動模樣大批防毒面具運到廣州跑兵一部開往江會增防
page 5	昆明點滴
page 5	長途電話加價下月一日起全國實行
page 5	戰時金融問題二在經濟問題座談會演講
page 5	澳門廣州灣間貨運困難
page 5	滬寧路火車兩次中雷爆炸無錫自衛團被槍斃三十人
page 6	昨晚澈夜燈火管制淩空視察成績頗佳警報發出車輛渡輪停駛
page 6	黑暗中見聞記
page 6	廣州灣禁牲口運港係屬暫時性質港灣當局已進行交涉中法領事昨日談禁運原因
page 6	祁樂壽臥病防空工程案停審
page 6	聯美公司增設港星聯航空線每月來往港星間八次港菲新線度航甚圓滿
page 6	警察當局嚴格執行限制巴士乘客人數昨大量乘客擁塞道左候車
page 6	港郵局擬舉辦電印空郵利便軍人迅速通訊
page 6	大嶼山與西貢進行近況兩處均在進行中
page 6	偷渡入境事採取嚴厲辦法澈查
page 6	簽證處通告海外僑胞購節儲券辦法外幣可按港滬行市折價或按重慶升水辦法購買
page 6	亞細亞公司印人自殺頭腹均有彈痕
page 6	謠言惑眾半夜竟妄用電話通知各軍政要赴督轅開會
page 6	醫務總監談戒煙問題當局無意設戒煙所醫院現已擁擠實難兼顧注射法戒煙比較最有效
page 6	柴薪統制專員談無意增加柴價黑市係無牌柴商所造成柴船業已抵港無虞缺乏
page 7	甲組足球聯賽三華各晉一級奪標形勢與我愈形有利週末東方南華星島可望勝仗
page 7	乙組足球聯賽星島敗於七營三比四打破無敵榮銜守將不力飲恨快活谷
page 7	獻機籃球義演後晚揭開戰幕另加演一幕女子籃球賽仿林女中對華雄
page 7	籃球聯會議決要案三則
page 7	南華歌詠班廿七開始訓練
page 7	週末足球聯賽士東大戰好看
page 7	陳漢明播音看球人應守球場秩序
page 7	新加坡足球聯賽空軍榮獲錦標四比二華人功虧一簣延時十分鍾連失兩球
page 7	東方排戰陣對抗蘇軍劉始讚決登場
page 7	鐵城杯南華成績最高有冠軍希望
page 7	中匯市況依然淡靜英匯美匯仍屬沉寂
page 7	股票續有起色人心安定需求漸見增加昨成交總值達二十萬元
page 7	國幣價格先降後漲
page 7	滬標金價上漲昨日上海電滬標金價
page 7	輔幣貼水昨大低落
