page 2	社評把握現實認真努力
page 3	豫省我軍克復廣武鄭州附近戰況轉烈
page 3	我飛行員抵美受訓
page 3	敵將召開臨時議會討論增加特別軍費藏相提新徵稅法案
page 3	飢餓線下的巴黎一七月十日巴黎特約通信
page 3	工程師年會商討國防工業翁文灝當選下屆會長
page 3	軍委會發表一週戰況十月十六日至廿二日
page 3	澳總理談話國防決策全部通過
page 3	澳洲成立中國協會
page 3	滬平敵偽隨意捕人
page 3	日發言人聊以自慰
page 3	倪邁雅招待留英同學
page 3	美變更援蘇航線絕非對日本讓步國務部聲明與美日談話無關
page 3	倫敦官方等候情報
page 3	揭破偽方黑幕鮑威爾氏被狙擊經過
page 3	農政推行順利各省設農林廳可望實現經營公有農場努力增產
page 3	穩定法幣三國經濟代表即將來港開會
page 3	英竭力援華外次勞氏發表聲明調查宜昌軍施用毒氣
page 3	中國製片廠將派員直美考察
page 3	地價申報辦法川滇粵閩浙等省已遵行著手訓練地政員千餘人
page 3	日糧食恐慌雞卵按口分配
page 3	粵僑墾殖會聘鄺炳舜等為委員擬定畜牧場計劃
page 3	青海攝理獻軍馬萬匹青省府請國府嘉獎
page 3	小學訓育標準教部頌布施行
page 3	李國欽短期內將再返國辦理三機關合併
page 3	英撫卹部規定中國海員損失賠償辦法
page 4	加裏寧猛烈巷戰德軍被殲數萬列寧格勒又降暴風雪
page 4	德兵員不敷分配雜牌軍盡調前線
page 4	孫院長談話革命目的即為實現民主
page 4	英眾貴兩院辯論援蘇問題倡攻德論者繼續呼籲貴院擁護政府任何援蘇辦法
page 4	德日黷武主義必須予以擊破雅納爾少將之廣播
page 4	德軍官反戰德在挪境設牢監禁
page 4	美海軍日總統將廣播並將譯成法德等語言
page 4	土耳其入戒嚴狀態政府將發出防間諜命令
page 4	各種援蘇方法無不竭力以赴艾登向眾院提出保證
page 4	英婦女動態未婚美女擬售吻募款義務援助隊將赴中東
page 4	法人質五十名又遭德軍處死德軍恐怖行動變本加厲
page 4	中立法第六項將獲得廢除多數參議員非正式表示贊成美輪能開入交戰區
page 4	駐美英使館設專門顧問
page 4	租借法二次擬款案美參院已通過立法程式屆完成階段美國空軍規模再擴大
page 4	飽嘗鐵彈滋味英機猛炸那波裏歷五小時半之久
page 4	美油船一艘確已被擊沉
page 4	德國增加軍火運義
page 4	高爾要求法人停止暗殺行動忍耐從事準備工作等候反攻機會來臨
page 5	國軍兩路興師南華迎戰香港會界限街光華會初逢警察土葛對東方因事改異日舉行
page 5	甲組聯賽形勢
page 5	星海之戰檢討
page 5	黃柯被罰離場事件總會研訊結束兩人罪名不成立受警告作了光華抗議球證押候下週再審
page 5	銀聯小球賽下月二日開幕
page 5	文治盾排球賽今天停鑼
page 5	歪嘴吹燈錄王橫
page 5	獻機籃球義演康元迎戰黑貓下午七時在中青健身房女子仿林對華雄
page 5	鐵城杯籃球決賽民大對南華下午八時一刻在青支會球場頭場新青戰華僑
page 5	本報籃球隊打倒南職三九比三七分
page 6	三國金融會議將決定對滬外匯供給額顧翊群代表昨接見記者謂現聽取金融界之報告
page 6	美總統輪船公司宣布輪船停止駛滬泰萊輪售出艙位均退回其他美輪現繼續駛來港
page 6	先叔文榦與電影事業
page 6	柴薪統制積極加強統制專　昨發通告
page 6	獻機書畫展今日開幕特請陳副部長揭幕
page 6	港中國工業合作社籌辦嘉年華會有各種游藝及出品展覽所得款項撥作工合經費
page 6	入境局嚴查入口船隻防止偷渡入境
page 6	秋季大馬彩今日揭曉請看誰是富家翁
page 6	巴士交通阻滯居民嚴重抗議憤慨提出強硬質問五項對此種措施表示極不滿
page 6	由本月底起實施初級制水晚十時至習晨五時止如再不降雨當再加嚴
page 6	基督教學聯舉辦秋令會二十六日舉行
page 6	用電話騷擾官員案西人被判罰款入獄被控七罪每罪監禁三日並附帶罰款合計七百元
page 7	潮陽血戰六晝夜我收獲偉大戰果敵偽分裂日深造成嚴重局勢傳敵於必要時將縮守汕菴線
page 7	潮陽之戰
page 7	我游擊隊活躍夜襲市橋奏捷廣州情形混亂商店陷入停頓
page 7	動力酒精試驗成功效果良好某戰區將設廠製造
page 7	文化新堡壘省立圖書科學博物三館最近期間即可開幕
page 7	廣東省銀行輸實物貸放暫以種籽肥料工具等為限本年農貸額已逾二千萬元
page 7	空屋骷髏昆明金雞巷發生一奇案
page 7	敵軍防地
page 7	申匯略見好轉英美匯仍沉寂
page 7	股票市況穩靜昨日成交達十三萬餘元
page 7	國幣價格昨略回漲
page 7	滬標金先漲後降昨日上海電滬標金價
