page 2	社評敵軍將攻滇
page 3	敵軍大量開集越南侵滇犯泰企圖未明蘇日衝突聲中建川記蘇外交
page 3	為保證戰後繁榮美擬定經濟程序中英兩國已表示贊同
page 3	日臨時議會日皇正式宣布召集東條又入宮報告政務
page 3	應付目前局勢宜先擊潰日本本報渝版社評勸告英美
page 3	池田成彬任樞密院參議官
page 3	劉文輝抵蓉
page 3	獎勵資金內移興辦實業辦法經行政院通過公布施行
page 3	本年全面募債成績總數逾四億元預料尚可繼續增加
page 3	饑餓線下的巴黎五
page 3	南太平洋美新闢航空線
page 3	葡日航空協定英極為重視艾登晤葡使表示觀點澳葡亦締結航空協定
page 3	豫中我軍突擊掃蕩鄭州殘敵中牟敵軍出擾被擊退
page 3	國父誕辰將屆中宣部頒布紀念辦法
page 3	海軍學校初試錄取各生今日離韶赴柳
page 3	李平衡當選國勞大會政府組副組長
page 3	美國以菲律賓作攻守根據地
page 3	美坦克飛機生產正邁步推進重坦克每月可製造百輛飛機源源運赴中英蘇荷
page 3	韓逆國英已就地正法
page 3	湘各機關撥款救濟戰區農民
page 3	于院長返蘭
page 3	美向日抗議水兵被狙擊案
page 3	糧食工業公司設乾糧工廠短期內可開工
page 4	頓河流域激戰紅軍增援羅斯托夫柏林宣傳已侵入克裏米亞
page 4	高加索爭奪戰
page 4	租借法二次撥款案美總統已簽署
page 4	伊朗新王廣播勉國人團結一致決實行民主政治
page 4	參院繼續辯論中立法問題裴勃爾塔虎脫發言
page 4	英機飛炸南特並曾投下大量傳單法人放射亮光響應
page 4	路透社改組持股人更易總理已辭職
page 4	美總統演說民眾一致擁護認為軍力量大見增強演辭中間拉警告日本
page 4	德濫殺行為已延及比國
page 4	美海部趕製高射砲增強艦隊實力新廠已落成海長行開幕禮
page 4	墨索里尼演傀儡戲
page 4	納粹反應靈敏措辭極表憤怒
page 4	英國熱烈響應南美國家轟動
page 4	溫莎公爵夫人訪美總統夫人
page 4	希臘教徒多人處死納粹另一暴行
page 4	美國新提議
page 4	日決開臨時議會
page 5	白副總長在桂對行政長官訓話增加生產達成足食足兵戒除惡習厲行窮幹苦幹
page 5	桂行政會議旁聽記二
page 5	貴陽盛會紀工程師學會年會開幕禮
page 5	柳邕快班郵車開始搭乘旅客車費暫定一百十七元當日即可抵達目的地
page 5	淩會長報告
page 5	陳教長致辭
page 5	粵僑墾會開展工作籌辦牧場接收墾區
page 5	張交長致辭
page 5	渝市水電自來水即將加價電力線路調整中
page 5	柳州籌辦中正中學
page 5	韶關商情紗布激漲米穀充盈電油水火價格回昇
page 5	國府明令公布戰時陸海空軍審判規程
page 5	余漢謀演講防制敵傘兵
page 5	容縣壯丁勇擒四虎
page 6	日軍掃射偷渡邊界牛販流彈傷新界農民港府將向日方嚴重抗議邊界外小梅村被日搜劫
page 6	巴拿馬華僑百餘人明日由美抵港排華風潮未已勢將蔓延將牽連科斯泰里加等國
page 6	我在廣州灣設簽證處便利來港僑胞
page 6	孫院長論青年認識
page 6	寄內地保險信停止收遞寄往日本包裹停收本港不至再增郵費
page 6	平準會發表上海十一月份外匯支配辦法內容與九十兩月相似維持滬正常經濟生活
page 6	港河北商人同鄉聚會進行級商務同鄉會進行組商務同鄉會
page 6	馬尼拉港口布設水雷
page 6	鄺榮作供
page 6	曾自殺之金卑路昨日出庭作供對經手工程有詳細報告鄺榮昨再被如出庭作供
page 6	港府公共食堂二十三處週內全部竣工市內五處經點交當局港督日前曾親臨參觀
page 6	經濟部核定組織僑製品審委會董仲偉等十一人任委員審查核定後由商會簽證
page 6	獻機運動亟求開展
page 6	信不信由你馬彩新富翁錄
page 6	梁氏發明重油氣化器將往西南公路表演離港前擬招待各界參觀重油氣化器准專利五年
page 7	青年會冬泳團下月一日開幕同時舉行第四屆職員就職禮居聯冬泳團開始訓練
page 7	獻機籃球義演民大勝康元四十八比三十飛龍得分獨多黑貓倖運一球氣走新青
page 7	南華陸運大會定下月二日截止報名三角對抗決明春舉行
page 7	南華會遊藝部民眾歌詠班第十期改下月三日開班健身班積極訓練
page 7	想到即寫
page 7	籃聯會開小組會議校際賽下月開始
page 7	春季大彩票增加附獎每個五百元
page 7	本報籃球賽編經打成和局
page 7	華人游泳義賽成績公布三華開代表會
page 7	桂林球國熱烈粵排球露鋒芒直落三局大勝桂郵隊女籃球敗於月牙
page 7	澳乒乓聯會風潮平息改選理事七人
page 7	甲組聯賽形勢
page 7	股票市況不振買賣寥落成交僅萬餘元
page 7	申匯黑市依然鬆弛英匯美匯市況黯淡
page 7	國幣價格昨日先好後淡
page 7	八九金大漲
page 7	滬標金沉寂
