page 2	社評納粹攻勢凍結
page 3	美國態度絕不動搖東京決定繼續談話日閣緊急會議定拖延辦法
page 3	歐陸的沉淪五
page 3	美日談話開始時即注定失敗美一參議員之意見
page 3	太平洋危機和平解決之望愈減英報稱德正迫日本冒險帷認美國不致立即宣戰
page 3	遠東情勢緊張美國民擁護對日強硬倘日本挑戰決不退縮東條演說徒然刺激美民氣
page 3	澳內閣召開特別會議
page 3	日本艦隊傳在婆羅洲附近發現
page 3	英遠東艦隊費利普任總司令
page 3	泰有備無患自信力足抵抗侵略歡迎友邦時赴援
page 3	星洲宣布緊急狀態海空志願軍亦動員
page 3	蔣廷黻論美日談話相信必無結果而散日本現不致發動新攻勢否認德國調解中日戰爭
page 3	芳澤訪戴古
page 3	奸逆之末路滬敵搜查偽官住宅傳鮑文樾在寧被扣
page 3	紐約日銀行已實行緊縮日軍購料機關結束
page 3	粵米跌價較上月跌百分之三十
page 3	荷駐華新使定日內飛渝
page 3	敵機襲陝在寶雞等地肆虐
page 3	德夫古柏將來香港一行據稱日本仍圖拖延
page 3	留滬美僑美領勸告從速撤退北平美軍整裝待發
page 3	受時局影響滬股票價格猛跌市場半呈混亂之象美商銀行對存款不負責任
page 3	粵東克汕尾蘇浙贛我軍亦獲勝豫北竄擾之敵敗退
page 4	南路紅軍乘勝挺進克復達甘羅格德軍敗退亞速海岸
page 4	希里奈加德軍解體裝甲師團司令被俘英海陸軍猛轟敵殘餘
page 4	西伯利亞的戰略地位二
page 4	中國之聲張群將對美國廣播答謝友邦華義舉
page 4	荷屬圭亞那納粹陰謀暴露第五縱隊曾極活躍企圖推翻當地政府
page 4	北非與東線英蘇同奏捷德義殘餘難逃英軍羅網羅斯托夫之役意義重大
page 4	班加濟以南公路發現英軍巡邏隊
page 4	奎松發表宣言絕對效忠羅斯福總統對錯誤報導予以申斥
page 4	美官方準備接收法郵輪
page 4	李維諾夫由星安抵菲島中英美皆派代表歡迎菲總統奎松設宴招待
page 4	內政會議定年內在渝舉行
page 4	贛省行政會議蔣經國報告贛南施政狀況大會定五日閉幕
page 4	英決對芬宣戰傳日間可發表
page 4	誰是瘋狂
page 4	德加緊壓迫維希要求取得增援北非便利貝當達蘭晤見戈林
page 4	英擴大服役案議會將舉行辯論
page 4	史料展覽會在渝開幕到會者甚擁擠
page 4	駐港政府機關請購外匯手續三財政機關組小組會議代表外匯管理委會審核
page 5	菲總統奎松演說決尊重華僑權益中華商會設宴招待盛況空前參加軍政各界首要一千餘人
page 5	粵公路處長被盜刼案經數月之偵察已在五華破獲
page 5	粵贛閩邊區總部開軍政聯席會議會期三天通過要案多宗請款三十萬元救濟難民
page 5	中山我團隊襲擊石岐城內情形一大亂
page 5	澳門茶居行罷工風潮已獲得和平解決
page 5	鶴山近況
page 6	輔政司昨發表公告勸居民從速撤退載運疏散者
page 6	泰晤士報記者談跳躍著的重慶麥唐納氏渝返抵本港
page 6	機關戒備
page 6	嚴防謠言惑眾電話中禁止談論時事書信內亦禁妄論戰局
page 6	領證擁擠
page 6	基督徒消費合作社港九兩處成立設立合作社人員訓練班即日開始報名六日開學
page 6	中英庚款會在港開會杭立武將來港
page 6	中國總反攻定下週在娛樂放映
page 6	新運婦女會平劇義演一連兩日秩序擬定
page 6	中國新聞記者公會昨日歡迎司徒美堂司徒氏對抗戰表示樂觀
page 6	職業教育社昨招待新聞界
page 6	溫其球遺作定期展覽
page 6	維持戰時糧食分區遍設糧站指定大米鋪共一百餘間準備一切隨時改作糧站
page 7	朱成貴昨晨抵港參加星島征澳救苦救難濟當地露宿難民義演籌款隨征球員廿人蔡惠鴻任領隊
page 7	誰能勝阿喬
page 7	澳足球電燈勝中華鱆鱼贏良友
page 7	週末足球聯賽秩序修訂公布
page 7	樣際籃球賽德明勝華義
page 7	學籃頒獎展期八日舉行聯隊人馬選定
page 7	排籃球慈善賽明晚演壓軸戲頭場港九學界籃球聯隊對抗排球青年對港九
page 7	國幣價格昨略下降
page 7	申匯市況依然靜穩英匯美匯仍乏生氣
page 7	股票市況沉寂昨日成交僅四萬餘元
page 7	美金美幣俱略上漲
page 7	滬標金價昨略回漲
