page 1	社評從學生的抗議示威說起
page 2	恢復和談事實尚遠董必武聲明堅持原要求
page 2	參政會駐會委會續審查總預算第一分組昨提出審查意見報告
page 2	冷眼看臺灣上建設新的臺灣是高調先保持好根基方是正經
page 2	關於雷啟霖案馬鴻逵有電致三參政會
page 2	章伯鈞談民盟主張政府改組前應恢復和談
page 2	民盟二中全會今晨正式開幕
page 2	第三黨將改名農工民主黨
page 2	翁文灝將赴台視察日月潭等地
page 2	黃河堵口問題中共向聯總行總等抗議董必武昨在京招待報界
page 2	張伯苓在京昨應蔣主席宴
page 2	蘇北沭陽續有戰事晉南翼城爭奪猛烈
page 2	接防水豐發電所大霸具體辦法與蘇方商洽中
page 2	治黃顧問團視察花園口工程
page 2	傳作義抵歸綏將接見鳥伊盟旂王公董其武昨就主席職
page 2	美軍暴行案被害女生刻仍在乎各在學界續有表示
page 2	美軍當局發表聲明犯罪美兵將由軍法審判案情重大處理勢將需時
page 2	注學生組抗聯會
page 2	孫連仲赴京報告冀省軍政
page 2	飛機又失事中國滬平班機隊落青島交部令各線暫停航一週
page 3	整頓工會肅清新政美國會將廢止保護勞工法案塔虎脫主張撤除各項行政權
page 3	美參議院醜劇畢爾波之受賄及阻止黑人投票案引起軒然大波
page 3	澁谷事件半年來的總報告日警槍殺台僑的前後經過與最近發展
page 3	巴魯治提辭呈臨去還要求續製原子彈奧斯丁繼任原子委會美代表
page 3	重建進步勢力核心美正組織自擊陣線
page 3	范登堡膺選參院議長
page 3	希邊界糾紛即將開始調查
page 3	處分皇室軍部財產日設國有財產處分委員會
page 3	德黑蘭普選十一日舉行
page 3	處置義殖民地貝文將與議舉行初步會談
page 3	武力為外交後盾貝爾納斯贊成徵兵
page 3	義總理訪美內幕主要目的請求經濟援助可決定其能否繼續秉政
page 3	南太平洋會議美已接受與會邀請主張該會無權處理政治問題
page 3	法方迷信武力解決拒不與越和平談判
page 3	蘇丹問題仍無變化
page 3	法對越政策將引起大戰印國大黨主席看法
page 3	中東的角逐英圖保持軍事及經濟地位美國資本叩開油田的鐵門
page 3	法報評越局左派謂不能有戰事
page 3	英政府授權蒙帥與蘇討論一切困難問題
page 3	四外長對特港決定安全理事會殆將予以批准
page 3	馬來聯邦計劃草案影響華僑取得公民資格華僑商會刻正研究該項條款
page 3	以暴力對暴力英國將在巴勒斯坦施行蒙帥及克寧漢如此主張
page 4	滬參議會今日揭幕收到提案一百九十餘件市民建議達一百二十件
page 4	東華奪標希望濃昨日又擊敗青白
page 4	青白之敗
page 4	個人表演嚴士鑫最佳
page 4	戰程簡寫
page 4	大學籃球聯賽復旦痛擊震旦立信與法學院亦皆奏凱
page 4	慈善餐舞大會今晚開始舉行名伶歌星均將參加
page 4	青年日籃球表演約翰大學勝混合女子賽雪白破女青紫
page 4	實驗設備缺乏大學教授過剩但蔭蓀談視察上海大學觀感
page 4	川大上海校友歡迎黃季陸等
page 4	四川三十七縣中學因復員費未發罷教
page 4	旅館業公會請裁旅棧捐
page 4	選舉區長延期舉行
page 4	市商會電呈蔣主席提出保護正常營業辦法
page 4	還鄉專車今日起開駛
page 4	要年賞兩種新方式法商電車職權工實行慢工小呂宋商場職工創愁工
page 4	警士學習駕車駛入胡慶餘堂
page 4	麵粉搬運工怠工已一週當局令雙方談判
page 4	高生大紙號今起出售存貨勞資共渡凋年
page 4	江雲號輪週四處女航每週往返滬甬三次
page 4	軍車撞電車肇事汽車被警局扣押
page 4	卡車撞車夫斷右腿傷右臂
page 4	中訓團在滬同學聯誼會昨日成立
page 4	兩幫工人搶運布疋北火車站大演武劇受傷工人八名送往鐵路醫院兇手丁國楨等今日解地檢處
page 4	王蔚南油畫展假福利公司舉行
