page 1	社評對新疆應有開明的政策
page 2	和談方案大致決定政府將派員赴延安蔣主席昨召集政府要員會商和談前途如何須看中共反響
page 2	美參院外委會將邀馬帥范登堡對新聞記者談話
page 2	海南島之行
page 2	周恩來在延安演說批評馬帥離華聲明
page 2	英使談馬歇爾新職表示美國更重視太平洋中英航空條約在商議中
page 2	平美軍強姦女生案將提前於明日開審各報記者對觀審團之推定提異議
page 2	楊昉潛逃後保人被看押
page 2	南京大屠殺案兩主犯將公審戰犯田中在濟南槍決
page 2	隴海東段戰事益烈共軍攻海州駝峯一帶徐州外圍據點爭奪戰進行中
page 2	東北戰況吉長間戰事展開鄭洞國赴長指揮
page 2	憲政促進會全體國大代表均為當然委員常委規定九十五至百廿五人國防會昨通過組織條例
page 2	正太路被破壞
page 2	辛文銳赴北方視察各地空防
page 2	察北晉西戰鬥未已
page 2	軍調部傳即將解散美當局決召回美方人員
page 2	道清鐵路昨起通車粵漢路淥口大橋已修復
page 2	桂柳鐵路交通今日可以恢復
page 2	常東娥案更審宣判
page 2	救濟武漢工商行轅昨召集會議商討
page 2	中阿商約即談判完成
page 2	閩省參會要求政府停止徵實以蘇民困鄂省參會呼籲嚴禁地方攤派
page 2	英報敦促英國政府與我解決香港問題
page 2	拉古哨接防中蘇商學院獲具體結果
page 2	徵兵流弊何多漢市保甲徵收壯丁安家費收取不遂翌日即通在中籤
page 3	防止德國東山再起四外次會議貝交致詞說明蘇不滿英美對澳寬大建議
page 3	荷蘭照會四國外次要求嚴厲處置德國
page 3	蘇代表提議德國和約先討論
page 3	外次會議決定禁止記者旁聽
page 3	科學要征服死亡預防飛機失事欲以人力操縱氣候美學者研究如何認識打破風暴
page 3	對德和約草案應由德公民複決
page 3	勃魯姆艾德禮會談英報謂將商討英法同盟
page 3	蘇駐法大使飛返莫斯科
page 3	法國民議會開幕共黨代表賈欽致開幕詞希望和平解決越南衝突
page 3	美允貸款與義金元勢將影響義大利政局喀斯貝里此行不虛
page 3	法國新國會兩院議長選出
page 3	共同防衛斯匹茨伯琴蘇挪商得默契塔斯社報道談判經過情形
page 3	新聞圈內的斯匹茨伯琴
page 3	法總統候選人至少有三十個
page 3	吉田謀組聯合內閣兩謁日皇報告轉變時局之策全國工會共同鬥爭委會成立
page 3	日本政潮內幕法新社記者分析
page 3	美國飛機搭客減少
page 3	呂宋小組號失事後遠東公司機已停飛
page 3	美國會調查飛機失事案
page 3	墨西哥軍用機失事
page 3	越南戰事結束無望法官方也知非局部衝突米倉之國今後不免糧荒
page 3	寶刀金戒贈杜魯門
page 3	土倫順化間法軍新攻勢
page 3	討論裁軍問題傳中英擁護美國之要求儘先討論管制原子能案
page 3	英各部首長討論緬甸問題
page 3	越僑代表招待記者報告僑胞受災情形
page 3	荷蘭商人華僑巨港衝突事前並未通知陳嘉庚氏致電印尼領袖
page 3	法抗議石油協定事美英雙方均有答覆
page 3	和平第二年頭世界有兵千萬
page 4	滬國貨展覽商場昨日已宣告閉幕營業總額達四千億餘現正籌備赴首都展覽
page 4	國產廠商聯會徵求新會員
page 4	打撈公司已准備案南市倉庫將令騰讓港務委員會昨第十五次常會
page 4	整飭軍風紀補給區司令二次會議決
page 4	北開商船逐漸增多
page 4	楊虎赴京振在京皖難民
page 4	擴大龍華機場當局尚在考慮中
page 4	行總施粥明日開始
page 4	信鴿協會徵求新會員
page 4	時懋關門工人著急禮查職工遺散費問題已解決東亞又一樓工人擬自行接辦
page 4	農曆新年輪船停航
page 4	公誼救護隊改組為公誼報務會
page 4	大學足球聯賽秩序重行排定定二月八日起繼續舉行
page 4	中華職教社恢復服務代辦部介紹臨時或零星工作
page 4	年上海火災共一零六三次損失一六七億餘
page 4	抄靶子抄出無照手槍
page 4	公教人員住屋中信局正籌畫進行
page 4	勵志滬分社辦美軍籃球賽
