page 1	社評展望英蘇外交
page 2	戰事重心在蘇魯間共軍續攻徐州外圍據點冀境定縣附近亦有戰鬥
page 2	急振各綏靖區難民款物已分配各隊發放
page 2	蔣經國赴蘇州視察
page 2	美國對華政策何去何從
page 2	對法軍登陸西沙群島我將提抗議外部何鳳山司長談話
page 2	接收大連尚無確期
page 2	司徒將赴穗說傳涇波予以否認
page 2	國大職業代表在京組聯誼會
page 2	立法院會議定三十日舉行
page 2	黃水流過濼口寬五十餘公尺深五公寸
page 2	雷震昨自無錫來滬即分訪各方面人士晤談民社黨中常會昨續舉行
page 2	促使政治步上軌道人事制度亟應改進蔣主席對中訓團受訓人員講話
page 2	津沽奇寒河水封凍輪船被困
page 2	東北華北鋼鐵會議昨續討論生產問題
page 2	中國航機一架失蹤由穗飛渝失卻聯絡迄無消息
page 2	農礦產品輸出當局正力求增加
page 3	美國務院官員廣播指責功聯宣傳活動認東歐及中國人民反美運動與蘇聯宣傳機關的報道有關
page 3	美打擊共黨公務人員眾院小組會開始調查
page 3	防止德奧合併將列入和約附錄中外次會議承認奧國獨立美代表稱為偉大的成就
page 3	中英邦交的新階段
page 3	馬帥下車新猷美阿關係即將改善對於阿根廷接收納粹公司國務院發表聲明表示歡迎
page 3	豈容法人覬覦西沙群島
page 3	義國和約下月在巴黎簽字
page 3	法準備續提備忘錄對魯爾賠償等問題闡明意見
page 3	比國攝政王接見勃魯姆
page 3	巴黎越僑組織南圻同盟
page 3	英蘇關係新的局面同盟條約經公認有效後兩強合作獲得良好機會
page 3	吳經熊晉謁教皇
page 3	蘇聯造原子彈正秘密進行中美原子委會主席宣布
page 3	美加緊保守原子袐密並準備工業動員計畫民間管理委會已接管原子生產事宜
page 3	抗議逮捕回聯領袖印各地回教徒罷市
page 3	史達林可愛蒙帥對軍校學生宣稱
page 3	波蘭聯合內閣的全貌
page 3	埃及內閣決議蘇丹問題交安理會解決
page 3	河內華僑撤至安全區海防僑胞代表明日由港來滬
page 3	荷蘭飛機失事美名歌星罹難
page 3	法政府將撥款救濟越南華僑
page 4	各界人士呼籲停戰宣言發起和平運動徵求簽名促成和平統一民主的實現
page 4	和平運動發起宣言
page 4	天花猖獗幼童死者甚多
page 4	滬市府配售西貢米抑止紅盤米價波動社局召米商討論配售手續
page 4	增開客車繼續行駛預定本月底停止
page 4	發展浦東交通公用局訂定五年計劃逐年實施增闢市輪渡
page 4	滬區長選舉今日開始黃浦老閘兩區首先舉行
page 4	委任區長不得任參議員
page 4	保障輪船乘客安全訂定懸賞救護辦法附近漁戶船夫均有施救責任
page 4	救世軍收容難胞
page 4	收復區盟國產業本月底一律發還司法行政部訓令司法機關遵辦
page 4	工部局養老金尚無妥善解決辦法
page 4	科學時代社昨開同樂會
page 4	鍾雲芳無恙孫耀先生死卜
page 4	雪中飛行無危險航空班機照樣飛
page 4	偷別人的電送自己的命
page 4	寒流襲滬天氣將轉晴
page 4	失業西崽三次自殺服毒撞車最後跳樓自殺
page 4	全黑老將球藝退昨遭巨人隊痛擊女子組綠隊輕取強華綠林延長時間克V隊
page 4	滬各社教機關經費教育局先發一億元
