page 1	社評出口貼補與進口附加
page 2	臨沂局勢即將決定隴海中段續有戰事
page 2	行矣美國調處人員首批昨離平登輪回國
page 2	話別之會軍調部共方招待各平界
page 2	雙方所扣人員即在北平交換
page 2	中共代表團撤退否陳家康稱已請示延安
page 2	遼東半島
page 2	李先念殘部跑到了鄂西在國軍圍攻中
page 2	谷壽夫狡賴罪行受害人出庭陳述經過定今日續審進行辯論
page 2	運輸機在渝失事乘客十一人僅存三人
page 2	政府積極準備改組可在三中全會以前完成雷震昨由滬返京行前之談話民社黨致蔣主席函攜京轉呈
page 2	美注視對華貿易反對我增進口稅對外貿易協會等致函國務院關切我政府對工商業之統制
page 2	丁逆默邨今日宣判
page 2	東北大豆統購外運經委會中信局商定辦法東北國大代表反對貶價統購
page 2	飛機攜帶黃金公司並未檢查
page 2	三飛機在滬失事案監委調查後之報告兩航空公司應切實整頓並予以嚴厲處分失事有關人員交通當局亦應分負其責任
page 2	白報紙進口附加稅影響文化事業至大首都報業公會電請免徵並請　稅不得按照黑市估價
page 2	何應欽返國說外部聲明不確
page 2	國際航線日內恢復新闢中暹線月中可開航
page 3	麥克阿瑟函日相吉田促從速再度舉行普選
page 3	美眾院支持兩黨外交外委會業已設立五小組會分區研討國外事務及政策
page 3	法共發表嚴正聲明謂締結英法同盟之前須先觖決對德之紛歧
page 3	經濟建設應平衡趕上
page 3	法提魯爾計畫英閣在研究中
page 3	胡佛在德國與英美專家會晤
page 3	昔日威風而今安在
page 3	又一軍人大使美海長有使英說
page 3	法外交委會主席申論德國問題魯爾區國際化為和平保證
page 3	由天津到阜平空運投擲救濟物資
page 3	波蘭西疆問題美國認為疆界線係暫時性質波照會英美重申波茨坦決議
page 3	英國營計畫成功反對黨抗議迄未得逞
page 3	韓人安在鴻被任韓南民政長官
page 3	越盟提出媾和方案主張全線停戰法國政府無意撤換達尚禮安
page 3	艾斯勒否認為第三國際聯絡員
page 3	裁軍問題討論整日美蘇意見部分協議
page 3	巴勒斯坦將行分治英阿猶三方暫組中央政府聞英已擬定計畫要點有八
page 3	限制總統任期美眾院通過修正案總統祗可連任一次
page 3	波蘭新內閣組成要職由社會共產兩黨分擔
page 4	五十六家米號抬高價格社會局發表黑名單四十四家受警告十二家吊查賬冊
page 4	三檢察官偵查飛機失事昨到龍華機場
page 4	荷印郵件郵局通告由馬尼拉轉遞
page 4	五油行私售黑市油地檢處偵查
page 4	地檢處警告陳文寬等
page 4	飛機如再失事以過失殺人論
page 4	交通車自焚
page 4	參議員視察消防隊新閘區消防隊沉痛上書
page 4	白髮消防員眼看設備日凋敝
page 4	致參議員函全文
page 4	中印航線
page 4	慰問歸國孤軍市長撥款二百萬
page 4	康定路失火行總燒毀木房兩間
page 4	行總物資上週分配增加四倍
page 4	公用局召集三公司討論改善汽油供應辦法規定辦法三點嚴辦黑市售油
page 4	糞便也將漲價衛生局清潔所呈請
page 4	聯總副署長今日可由港抵滬
page 4	裝訂業工人要求調整待遇社局着手調處
page 4	後方來滬失業工人自願回籍者由政府資助遺送公用社會兩局會商安插辦法
page 4	吳興路區救火車可看不要用
page 4	改善消防市長報告兩點
page 4	冒充憲兵盜賣電纜三次行騙陣上失風孫國章今日解地檢處偵查
