page 1	面臨著莫斯科會議
page 2	對我目前經濟狀況美國政府表示關切國務院發言人發表談
page 2	央行常理會上孔祥熙提議徹查黃金出售全帳
page 2	白崇禧抵鎮江將赴徐州等地視察
page 2	川康治安會議決議畫區清剿股匪張群今日出蓉飛渝
page 2	中常會昨討論金潮一致認為必須嚴加制止宋子文貝祖詒行將來滬黃金國有政策一時不致實現政府屬望剩餘物資日本賠償
page 2	金價漲風稍戢糧食問題嚴重各地分別謀取補救辦法
page 2	對我目前經濟狀況美國政府表示關切國務院發言人發表談話
page 2	紐約時報評我財政危機
page 2	對我受津貼出口貨美或將免徵附加稅現正研究津貼之性質如何
page 2	彭學沛談經濟問題更改貨幣名稱匯率均難奏效根本辦法厥在及早恢復建設目前難言和平張學良尚難自由
page 2	軍調部中共代表昨與平市記者話別葉劍英出席答覆問題
page 2	央行常理會孔祥熙提議徹查黃金出售全帳
page 2	英人注視我國金融
page 2	蘇報論我時局
page 2	豫東戰事重心移隴海路皖北共軍進攻太和阜陽魯西國軍推進收復單縣虞城
page 2	白崇禧抵鎮將赴徐州等地視察
page 2	斯退丁紐斯呼籲繼續援華
page 2	京市參會通過時局宣言提出四項主張
page 2	周逆佛海其妻再度抗告駁回
page 2	立法監察兩院改組王寵惠談即可實行民社黨參加兩院人選尚待決定
page 2	熊式輝返抵瀋
page 2	川康治安會議決議畫區清剿股匪張群今日山蓉飛渝
page 2	參政員參議員兩者不可得兼
page 3	丁逆默邨判決書原文續昨
page 3	馬歇爾將出席參院外委會力主實施普遍軍訓謂強迫兵役制乃外交政策之後盾艾帥抗議兩院預算委會裁減軍費
page 3	安理會討論裁軍問題美蘇仍堅持原來立場爭議關鍵厥在裁軍委會職權
page 3	蛻變中的英國
page 3	外次討論對奧和約政治條款部份協議
page 3	南極有綠洲美探險隊新發現
page 3	英法聯盟案法外委會通過
page 3	日本議員選舉已決定四月間舉行
page 3	菲剿農民軍參院發生辯論
page 3	討論對德和約程序美主張允德國代表陳述意見法國代表表示不能同意
page 3	英閣召開特別會議檢討煤荒以及斷電危機急召陸海軍謀打開煤源
page 3	電梯吊空上下不得
page 3	天驕的印度藩王
page 3	清理巴勒斯坦糾紛英考慮提付聯合國討論猶人要求恢復代管地位
page 3	丁逆默　判決書原文續昨
page 3	天門失事飛機乘客家屬報告帶金條事有蛛絲馬跡可尋
page 3	恢復國際航線兩公司已售票
page 4	詹文滸提三種證據駁劉德銘對新聞報之控告全案定於本月十七日宣判
page 4	雙方辯論各提證據
page 4	販毒犯逃逸累老母被捕俞阿發通緝歸案
page 4	慶祝第四屆戲劇節昨舉行記者招待會公演三天以全部收入充作貧病劇人福利金
page 4	丈夫調戲鄰女妻子一怒再嫁引起一場亂官司
page 4	船舶碰撞責任未明前船長得向航政局具保港務整理會昨日有決議
page 4	慶祝大會三天節目
page 4	地價增值徵費決於本年開始計算方法正在研究中
page 4	新運第十三週年十九日舉行擴大紀念新運促進會昨討論紀念方式
page 4	改良平劇劇本演員受獎梅蘭芳留鬚可嘉
page 4	頭號藍布今起配售至二十二日截止每人八碼四萬元
page 4	電車卡車相撞女客兩名受傷均送公濟醫院醫治
page 4	滬布年鑑通志館編輯出版
page 4	上海文化界籌組語文學會
page 4	陸鴻鈺返國楊永清在美為東吳募款
page 4	本市足球委員會修改埠際賽規章本周比賽秩序已重排
