page 1	紙額奮鬥的現階段
page 2	魯南國軍攻入曲阜東北方面戰況轉穩國軍收復農安萬寶山
page 2	京滬渝中共人員當局昨限期撤退新華日報勒令停刊
page 2	以戰時立法管制物價工資評議
page 2	鄭洞國今由京返瀋蔣主席曾指示東北軍事
page 2	英關切我國局勢貝文稱希望不久能解決內戰極易成為普遍戰爭之主要因素切盼為全世界人民計盡力避免中國經濟財政狀況日趨惡化主要原因即為內戰
page 2	司徒大使在粵談話中國之敵為不和平對人民這壓榨欺騙均應剷除司氏赴港轉瓊島後返京
page 2	王懋功赴淮陰坐鎮
page 2	擴大立法院等機構全部名單今日發表國民黨及社會賢達人選推出
page 2	平綏靖檢討會閉幕察綏晉亦將開檢討會
page 2	羅逆君強三次受審定六日宣判
page 2	放寬紙類輸入限額參駐會請政府辦理
page 2	立法院今日開會宋子文出席報告
page 2	麥帥宴我記者團
page 2	浦口大火二百多家草房焚燬
page 2	北平學生請願抗議當局捕人
page 2	麥克納特過京飛平
page 3	貝文闡明外交政策修正英蘇盟約完成英法協定德國政治體制應採地方分權
page 3	擴大三強聯盟範圍貝文擬邀美國參加英法盟約業已獲致協議
page 3	法國堅持安全第一國民議會討論外交政策前總理雷諾主張與三強合作
page 3	悼愛玲魏金生重訪英倫之五
page 3	英首批代表已赴莫斯科
page 3	英共副主席抨擊英美集團
page 3	柯佛海峽事件安理會決定設調查小組此案殆將提交國際法庭
page 3	杜魯門召開會議商討重要外交問題
page 3	東地中海英美將舉行海空大演習
page 3	託治日代管島問題美將反對蘇修正案澳洲發起討論太平洋防務
page 3	冰島提抗議不願為美一州
page 3	列強權力分配發生極大變化
page 3	錢昌照在參駐會報告資源委會工作概況
page 3	蒙巴頓將就職
page 3	伏士聶森斯基擢任蘇聯政治局委員
page 3	加拿大外長演說邀蘇共同考察北極美一軍長主張設原子彈空軍
page 3	美暹兩國簽訂航空運輸協定
page 3	朝鮮政情訪韓僑安定根先生
page 3	美議員抨擊對韓政策
page 3	巴勒斯坦問題馬歇爾曾向英建議主張聯大應即討論
page 4	經監團工作告一段落黑名單定今日送京今後工作將用警備部名義執行
page 4	軍人購金查不出大虎小虎跑香港
page 4	宣鐵吾發表談話
page 4	大中華紙廠購金原為還債經理戴煥堂昨有談話
page 4	利用公款放息圖利吳燧人處徒刑八年
page 4	汽油恢復自由購買
page 4	介紹友聲旅行團
page 4	航界要求調整運價昨晚推派代表晉京報告實際情形
page 4	燃料管理委員會堅持配煤漲價煤價審議會不歡而散
page 4	申泰棧買賣黃金地檢處將偵查
page 4	利用黃牛黨清除街道標語
page 4	吳市長招待各界參觀難童收容所
page 4	市長盃足球賽青白鐵路爭雄下午三時在逸園足球場
page 4	華聯巨人今晚決籃球錦標
page 4	地政局電政院不能緊縮
page 4	謝筱初判刑二年半
page 4	毓琇盃籃球賽三日截止報名
page 4	臧二案兇手隨艦調離上海判處無罪說無所聞
page 4	生活指數凍結後月薪增七萬三千元各工會仍請收回成命
