page 1	法國政局兩極化戴高樂將軍演說以後
page 2	國府委員會昨成立政院人選全部發表
page 2	政院人事更調國府明令公布
page 2	新聞局副局長內定鄧友德會虛白
page 2	張群講施政重點政府追求和平決心不變經濟措施著重根本之圖人民自由權利依法保障
page 2	外交方針與友邦和平相處
page 2	國防會結束昨與中常會舉行聯合會議決定國民黨參加政院人選核准台省府各廳處增設副首長
page 2	蔣主席昨晚歡宴府委
page 2	對參加國民政府事曾琦等昨發表聲明
page 2	葉公超談接收旅大中蘇現仍進行商討龔學遂昨由滬過平轉瀋蘇方派員與我討論共營中長路
page 2	張群昨日到院視事據談向美借款事即可具體化
page 2	梁秋水即來滬調停民社黨糾紛
page 2	關於五億美元貸款美國務院宣稱此項貸款將於本年六月三十日予以撤銷除非美國在該時期前能接獲中國方面之積極性復興計劃
page 2	民盟時局意見定明日下午發表
page 2	徐傅霖楊俊明昨日由京返滬
page 2	美金公債在推銷中第二期預定九月底完成彭學沛部長答記者問
page 2	平漢國軍進駐望都石門外圍共軍撤退豫北共軍攻湯陰晉境戰火蔓延
page 2	張維翰談徵實之弊人民年年出錢而年年在欠糧利益歸諸胥吏怨謗集於政府
page 2	蔣主席訪美說吳鼎昌予以否認
page 3	外長會議對議結束在即昨再檢討對德和約對奧和約問題英美盼蘇讓步
page 3	關於特港財政問題外長成立兩個協議
page 3	英蘇兩項談判同時在莫斯科舉行貿易問題開始交換意見
page 3	阿契遜談話透露美蘇租借物資數字
page 3	談軍隊國家化帶兵的人不宜同時為養兵的人
page 3	英國民意測驗多數不滿政府設施
page 3	太平洋學會美分會對中國抱五點希望
page 3	關於朝鮮問題美報主張南部速設政府
page 3	華萊士在法演說主張美貸款蘇聯
page 3	波蘭境內發現大量納粹藏金
page 3	杜魯門主義推進一步參院通過援助希土案
page 3	擴大美總統政策俟馬帥返國後決定范登堡在參院中表示共黨已侵入中國南海
page 3	希土兩國敦睦邦交希臘請土國派艦隊訪問土邀希外長報聘安喀拉
page 3	對美國內批評華萊士有聲明
page 3	埃及代表團抵美考察軍事
page 3	美遠東貿易概觀向中菲輸出已創新紀錄香港恢復遠東商業中心地位
page 3	美使節赴土談判物資援助問題
page 3	中法互減關稅談判即在國際貿易大會舉行
page 3	莫里遜在巴黎會晤法政治領袖
page 3	英學者來華卡特林到北大講學
page 3	司徒森抵倫敦
page 3	聯合社社長麥克聯續當選
page 3	託管理事會決議調查西薩摩亞島
page 3	開放亞洲移民先鋒論壇報之讜論
page 3	司徒雷登今日抵漢訪問日程大致排定
page 3	澀谷事件罪犯台胞三十人被押返基隆
page 3	法陸長飛越
page 3	蔣夫人接受世界婦協名譽主席
page 3	法國名女伶要求與劇評作者決鬥
page 3	萬元大票到漢米價首先飛漲
page 4	南北貨業貨價糾紛經調解後成立協議南貨業購貨得付八天期票
page 4	閘北地痞非法搭屋地主組聯誼會反抗趙祖康局長昨赴閘北視察
page 4	今年種痘者一百餘萬人兩路旅客種痘日達六千人
page 4	未核准電台先函知停播如不停止即取締
page 4	兩女同往探監因爭風而打架警局訓斥後即予釋放
page 4	北貨海味圓三業與南貨業糾紛經過
page 4	新都飯店職工不同意解雇名單昨又赴社局請願
page 4	浦東移石補塘工務局調查竣事
page 4	聖喬治紀念日英領館舉行慶祝
page 4	二批暹羅華僑昨搭輪赴香港戰時逃入內地之暹羅華僑
page 4	孫科滬寓被竊據察勘似屬內賊
page 4	翻倒三輪車乘客遭碾斃
page 4	遊覽紹興由中國施行社舉辦明日搭錢塘號啓程
page 4	美童竊得吉普車駕駛傾覆致被查出按竊盜罪送地檢處
page 4	高中會考優良學生教局擬免試送大學
page 4	大學足球賽同濟獲冠軍
page 4	星島今日可抵滬明午出戰漢城隊
page 4	配合政府改組學校紀念週改為週會
page 4	中華職教社下月舉行三十週紀念
page 4	獻校祝壽市參議會計劃推進
page 4	市長盃籃球複賽汕隊戰哥倫布賽前有幼級組三場角逐壓軸戰雪白與青聯重賽
