page 1	闡明中國人對日本復興的觀點
page 2	國大預備會議第二日決定增加主席團名額
page 2	絕食代表在疲乏中苦撐他們堅持問題解決前不進食國大昨推吳蘊初等前往慰問
page 2	一個重工業建設的夢三記孫越崎九出山海關
page 2	蔣主席小遊中山陵
page 2	居正競選總統他說免得蔣主席太孤寂青年黨將推曾琦競選副總統
page 2	國大花絮代表們不信表決器胡適說真金不怕火
page 2	何應欽昨抵滬陳誠帶病到機場歡迎坐在汽車裏與何握手
page 2	航運加價今天實行
page 2	國防部發表國軍新戰略必要時將放棄次要據點威海衛龍口等已失軍事價值
page 2	察南陽原激戰共軍移冀西平保線又緊傅作義昨自平飛往張垣
page 2	四省主席傳將易人鄧錫侯辭職王陵基主川熊式輝將重任江西主席
page 2	蘇北鏖戰皖北阜陽告急
page 2	本年生產貸款辦法四聯總處穗分處昨發表
page 2	雷諾探險偏遇險意興闌珊不幹了勘測積石山從此作罷
page 2	補充辦法
page 2	黃旭初飛京會晤李宗仁並向中央請示財政問題
page 2	夷族觀光團昨自渝飛抵京
page 2	推進衛生預防疾病粵省務會議通過方案需費二千零九十億元
page 2	美參院通過援華案照外委會建議未加修改兩院聯席會議週內舉行
page 2	廣州今天開始配米如果辦得好美糧將續來
page 2	日子過不下去墮胎之風很盛廣州每月發生百件
page 2	中鼎艦走私案發金軼倫在穗被扣
page 3	泛美會議商討六大議題各國一致同意研究共黨活動提到殖民地大家又同牀異夢
page 3	解決巴勒斯坦問題美提出兩建議由安理會請阿猶代表商休戰召開特別聯大研討政府形式
page 3	華盛頓的戰爭氣氛
page 3	華萊士抨擊美政策指杜魯門故意製造危機把人民拖入戰爭的途徑
page 3	美航艦贈土另運給大批飛機
page 3	救救孩子全球展開捐款運動
page 3	德境蘇管區內蘇聯破獲間諜組織德軍官在美資助下活動
page 3	對德管制盟管會定期召開蘇佔領當局表示將參加傳柏林蘇僑撤退返國
page 3	蒙哥馬利訪比將在比京勾留三天
page 4	徐繼莊案昨日再審孔寶發林雲谷作證說明徐和立達遠洋關係
page 4	孔寶發請求改口供立達不是他堂兄開的而是徐繼莊出資辦的
page 4	你受過騙嗎下讓我告訴你你怎樣會忽然發覺你和你的錢分了手
page 4	遠洋擔保久盈其實並不存在
page 4	徐繼莊拍桌子
page 4	華商總會糾紛元老派將調停幾位新會員要求退年費並聲稱將另行組織商會
page 4	還有證人要來
page 4	亞畢諾道發生路劫
page 4	娛樂行六樓有鬼看門的嚇病了有人放了盆冷水讓鬼涼爽
page 4	衛生局的有趣統計
page 4	六家商店不准登記
page 4	兒童節前後香港酒店兒童服裝展覽中華中學開會招待街童先施公司展覽兒童手工
page 4	半島酒店太平梯上一住客昨自縊茶房說他平日好像神仙
page 4	海軍總監答覆被裁船塢工人
page 4	榮生機帆遇盜船員七人連船被擄
page 4	續審魚市場案證人說明付款辦法並述走私魚類數量
page 4	娛樂公司昨開年會純利四十餘萬元
page 4	宏興鷓鴣菜港行慶祝兒童節本月四日大贈品一天地點莊士頓道一九一號
page 4	今天廣播
page 5	清明節期近美匯疲金單穩美鈔漲申匯落省匯定現鈔堅昨日金市場內外成交八九千兩
page 5	港澳金價平
page 5	外圍價高
page 5	貢紙閑散股市沉寂
page 5	轟動全中國蜚聲海內外當代唯一新聞性政治性權威雜誌暢銷兩萬七千份中國新聞
page 5	中信局主持對日貿易輸出入項目輸入以木材製藥成品為大宗輸出以農產化學原料為大宗
page 5	福建工業化的橋梁
page 5	桐油經港出口減少主要原因由於港方結匯大多貨物改由上海出口
page 5	桐油產量減少
page 5	滬進出口商提出改善我國國際貿易辦法一開放外匯市場二實施聯鎖制度
page 5	港幣流通華南民間收藏法無取締明文事涉買賣應照條例處罰
page 5	沒收非法金鈔解庫部分穗金管局撥充救濟基金
page 5	開放外匯優點
page 5	用進口利益貼出口虧折
page 5	輸管會華南分會召開首次會
page 5	五大都市配售物價指數滬京漢減低津渝獨增加
page 5	滬銀根轉鬆美金短期庫券還本息國家行局差出千餘億
page 5	港公價物品新價
page 5	滬穗商情
page 6	星島東方打內戰空軍約瑟又碰頭四路大軍兩場開火
page 6	中華有勁力兩球勝砲兵是一場沉悶的球賽
page 6	配合行憲需要增強法律教育民法總則新論
page 6	高級學界籃球賽皇仁戰九龍港大遇保羅今晚六時半起舉行
page 6	砲兵先得優勢
page 6	中國健身會排難解紛設互助社
page 6	公開籃球賽報名昨截止聯會定今天開會
page 6	三水驕兵勝來不易全運選拔有始有終
page 6	足球聯賽的展望
page 6	公開羽毛球聯賽本月十二日開始
page 6	澳門體育蓬勃舉辦男女籃球賽各校參加極踴躍
page 6	廣州體壇即景
page 6	公開草地網球賽馬兆良氣走老將李汝榮壓倒球王今天五場繼續演出
page 6	籃球聯會今夕會議
page 6	今天足球比賽秩序
page 6	爪哇隊昨天返港不日征澳
page 6	長勝杯賽會今晚騐像片第一週賽程編定
page 6	北極杯準決賽改期明天演出
page 7	公路運輸臨窮途末路油貴治安壞搭霸王車的多馮君銳對粵湘贛閩公路之觀感曲江長汀間下月中旬開辦班車
page 7	粵省當局關懷中大學生校區治安改由軍警維持穗市出現秘密標語傳單
page 7	粵漢路車英德失事路局發表經過詳情
page 7	惠陽的春天找不到一片乾淨土聽得到的是嗟怨太息
page 7	三月份農貸粵省即貸放總額八百餘萬元
page 7	趙李橋爆炸案一枚手榴彈炸死五人有人說是單幫客幹的
page 7	海口之神無奇不有有專管懷孕的生子爺有專管月經的經期娘
page 7	入桂越共已退越境
page 7	動亂的海南那大被焚之後塾頭也遭火災燬屋三百損失重大
page 7	剿匪不好應稱剿敵叫做剿偽也要得瀋陽有如此建議
page 7	來湛鐵路桂省參議會建議速修
page 7	湘潭一帶不靖張鵬飛聚眾千餘人打起旗號稱新四軍
page 7	桂林師範學院一個教授發瘋
page 7	粵省徵兵不如意各區徵起者寥寥無幾軍管區令飭下鄉坐催
page 7	一紙礙難任用令下全組職員竟至走光海南農林實騐場一趣事
page 7	東北怪現象鐵路不及三百里管理機構十三個路局工程師養不活家自殺瀋陽南湖公園裏
