page 1	當前國際形勢的特徵並略論我們的問題
page 2	美眾院通過援外法案包括援華五億七千萬兩院聯席會商將作最後決定
page 2	冀西醞釀戰事魯中濰縣激戰寒亭不守皖境阜陽攻防戰激烈進行
page 2	針對美國積極助日中國應有的對日政策
page 2	救濟特捐委會決議國營黨營事業免捐
page 2	衛立煌抵京晉謁蔣主席報告
page 2	傅作義抵歸綏即赴前線視察
page 2	國代席次抽籤決定主席團名額增為八十五人立法院昨已完成立法手續
page 2	修改憲法暗流澎湃
page 2	美國軍火傳已在途據說可裝備七個師
page 2	國務會議昨晨舉行決議設立動員委員會
page 2	褚輔成大殮滬各界領袖多去弔　
page 2	絕食代表二人報到還有八人繼續絕食
page 2	國大花絮清明時節雨紛紛國大會場亂騰騰一位代表打油紀事
page 2	穗昨開始配米市府舉行開拆配售米典禮沒繳壯丁安家費者領不到米
page 2	華中西南將有人事更動張篤倫主鄂谷正倫主黔楊森長渝市胡家鳳任贛主席鄧錫侯辭職後成都人心不安
page 2	蔣主席撥款撫卹羅永年家屬
page 2	改進役政穗行　等擬定計劃
page 2	何應欽昨自滬抵京對記者表示無意任參謀長並說如有鉅資可全部充公
page 2	廣州戒備森嚴當局派巡查隊晝夜逡巡持槍作劈刺狀沿街行進市內日來常常發生搶案
page 2	感化犯罪兒童穗將成立機構
page 2	北大學生爭取人權瀋中大學生斷炊
page 3	泛美會議重提門羅主義驅逐歐洲勢力出西半球各國醞釀反外國殖民地運動
page 3	蘇芬談判還有距離條約中軍事條款尚待協議芬總統向代表團發新訓令
page 3	一個重工業建設的夢四記孫越崎九出山海關
page 3	義共將發動罷工抗議勞工領袖失蹤
page 3	菲菜市排華案已獲完滿解決
page 3	特港美軍示威據說旨在保持民氣
page 3	美國黑人說話了除非種族歧視不復存在他們拒絕當兵和受軍訓
page 3	新聞自由之路各國代表紛紛提出意見法主設理會英建議訂協定
page 3	聯合國大廈決少建兩層因建築費漲價的原故
page 3	蘇捷攜手遠景捷總理強調兩國友誼
page 3	英去年度政財贏餘六億餘鎊
page 3	賀爾德利奇擬訂一紙黑名單杜魯門等大官三十人如發動戰爭應被整肅
page 3	空中電動新聞
page 3	朝鮮蘇軍似將撤退美方說已裝備好北韓軍駐留南韓美軍無動於中
page 3	麥帥雖已下命令未能禁絕日工潮各地區域罷工此伏彼起
page 3	日人見麥帥肯撑腰自信出頭日子不遠認為將可免受訂和約之苦
page 3	土耳其各地降紅雪比利時上空見青光
page 3	德萊柏為日作保五十年不能打仗
page 3	美扶植佛朗哥引起普遍反感歐洲各國一致反對范登堡也不贊成馬歇爾設法阻止
page 3	暹羅惡謠未曼谷當局還說要發表聲明我代辦指斥暹報杜撰消息
page 4	立法局通過預算案收一五一四○七九五○元支一五○二八四一○五元政府各部門昨答覆問題 
page 4	遏止癆病十分艱巨政府正在多方努力
page 4	電報新廈即將建造
page 4	續審徐繼莊案法庭准許被告律師保留詰問證人權利郵匯局襄理李炳興到庭作證
page 4	中華廠商聯會改選正副理監事都蟬聯
page 4	華商總會糾紛高卓雄謂不需調解
page 4	續審魚市場案研究陳冠球代名
page 4	港澳首次通話港督希望兩地即通航兩總督互問兩夫人好
page 4	漁人李有受審供竊軍火情形
page 4	青山道船廠地址由香港紗廠標得標價為七十四萬元
page 4	偽支票騙鑽石案五個被告加控罪名唐永安等被控偽造支票
page 4	派克病在軍醫院裏還不知姊姊來看他
page 4	回星華僑一批昨日過港今日赴星僑民中發現有偽造證件者
page 4	軍營地皮逐漸拍賣得錢造新兵房地址可能在香港背後大山坳
page 4	利華布廠勞資糾紛 織布商會出任調人
page 5	資委會港貿易事務分所開始零售鎢銻礦產償付債務即可清結走私出口日漸減少
page 5	金融市場趨穩遠東金市一致報昇美鈔供求無法適應
page 5	走私統計去年二萬三千多案今年兩月半三千起
page 5	七家紗廠在籌備中
page 5	華南五六兩季進口限額分配比率
page 5	福建工業化的橋梁
page 5	蘇貨鋼條鋼板銷港困難多
page 5	美報看英鎊貶值
page 5	資委會分區管理鎢銻特種礦產運銷
page 5	桐油收購價提高廣州八百萬一噸梧州七百五十萬
page 6	星島士氣奮發東方苦戰淨輸四球下半場星島改變作戰方式兆榮錦河金海先後各建功
page 6	各地陸續參加全運香港華僑加入六個項目印尼選手返國經港比賽
page 6	體協改期今天開會商討參加全運進行
page 6	王正林定做跑鞋備參加馬拉松賽
page 6	中華泳聯會參加全運經費無著呼籲捐助五日預選全部項目編定
page 6	排球對抗賽各隊實力比較保羅南華冠軍有望
page 6	二次國際西拳賽廿四日舉行黎許拳賽又發生變化
page 6	南華徵求會員今晚七時結束
page 6	應付物價高漲私校經費提高照戰前最低額十萬倍我教育部已公布施行
page 6	本港教育司署派員赴穗考察將參觀各公私立學校
page 6	足球總會緊急會議今天下午舉行
page 6	兩教頭比武尹民致書調解兵凶戰危無取於爭位居名流何必死戰
page 7	南韶路上慘劇軍官踢死司機汽車翻落田裏乘客二人斃命二人重傷韶市司機憤慨全體罷工
page 7	北平一富商全家被害兩根麻繩斷送六條性命警局縣賞五千萬捉兇手
page 7	駱駝祥子主角自我推薦者多一女記者自津赴平應徵
page 7	被害人陳屍東廂床單被面還整整齊齊
page 7	赤鼻河面一場夜戰緝私兵艦誤擊機帆廣南利兩護航兵被擊斃
page 7	美國為半斗米宣傳滬配給米店門前貼標語說每斗米中半數是禮物
