page 1	瞻望香港貿易前途
page 2	國大預備會過一難關主席團選舉今天舉行每單位推定候選人然後票選
page 2	絕食代表健康情形逆轉于斌等奔走調處無結果又有近百人表示要參加絕食
page 2	津門鱗爪
page 2	五省市人事調動國民黨中政會昨決定政院例會通過後發表
page 2	北方國代開聯誼會
page 2	雷諾不辭而去一日清晨離滬飛美
page 2	察南蔚縣陽原連日激戰長春近郊共軍進攻機場晉南臨汾皖北阜陽酣戰未已
page 2	豫省參會代表在京奔走呼號豫籍國代表示支持請願不遂退出國大
page 2	郵電又要加價電報萬元一字平信每封五千元
page 2	國大花絮于主教當選美男蔣勻田遲到早退綽號流行請帖亂飛
page 2	衛立煌頻謁蔣主席縝密研究東北戰局衛氏昨日午後離京飛平
page 2	國民黨全會定明日舉行
page 2	平學生維護學聯反對政府解散將有行動皖大學生代表晉京請願
page 2	美援華法案決定兩院聯席會議獲協議
page 2	黃埔新埠碼頭開放招商局專用的租約滿期中行省行等擬組織公司投資粵漢路狗牙洞支線五月開工
page 3	德萊柏在東京工作完畢將向華府提出援日建議返國前曾書告日人殷勤致意說美將以大量原料源源供給
page 3	蘇聯管制東德交通英美空軍忙碌杜魯門重申美軍不撤退
page 3	日本通信信不信由你上反動團體的簇生
page 3	巴力斯坦糾紛未了安理會決設法調處請阿猶雙方即停止衝突本月中召開大會商對策
page 3	兩集團兵力比較共產國家陸軍五百萬反共國家只有二百萬
page 3	美兩院協議援外案今日將作最後批准卒將援佛朗哥部分剔除
page 3	日本工潮暫告平息
page 3	奧國對蘇賠償英美法請蘇放棄要求
page 3	入境不應受阻舊金山商會促國會批准
page 3	蘇芬互助條約難產芬兩代表飛返首都請示
page 3	宇素藏毒打算自戕甘地有子不怕入獄
page 3	日人相信美將借船
page 3	美國決意擴軍杜魯門令國防部長作預算本年增撥三十億擴充軍備
page 3	馬歇爾強調歐洲第一勸南美各國勿盼美援仍希望美蘇能夠真正合作
page 3	蘇義將開談判商訂賠償貿易航空協定英蘇貿易談判月底將重開
page 4	碼頭運工擬好價目呈報有關當局批准管理內河輪船辦法十日施行
page 4	華商總會競選糾紛周壽臣不調停他說年紀大了還是讓年輕人去解決吧
page 4	差餉估定准人查看
page 4	續審徐繼莊案美金公債情形被告律師問證人
page 4	討論軍票比率華商總會即開會
page 4	華人機器會救濟失業會員
page 4	美少將來港警局定交通秩序香港警務處為美海軍麥
page 4	宋子文昨抵港據說只是來休息幾天
page 4	王正廷胡世澤今日飛到香港
page 4	清明節日近火車乘客擁擠
page 4	渣甸火險公司盈利七十多萬元
page 4	無名男屍警局招認
page 4	洗衣機器到港九磅衣服收費一元八角顧客拿去半小時內洗好
page 4	本港審日戰犯兩年多來判了二十一個死刑八十五個徒刑
page 4	盜竊軍火從犯被判入苦工獄
page 5	港澳黃金價格看齊昨日場內外交收計一萬四千餘兩
page 5	美匯金單美鈔步漲美匯最高五點八四元金單最高五點八○元美鈔最高五點七五元
page 5	清明佳節近國幣內匯市場穩現鈔可能猛瀉省匯可能低跌
page 5	鋼條禁止出口後價格始終平穩平均價不過五十元左右
page 5	股市穩
page 5	華商在菲准營菜市
page 5	圓鋼條存貨六千噸
page 5	燃料管理局長稱香港存煤充足積存六萬噸足敷三月用
page 5	豬肉價趨跌生豬來港擠擁每担一○五元
page 5	銀根鬆物價疲套利落米市滯
page 5	上海市場
page 5	輸管會考慮放寬輸入原料比率滬中信局收購桐油一五○噸穗中信局改收購價七四○萬
page 5	今年一月分全國對外貿易統計入超三五一七三四六八八千元
page 5	粵農貸配額決定全省九千億糧食佔三分二以珠江三角洲為增產重心
page 5	黃金走私處置辦法
page 5	滬穗商情
page 6	港體協會昨天開會參加全運旅費自籌足球代表委託六華會挑選將派員駐滬負責聯絡
page 6	甲組足球聯賽華軍總動員傑志星島各奔前程南華巴士勢有劇爭
page 6	昨日公開網球比賽首場競爭劇烈今明日無戰事
page 6	今天學界籃球賽德明港大有惡鬥昨戰南華打倒油蔴地
page 6	基本教育補助費決定八千億元教部昨召開座談會商討各項分配辦法
page 6	南華參加籃球聯賽選出甲乙兩隊球員
page 6	應付兩場大戰足球聯會點兵
page 6	黑白籃球隊月中再征滬
page 6	北極杯冰棍球賽今天決戰天樂隊對抗南僑南加插豐富游藝節目
page 6	排球對抗賽揭幕南華兄弟先打頭陣次場英皇保羅對壘
page 6	全運新聞採訪草案通過
page 6	南華會徵求破歷屆紀錄陳榮柏獲雙料冠軍
page 6	小球球訊
page 6	教育學會發動舉行全國教育檢討會
page 7	潮汕徵兵急如星火各縣高價競募壯丁志願兵安家費高至三千萬元新會徵募保警僅得十分之一
page 7	饑餓線上嶧縣居民四千餓死蚌埠勸導難民還鄉新浦發生搶米事件
page 7	從海口出洋的多登記擁擠黑市船票一漲數倍汕頭赴暹船票也有同樣情形
page 7	未為晚也六邑今始解除冬防
page 7	粵漢路湘化支線本月開始築路基
page 7	民社黨有志於粵北在韶設黨部
page 7	戰前惡風捲土重來日船在台不斷走私高雄台南各緝獲一艘日昌丸北運丸被扣留
page 7	以貌取人拒收新兵
page 7	死後無棺薦任技正下場如此
page 7	科學上一大貢獻路丁在滬製成能解除原子彈放射性的毒害中心製藥廠日產一公斤
page 7	公文旅行遲緩上海仍可蓬拆
page 7	王韻梅下海伴舞王曉籟龍華翻車上海愚人節新聞掇拾
page 7	變本加厲第二次遭緝獲被罰台幣一千萬
page 7	大批私貨續被查出罰款增至三千萬元
page 7	一案未了又來一案台南亦緝獲走私日船七個日本人全被扣留
