page 1	却說雷諾探險
page 2	國大昨討論議事規程對提案範圍發生爭辯
page 2	國民黨臨全會通過不決定總統候選人但仍接受中常會研究報告一致擁護蔣總裁為候選人
page 2	絕食代表體溫下降李張兩人說話幾已失音楊翹新說他們所爭的不是席次
page 2	國大花絮
page 2	由褚輔成先生的死想念往事如夢
page 2	三院校罷教罷工後平津教款提前調整
page 2	政院昨例會通過任免事項
page 2	上海捉共黨至今未捉完
page 2	戰後中日易貨情形貨物總值四千萬美元以日貨輸入我國較多
page 2	希臘大使說上海很熱鬧
page 2	航空模型賽未了節目比賽完畢
page 2	雷諾乘機逃到檀島美方准他無照入境提及逃走經過一派胡言亂語
page 2	西南沙群島守軍即換防
page 2	中央催補徵兵欠額粵省派員出發督徵各縣壯丁價昂紛紛到穗收買
page 2	火燒金山寺僧人多名罹難
page 2	川西水利建設都江堰舉行開幕典禮水電廠將可輸電成都
page 2	吳國楨自動戒煙並非受夫人督責
page 2	晶濰地區戰事仍烈臨汾工事刻正加強傅作義日內返察綏指揮
page 3	美建議聯合國託管聖地並主張派軍隊維持和平阿猶拒絕接受蘇聯堅決反對
page 3	柏林空氣改變英蘇當局交際一番羅勃森宴蘇柯洛夫斯基蒙哥馬利抵達也作陪客
page 3	瑞典歐洲的天堂汪家正寄自瑞京
page 3	英蘇撞機小事化無蘇方正式照會表示抱歉
page 3	奧境德產問題四強獲致協議
page 3	美煤礦工潮第四週罷工工人不理法院訓令
page 3	管制原子能困難多原子委會不討論蘇建議認為未提供有效的原則
page 3	阿留申群島美決供軍用
page 3	聯合國憲章美議員主張修改
page 3	比總理訪晤羅維特商談美軍事援歐事
page 3	美援外計劃開始實施杜魯門令銀公司準備十一億與各國訂妥協約前將先付款美輪三艘裝載物資開往法義
page 3	美軍火運土將達一萬噸
page 3	感激美國慷慨解囊英法函杜魯門致謝
page 3	東京情侶服毒自殺廣島兒童停止生長
page 3	魏德邁擴軍論美國及友邦建立新兵力便可以避免另一次戰爭
page 3	對美洲集體反共阿根廷表示異議指責美國干涉內政
page 3	美艦隊將訪挪目的在向蘇顯示實力
page 3	希土外長談得投契據說雙方意見完全一致
page 3	蘇芬將簽約雙方談判已獲協議
page 3	美國縱容下日漸露本來面目決組織海上保安廳擁有特務艦一百二十五艘
page 3	埃及警察一度罷工
page 4	戰時被迫清還債務不能要商民再償還華商會昨討論戰時債務清償自今日起登記已還債的商人
page 4	周　年召集談話會商討清還淪陷期債務問題
page 4	淪陷期間的軍票港幣黑市比率根據有關金融機關調查
