page 1	社評停止備戰趕快談判美蘇今天應走之路
page 2	熱境承德地區大戰揭幕北平空軍整日出動助戰豫鄂邊境激戰國軍進駐棗陽
page 2	布列特抵台北當夜乘專掛的花車去鳳山在滬曾與宋子文有所商談萊普漢日內赴華府主持援華
page 2	如何建設中國農村
page 2	兵額徵不足保長遭了殃武昌已經捉了兩個保長
page 2	梅汝璈抵京談戰犯審判
page 2	新監察院下月召開
page 2	立院預備會議今晨續開討論互選正副院長辦法起草委會昨天通過辦法草案
page 2	督導憲政先要津貼
page 2	湯恩伯飛青島
page 2	隴海路長寶段今起恢復通車
page 2	全國商船共百零三萬噸
page 2	何應欽應接頻繁陳立夫有出國說傳李品仙辭皖省主席
page 2	總統專車津浦路員工要獻三輛
page 2	水上保安總隊冀省府決組織
page 2	魯八區專員張天佐陣亡
page 2	有些名流函民青兩黨勸他們出席立院會議
page 2	南京中外記者將訪西北前線
page 2	粵省參會駐委會上胡善恆報告財政稅捐人員常常被迫舞弊杜絕貪污要想根本辦法
page 2	長江流域的負擔大批糧食運濟北方各大城
page 2	四戰犯自并解滬
page 2	保障人權大傷腦筋實現法治很難辦到粵穗法院得不到軍警合作穗特庭庭址難找成立不了
page 2	苛捐雜稅何其多粵省又要開徵戶稅把鄉鎮保甲的攤派合法化
page 2	滬金潮案上訴駁回
page 2	鳳子後天結婚新郎是美國人
page 2	長江水患堪慮當局嚴令防範
page 2	英駐粵總領事霍樂飛港返英
page 2	粵民政廳長徐景唐辭職
page 2	中大工院學生一部昨起罷課他們要求暑假實習費
page 2	怎樣用美援政院開會討論
page 3	舉世一場空歡喜馬歇爾說無意與蘇會談認為解決懸案可經現有機構兩國舉行談判有待蘇聯主動
page 3	美軍事援歐未成熟範登堡建議遭參院外委會否決國務院及國防部繼續商討計劃
page 3	貝文與美同調也說與蘇會議無益
page 3	建立世界聯盟部分美人呼籲召開會議
page 3	全盤檢討美國外交馬歇爾將出席參院
page 3	英海空軍演習昨在蘇格蘭海面開始舉行
page 3	南韓選舉揭曉李承晚派系佔三分一議席
page 3	美國在備戰為了想避免經濟危機下
page 3	史密斯照會全文
page 3	聯總在華人員最後一批返美
page 3	美蘇怎樣和平相處華萊士一連串主張從普遍裁軍到互換學生記者
page 3	聖地英軍今日撤走阿猶準備爭先下手阿人決定成立人民政府
page 3	暹劫金案破獲一部分黃金已經尋回據說是關員串通劫匪
page 3	悶苦的局政義
page 3	荷蘭女王將告退公主定九月登位
page 3	暹政府頒行新例僑校將被迫停閉
page 3	蓮娜端拿旅行各地伊麗莎白不怕暗殺哈姆雷特大出風頭
page 3	義總統艾諾第就職喀斯貝里六次組閣
page 3	日貨無妨多多製造亞洲經委會研究後如此結論
page 4	沙頭九龍分關被襲雙方對戰一小時餘歹徒擲手榴彈並以機槍掃射關員四人重傷另說四人殉職
page 4	革新派向高庭起訴控票已到華商總會控告要點請高庭確認華商總會無權辦理本年改選頒發禁令制止
page 4	舒繡文來港攝新片
page 4	慶祝總統就職典禮大會宣布全天日程
page 4	越保皇黨八人來港保大表示態度決爭取統一獨立後返國
page 4	本港兒童問題報告麥道軻已交聯合國代表
page 4	下星期一日各機關休假
page 4	中華文協香港分會決定本年工作計畫加強對南洋文藝界聯繫
page 4	三期廉價米推出一萬包
page 4	劫餘新江蘇昨天到本港
page 4	女青年會托兒所下月中旬可開幕收容職業婦女的子女
page 4	社團用印機紛請發執照
page 4	一家大糖廠將在新界成立
page 4	肥田料到港短期內運穗
page 4	英國工展會上香港貨受注意謝伯昌來函索各家樣本
page 4	闊客上門選貨拿了尼龍就跑
page 4	何二妹冒名結婚雷光被罰二百元
page 4	外來工人進入碼頭同德工會請求調處
page 4	廠商聯合會特委會討論防止日貨昨作兩項決定
page 4	騎劫萬福士輪案六名疑犯昨日提審美金百元發還被告
page 4	兩個男子被控藏械
page 4	兩人否認行劫並說被打迫供
page 5	港日貿易重走舊轍由日輸港總值增加頗速由港輸日總值減退甚劇
page 5	日本的雜項工業恢復百分之六十
page 5	日本代表前往參加國際絲業會議世界生絲供過於求
page 5	世界絲價好轉無望
page 5	中信局決定人絲新配價每箱增一億多元
page 5	公布五六季配額廣州最多北海最少北海辦事處五月初成立
page 5	人絲工業英謀發展
