page 1	社評中國的製藥問題
page 2	立院昨選出正副院長孫科陳立夫分別當選議事規則將由正式大會討論
page 2	立院選舉花絮還沒散會大家就走選副院長旁聽人多
page 2	記者參觀選舉是交涉的結果原來是想不讓看的
page 2	北平通信水泥沒有出路下
page 2	記者問陳立夫現在還出國嗎陳說要聽主管當局核示
page 2	末次國務會議明天上午舉行
page 2	監察籌備會決定報到手續
page 2	李宗仁賀孫陳黃宇人等也賀陳立夫
page 2	政院今天例會討論本月生活指數京滬公教人員配布即開始
page 2	雷震昨返京與民青兩黨洽商告一段落
page 2	華中綏署傳將成立程潛統轄七省軍事蔣主席直接指揮徐鄭兩綏署當局內定劉斐繼任湘省主席
page 2	立院選舉小插曲汪少倫說他沒接到胡適的信發表談話並貼布告聲明否認
page 2	藥學年會在京舉行
page 2	水利部發言人談長江水位
page 2	贛江水漲
page 2	老河口吃緊光化撤守南陽西進國軍下鎮平承德穩定榆關附近有戰事傳作義飛承視察當天返平
page 2	冒官騙子何其多廣州又捉到一個窮極無聊自稱督察組長跑到香港騙了許多港幣
page 2	新長沙倒閉案湖南省行應負責穗金管局長高方談話
page 2	價配賠償機器經濟部今天開會審核申請工廠有三百多家
page 2	兩廣監察使署將改為監院駐粵辦事處
page 2	粵省水利工程小規模的已開始
page 2	薩福均等赴穗商改善粵漢路
page 2	國民黨中央昨天紀念週
page 2	張群六十生辰酒會招待友好
page 2	禁絕煙賭徐景唐說一定要幹
page 2	武裝追租槍傷佃農蘇州鄉下的慘事
page 2	郵票展覽明天在瀘舉行發行紀念郵票
page 2	對新政府的意見南京有些教授昨發表
page 3	日政府宣布經濟計劃五年內恢復戰前水準提高生產能力改善人民生活
page 3	全國運動會雜感
page 3	韓人的憤怒滬韓僑團體聯合聲明斥責日政府封閉僑校
page 3	越南傀儡政府可能延緩成立
page 3	吉田企圖再起要求蘆田下台
page 3	尼赫魯計畫蘇駐印大使表示反對
page 3	日軍當局掩飾戰罪陰謀策劃銷毀戰俘紀錄使盟方不能獲暴行真相
page 3	蘇聯和平論調表示歡迎華萊士若干項建議誠願尋得解決美蘇問題方法
page 3	法總統論和平應該坦白地談判停止陰險的攻擊
page 3	美婦女要選女總統一千萬女人組成競選會要求兩黨提出女候選人
page 3	荷印將續談判月杪在加里島冷舉行
page 3	一美兵棄軍職決在蘇聯居留美方說過他受女間諜引誘
page 3	華倫演說競選表示關心華僑
page 3	聖地戰火蔓延阿軍猛攻聖城傳耶路撒冷舊城已投降
page 3	猶太國總統魏斯曼當選
page 3	安理會開緊急會議商阿拉伯聯軍攻擊猶人問題猶太國請求加入聯合國
page 3	日村民自稱是基督後裔法學生妄想作公主嘉賓
page 3	對巴力期坦現勢美將採甚麽態度軍火運中東解禁問題考慮中預料華府即將發表重要聲明
page 3	遏止阿人侵畧華萊士主張美國用壓力
page 3	英承認猶太國有三先決條件
page 3	南韓新議會即成立完全由保守分子控制
page 4	華商總會定明到開大會革新派可能參加對推選監選員事仍將堅反對
page 4	防止日貨傾銷得到星洲反響
page 4	死人老鼠發財之道
page 4	薩福均來港他說增修鐵路一時還辦不到
page 4	潘華請客
page 4	小販將提兩項要求延長營業時間牌照上多貼一個照片
page 4	獅子山狗場訓練狗師
page 4	九龍工廠地有錢買不到
page 4	元朗失蹤學生到今沒有下落
page 4	聽說職位不穩學徒携款潛逃捉住後判刑四月
page 4	荔枝角設大遊樂場佔地廣闊花樣翻新
page 4	懷刃尋兄長聲言掘父墳侯永華被逐出境
page 4	小童搶飽山跌下重傷死
page 4	三字暗號擊碎玻櫃大把金飾拿了就逃店伙呼喊被開槍恫嚇
page 4	擅匿幼女兩人被控
page 4	夏季賽馬第二天黃甄祁葛利三次奪錦標尾場派彩七千餘元梅倫墜馬幸告無恙
