page 1	社評中立與中間派的北歐
page 2	翁文灝舉行記者招待會今後施政注重經濟改革翁氏昨再謁總統商新閣名單
page 2	立院昨舉行第四次會若干立委提議修改組織法決議先交特種委員會審查
page 2	監院集會延期總統頒令六月五日舉行
page 2	和雰盪漾記美國政海中的一波
page 2	立委收聽廣播據說聽到共方的恫嚇
page 2	司徒今天飛屏東到鳳山去看新軍基地台北燕京校友開會歡迎司徒勸他返校別為這些公事奔忙
page 2	胡適談話捧翁文灝
page 2	京三大學復課滬反扶日運動逐漸擴展
page 2	總統府設警備師由石祖德任師長
page 2	台大新校長莊長恭赴任
page 2	美式配備的國軍大部分在存在了美國雜誌的敍述
page 2	張群即赴蓉何北衝已抵渝迎接
page 2	鄭州外圍激戰平漢路國軍會師許昌長春南北郊發生戰事
page 2	載安瀾殉國六週年紀念上海今天有追悼會
page 2	日漁船侵我領海海軍總部決嚴緝
page 2	宋子文今天返穗許多事情等他處理粵軍政將有新安排
page 2	余漢謀拉班底邀蔣光鼎等晉京
page 2	張嘉璈發表談話要穩定通貨必須咬牙
page 2	玉門油礦產量增加足敷西北工業運輸之用台煤增產運輸却成問題
page 2	粵省各江洪水略退有無水患要看六月雨量
page 2	石岐戒嚴
page 2	穗汽車總檢查軍警憲大舉出動從早晨查到晚上
page 3	朝鮮政治鬥爭方興未艾南韓議會月底討論成立政府金九等將參加統一促進委會
page 3	西歐五國自成集團不擬擴至全歐區域北歐及近東各國分別洽商締盟
page 3	金璧輝生死之謎河北監察使署發表調查報告呈控人匿不出面似另有意圖
page 3	法國要求美國軍事援助西歐
page 3	德國的命運英美法如製造西德國家蘇決將採新步驟以抗衡
page 3	調查捷克政變智利建議被否決
page 3	義新閣就職
page 3	英一議員建議邀蘇商談異見
page 3	日本水雷遍布清除需時廿年
page 3	杜魯門將旅行發表連串演說
page 3	日本特種警察決將增加十倍
page 3	芬工潮與政潮工人反對內長被撤職發動總罷工打擊總統
page 3	亞洲國家聯盟巴基斯坦號召組織說聯合國令人失望
