page 1	社評再論結匯辦法的改變
page 2	立委卅人昨提出緊急動議防止日本再起危害和平反對美國削減賠償計劃拒絕對日通商限制日船噸位
page 2	反對美國扶值日本滬校長教授多人電美當局
page 2	抗議不斷減輕日本賠償
page 2	搶救民族危機復旦學生加強工作滬法學院展覽會被搗毀學生六人負傷三人被捕
page 2	新政院首次會議翁文灝致辭強調改善民生施政方針日內提交立法院
page 2	日漁船再侵我領海海軍緝獲一艘押解抵滬另一艘被擊沉船員被俘漁船船員都是退伍海軍
page 2	濟南局勢驟緊國軍撤出平陰東阿魯西黃河以南激戰 
page 2	青年黨作態又說不入閣了陳啟天左舜生未晉京
page 2	布列特要走了昨離京赴滬即返美蔣總統曾請他吃飯
page 2	蘇大使羅申昨呈遞國書
page 2	戰犯伊達勝之助被判了三個死刑
page 2	開發海南偏用日人堀內即返日找專家宋子文正研究堀內擬的計劃穗商會對日貨傾銷事無表示
page 2	不食的楊妹考騐暫告段落離開醫院她比入院時摩登多了
page 2	粵省公路寸斷勉強通車的不到三分之一第三區局深感沒錢難辦事公路專家反對修築廣韶西線
page 2	廣州防癆防癆醫院有三部Ｘ光機將給全市民眾免費照射
page 2	穗海珠橋畔有吏夜捉人又有一青年被強拉丁
page 2	粵省務會議討論待遇及徵實等問題都無決定下次會議再說
page 3	決意不顧朝鮮分裂美國將承認南韓新政府首任駐韓大使人選亦已決定
page 3	反對美國反共法案黑人歌唱家願入獄斥為法西斯措置拒絕服從
page 3	曼谷通信僑教的厄運續昨
page 3	法打算擴軍國防部長呼籲建軍六十萬
page 3	美洪水泛濫杜魯門撥剩餘物資救災華盛頓等州亦捲入漩渦
page 3	戰爭歇斯的里美軍火局高呼動員叫各工廠準備應付事變
page 3	美國民經濟一斑家庭多入不敷出
page 3	達爾頓轉運受命重入英閣
page 3	捷普選大局已定政府派獲十分九選票
page 3	記李忠模一位韓國獨立運動者
page 3	英美對聖地的裂痕艾德禮說並未看見貝文原定發表聲明臨時作罷
page 3	日戰犯柳暗花明麥帥權力減刑
page 3	澳洲人民有福藥費全由政府付給
page 3	帶着班底名單阮文春返抵西貢週末與保大波拉特會商簽了協定便可獲法承認
page 3	橫濱僑區恢復僑胞雖減少生活尚好
page 3	紅衣主教姪兒橫死女裝人妖娶妻生子
page 3	希遊擊隊領袖呼籲政府息爭
page 3	奸商騙菲人將日貨偽裝
page 3	暹政府未讓步我僑教陷困境二十萬學童亟待復學
page 3	戰爭與和平之路妄組集團惟造成戰禍和平須自聯合國求之
page 3	交際家勸飲刺死賓客水手牛賣槍找錯中人
page 4	水塘儲量因雨增加當局取銷二級制水每日供水時間增為十五小時由上午六時起至下午九時止
