page 1	社評圍繞於對日問題
page 2	魯南戰事擴大臨沂受脅大汶口不守兗州益緊張南陽國軍苦鬥承德局勢略穩
page 2	美援委會定十日成立翁文灝將兼主任委員美眾院撥款委員會昨天決定援華計劃削減六千三百萬元
page 2	結匯證明書制度的成功條件
page 2	政院首次臨時會議通過預算編審辦法施政方針正由各部草擬中
page 2	司徒雷登發表聲明否認美國扶植日本並稱聲明曾經國務院核准
page 2	王世杰將發表聲明
page 2	為何反對扶植日本交大員生舉行座談吳國楨說美國沒有扶植日本六教授認反扶日主張有根據
page 2	立院昨續開會
page 2	平將驅使傷兵難民強迫富戶繳納特捐
page 2	監院會議今天開幕籌委會昨報告籌備經過
page 2	僑胞四千餘人上月由廈出國
page 2	同濟學生八人宣告無罪釋放
page 2	生活迫人穗一保警自殺
page 2	交警駐軍南來北調粵漢鐵路運輸繁忙廣韶公路本月中旬興工
page 2	唐縱等南來視察閩粵保安團隊美軍寧克上校同行
page 2	推進兩廣農業中華救濟團將捐鉅款
page 2	英一團體建議政府應與中共建立關係
page 2	改革粵政談得熱鬧省府要縣級人員支中央薪但視各縣財力來統籌款項
page 2	治安不好徵稅難梅縣屠捐開投無人過問
page 2	這樣的僑委會變成一個公文旅行機關實際護僑工作無力擔負
page 3	美援外款額是否打折扣眾院辯論後便可見分曉民主黨領袖希望恢復削減數目
page 3	哈里曼抵巴黎招待記者說明他的任務對馬歇爾計劃沾沾自喜援歐總辦事處已經籌備好了
page 3	對美國積極助日復興的抗議
page 3	美大批軍官在柏林開會參謀團從華盛頓飛到駐西歐各國參贊與會
page 3	英財政益拮据三月以來情形更惡化了克里浦斯說將削減人口計劃政府對美援削減事大感頭痛
page 3	美對亞洲貿易本年數額較去年增高菲日是美國最好主顧
page 3	美原子工廠罷工將延期
page 3	支持西歐軍事同盟美眾院外委會通過法案說目的在加強聯合國西歐五國外長下月在海牙開會
page 3	荷蘭照會印尼提出繼續談判條件
page 3	美海軍預算案眾院通過送參院討論
page 3	芬對蘇賠償蘇同意削減
page 3	法議會同意政府開除許多公務員
page 3	為競選總統投資杜魯門開始旅行橫貫十八州行程七千哩六月廿一以前不回華府
page 3	南非新閣組成馬蘭任總理兼外長
page 3	荷蘭女王九月四日退位由裘麗安娜公主繼位
page 3	新獨立的錫蘭要加入聯合國申請書已經遞交
page 3	紙上的停戰令無效阿猶兩軍照打不誤傳美軍官要去聖地調處英下令禁運軍火到中東
page 3	遠東經濟會議續開印度代表提出申訴說美全力援歐不管亞洲中國代表反對復興日重工業
page 3	日報紙宣傳反蘇蘇方函麥克阿瑟請制止
page 3	解決印回爭端安理會重申前議
page 3	麥克阿瑟得武士勳章日皇裕仁應該被整肅
page 4	華商總會訟案審結高庭決定改期宣判被告律師說這事非司法機關所應干涉
page 4	華商總會改選第一日投標僅幾十張德惠寶洋行投了第一張票
page 4	公價房屋將再增築
page 4	南洋考察團今開團員會議
page 4	文錦渡分關請增發武器九徑口分卡被襲
page 4	宋子文來港為了吃喜酒
page 4	三千餘具電表抵港鴨脷洲已恢復供電電燈公司繼續檢換陳舊電線
page 4	驅逐中區小販印警傷幼童
page 4	圖中為保大左主席阮文春右駐南圻代表陳文友
page 4	保大今日飛越和波拉特見面臨時政府六日宣布成立
page 4	小童群益會賣花沈慧芙呼籲各界捐輸
page 4	華商呈獻總統金像定十四日公開展覽鑄造費萬五千元呈獻辦法未定
page 4	木屋男女雜處包租人調戲女房客法庭罰他七十五元
page 4	一中一西被控發假誓法庭都判押候
page 4	流浮山綁案疑犯還被控其他罪名
page 4	偽製一毫輔幣三被告均判刑
page 4	元朗綁案迄無下落匪徒未寄手指
page 4	藏械三男子加控搶劫罪
page 4	三起小劫案
page 4	赤柱監內兩派囚犯近來已少鬥歐事件
page 4	金蟬脫壳李三妹找替身一縷煙的跑了
page 4	婦人正喂奶劫賊忽光顧劫去飾物值一千多元
page 5	輸管會輸入限額分配處趕辦五季限額分配五六兩季限額共七千四百餘萬美元第五季佔半數計三千六百餘萬美元
page 5	結匯證明書交易清淡買進三十六萬五千元
page 5	郵匯局香港分局一日起匯款百萬只付五元四角
page 5	國行與輸管會解釋改定外匯政策始末一三一號公告原來是過渡性質
page 5	出口物資經澳門須備結匯證明書否則作為走私論處
page 5	出口油類價格跌出口商人多觀望五月伍主要出口貨統計
page 5	高方就新職丁世祺同行林維英來穗擬取消
page 5	三四兩季工業原料輸入不適用一三五號辦法
page 5	外幣存單到期照市價兌換法幣進口商將開會反對
page 5	美匯黃金同進共退暹貨去美多美匯較港廉
page 5	麵粉准轉口南運五萬袋汕頭分配二萬袋榕廈泉各一萬袋
page 5	滬穗銀根鬆緊不同申匯直線下降省匯市勢盤穩期現鈔尚能站得住
page 5	無證到埠物資計收購二千萬美元
page 5	倒閉十數家虧空千餘億梧市倒風瀰漫工商百業面臨危機
page 5	兩紙電報市勢轉旺
page 5	經濟部通令紡織廠器材非經呈准不得出售旨在防止遷移香港
page 5	股市旺盛價格穩挺
page 5	台幣匯率昨起調整一比三五七元
page 5	考察南洋紗布市場代表業已推定
page 5	港府公布魚鮮價格
page 6	今夕嘉山看籃球南華迎戰青年會公民佈陣鬥中華乙組賽中青黑鷹會師
page 6	國際綱球賽美選手大勝
page 6	粵穗定期慰勞出席全運選手籌委會決定月底結束
page 6	六隊健兒
page 6	華僑體育委員會八月展開初步工作擬每年舉辦單項運動會足籃球賽分在菲星舉行
page 6	世運籃球隊廿六日出國菲港星征程已排定今日戰京市混合隊
page 6	全週游泳選手今午赴穗
page 6	小球戰訊
page 6	球人球事
page 6	大學教授生活苦還要開征所得稅
page 6	爭取實習費學潮未平息
page 6	域多利今晚舉行水藝大會二百公尺胸泳比賽露斯夫人以一抗四
page 6	中山大學近事女生宿舍有人徵婚熄燈之後輪流放哨
page 6	西洋小贏中華會婦女會大勝九龍女子網球賽昨天戰續
page 6	中山大學校友歡迎吳康博士
page 6	籃球會今日會議
page 6	交大招生
page 6	上海醫學院招考新生
page 7	梅縣戲劇性的一幕張光深入共區被俘據說他原想說服張其耀應邀去舌戰竟成階下囚
page 7	演出陰府行憲瓊山總統下獄縣中一個學生被控侮辱元首
page 7	瓊島樂東再度被圍感恩守軍奉命馳援
page 7	美軍顧問抵韶協助訓練新軍
page 7	杯酒言歡縣長誤報人為共黨事後請酒道歉了事
page 7	澳門鉅刦案搶去布一船部份疑犯被捉受審
page 7	自衛隊包圍縣政府縣長向專員請救兵湖南隆回縣發生的事
page 7	增城捉賭警察挨打四人被綑拋入河中
page 7	要時代日報停刊滬市府新聞處發表理由
page 7	鄂南通山發現煤礦可供武漢消耗十年
page 7	舟山群島也發現日漁輪定海巡防處已派艦緝捕
page 7	雲仙丸船員都承認錯誤
page 7	湘龍山議長被殺外間傳說與烟土案有關死者又是國民黨黨部書記長
page 7	中建艦及走私日漁雲仙丸廿一號
