page 1	社評新監察院的任務
page 2	執行美援中美即簽協定萊普漢等在滬忙於籌劃據說計劃未完成一切尚無頭緒史蒂爾曼要看看粵漢浙贛兩路
page 2	北平學生反扶日遊行警察保護美領館向空開槍學生衝警戒線時多人受傷滬江學生絕食一天抗議美國扶日
page 2	廣東沙田的整理
page 2	吳國楨的問題不滿學生答覆再擬八點向交大學生會追詢到底
page 2	我們不願做奴隸滬十雜誌總編輯函司徒指責他的聲明極不友誼
page 2	中山大學學生發表反扶日宣言
page 2	監院選副院長田炯錦劉哲呂超得票較多均未得過半數票今晨再選
page 2	齊魯大學將南遷醫學院遷榕理學院遷杭文學院神學院去留未定
page 2	一場小風波遲到籃委一度被阻場外經主席調解後小事化無
page 2	張群飛京
page 2	三黨僵局可望打開國民黨立委六十人將退讓當局正為這批人另謀出路
page 2	粵漢湘桂黔兩路即聯運辦法已擬定十六日開始
page 2	破車瘦老的馬
page 2	公路業務陷絕境唯一生機是靠政府貼補馮君銳今天去南京請援
page 2	慶祝英王生辰英使昨開酒會穗英領館也有慶祝會
page 2	麥唐納在京酬酢今天晉謁蔣總統
page 2	穗配售食米有些零商摻假並抬價有一個老闆被拉去坐牢 
page 2	汕頭開始配售米
page 2	日漁船越界捕魚中國政府最近不曾抗議以前八次抗議全無反響
page 2	穗綏署副主任傳梁華盛將繼任
page 2	魯南略穩蘇北緊張姜堰曲塘棄守泰縣危急承德以南國軍重入灤平
page 2	新長沙倒閉案財政部有命令湘省行穗分行停止營業總行負責償還國幣債款
page 2	粵改革縣政嚷了許久纔修正實施宋子文不贊成縣長用人表示不許向人民亂徵稅
page 2	重床疊屋一例穗市府稅局都管收稅弄得商人們無所適從
page 2	粵省參會大會十八日起舉行
page 2	中大學生曾勉儉被瘋狗咬傷不治
page 2	老百姓慘被蹂躪佛山拉丁打死人
page 3	美國援歐公約氣焰逼人週內談判勢遭各國反對履行義務竟成單方面美國具有強迫歐洲貨幣貶值的權力
page 3	美眾院削減援款參議員見仁見智范登堡大聲呼喊使不得塔虎脫也反對馬丁則否
page 3	六國對德決議英美表示接受
page 3	撥款扶助日韓復興美陸軍部再求參院
page 3	倫敦通信罪與罰英國議會辯論記
page 3	美蘇碰頭就吵遠經會中激辯
page 3	義眾院一場武劇兩百多議員大打出手左右派首領在場觀戰
page 3	駐日盟軍日減英聯邦軍隊紛紛撤退全部駐軍不過七萬人
page 3	戰時文物損失日本可免賠償英美兩國反對我建議
page 3	牧童戲子鍛工參議者美第三黨副總統候選人泰勒
page 3	許曼正左右為難戴高樂圖謀東山再起想利用對德問題奪得政權要求法人民推翻聯合政府
page 3	審判日戰犯美國想包辦
page 3	季楠突返美解決此問題
page 3	貝爾納斯勸告美人應與蘇聯互諒共存指出反對談判折衝實在危險
page 3	越南僑胞多難法方壓迫手段有增無已百囊奔大火五百人流離失所
page 3	聖地阿猶價休戰安理會謀徹底解決辦法猶恐怖分子反對政府停戰
page 3	老鼠蒼蠅可換獎券遜王郡主終成眷屬
page 3	天皇應退位駙馬當副官
page 4	低氣壓中心昨掠過本港整日風雨交作一個老船夫被波濤捲去今天下午天氣可能轉晴
page 4	太古輪船公司建造新輪八艘發展遠東航線
page 4	中央警署囚室擁擠情形未改
page 4	中央定購新機航行國內外線
page 4	香港建新機場財政問題解決瓊斯昨在英下院表示
page 4	昨天英王生日天雨未能檢閱酒會盛極一時
page 4	今天端午處處賽龍舟家家買粽子
page 4	香港美術會今天開二次大會
page 4	劉牧蘇傑民口琴演奏
page 4	北角貨棧碼頭投資者踴躍
page 4	九龍潮州公會開始徵求會員
page 4	鹹魚晒場魚商屬意筲箕灣地區將見漁政司申述意見
page 4	應選香港小姐已有五位報名
page 4	下體藏黃金又一女被扣
page 4	華商總會開票完畢當選名單暫不公布候選人中兩位陳偉生亦待確定
page 4	下體藏金案四女繳款出獄
page 4	防止誘拐婦女赴星婦女須由本港同鄉會證明
page 4	數十警士突擊賭檔捕嫌疑男子廿三人
page 4	尖沙咀碼頭漂起男女屍
page 4	童犯躍車逃遁結果仍被拘回
page 4	阻警執行職務小販遞解出境
page 5	馬來亞輸華貨值平均增加一倍我國輸馬來亞貨值卻逐漸減退輸出貨物主要是樹膠椰油椰乾肥皂等輸入貨物主要是食料蔬菜生果棉織口
page 5	滬銀根鬆濫謠言多金鈔證券糧食齊漲出口結匯證一度漲至五十八萬元
page 5	傳說銀幣每元等法幣七十萬
page 5	三月份出口結匯總計八百萬美元
page 5	錫聯會決定今年首六月世界各國純錫配額分配總量計三九四八六長噸
page 5	鎔鍊錫砂三千餘噸
page 5	馬來亞三四月份錫產出入口統計四月份出口計五千八百噸較三月份增加一千七百噸
page 5	錫砂入口三進餘噸
page 5	聞話錫產
page 5	世界錫產我居第五
page 5	去年輸入星檳錫砂
page 5	外地輸入馬來錫砂
page 5	輸出國外純錫噸數
page 5	上海經濟會報決定五項對策拋售物資吸收游資徹查黑市抽緊銀根
page 5	全球錫產十五萬噸
page 5	我國產地滇湘桂粵
page 5	廣西錫礦共分四區
page 5	富賀鍾區產量豐富
page 5	礦業聯合會請提高錫價
page 5	國際錫業會曾討論錫價
page 5	長沙的地下錢莊長沙特約通訊
page 5	地下錢莊四種姿態
page 5	此仆彼起隨興隨滅
page 5	吞吐貨物操從投機
page 5	嚴加取締限期停業
page 5	合法行莊業務萎縮
page 5	正本清源全盤革新
page 5	穗區辦事處訴願委員會即日起取銷輸管總會電知
