page 1	"社評談獎勵僑資歸國"
page 2	"蔣總統昨飛抵上海翁文灝等公畢返京山中之會對經濟有決策經管局即成立幣改革籌劃中"
page 2	"上海物價又跳南京郊外有人搶米"
page 2	"不准日輪來華運貨台航業界擁護滬方建議我國航業幼苗不容別人摧殘"
page 2	"哀我海南鐵苗源源運往日本"
page 2	"盟總庇護戰犯不交出罪惡昭彰的影佐我駐日代團再度要求引渡"
page 2	"日賠償機器已配售完了"
page 2	"何應欽巴大維昨商談美援事"
page 2	"安定物價必須給人民一種保存購買力的工具下"
page 2	"孫立人赴台余漢謀抵京"
page 2	"胡適反對改憲法說國代不該支薪戡建會沒有成立價值"
page 2	"萊普漢自瀋返抵平在瀋曾與衛立煌等晤談司徒立門在美行蹤秘密"
page 2	"國大會堂貼了封條表示不再借給立法院用"
page 2	"閩災損失慘重中樞迄未具體振濟社會處長曹挺光抵京報告"
page 2	"生活指數核定今後不發表了"
page 2	"漢口郊外洪水沒膝諶家磯倉庫被水包圍"
page 2	"新關稅稅則日內即公布"
page 2	"陳誠病好了還要養些日子"
page 2	"監院昨休會各地分署日內成立今後院會每兩月開一次"
page 2	"受理訴願手續政院通令各機關"
page 2	"台大校長莊長恭辭職他感到人事頗難處理"
page 2	"魯中戰場山雨欲來宛西轉緊國軍進抵襄陽城郊冀東有小接觸傅作義飛保定"
page 2	"一件危害國家案滬特種刑庭正秘密偵查被告共有一百二十三人包括文化人大學教授工人"
page 2	"民航隊失事機上罹難者多是軍人"
page 2	"秦德純即赴平調查七五血案"
page 2	"烽火中的河南政局主席將易人張軫不願幹他想在大別山振作一番遂平景象凄慘全城只剩千人"
page 2	"飛機班次減少航郵遞寄困難報紙等或將暫時停收寄"
page 3	"四強解決德國問題有待三國專使未獲晤蘇外長莫洛托夫不在蘇京引起揣測傳三國要求先解除柏林封鎖"
page 3	"冷戰乎備戰乎貝文宣布英擬停止復員邱吉爾表示支持促立刻實行"
page 3	"回教世界"
page 3	"漢堡空中事件英向蘇提抗議"
page 3	"倫敦警匪惡戰一群匪徒偷竊財寶未遂"
page 3	"決與美國會較量杜魯門正式提法案要求授權遏止通貨膨脹"
page 3	"芬政潮告一段落社民黨組成一黨內閣"
page 3	"美貸款聯合國國會可望通過"
page 3	"多瑙河會議舉行蘇代表抵南國首都參加"
page 3	"評國人在外資金與僑匯之利用辦法"
page 3	"羅斯福夫人批評進步黨"
page 3	"克魯特科夫任蘇副總理"
page 3	"美再貸款伊朗加強軍隊裝備"
page 3	"日政府通過反勞工命令四十萬交通工人將罷工勞工部長加藤傳將要辭職"
page 3	"英美海陸空軍在日聯合演習"
page 3	"德萊柏不忘日本代爭得兩筆復興救濟費明年撥七千萬後年三億"
page 3	"阿拉斯加對面傳蘇在建工事美方說有確切證據"
page 3	"麥克阿瑟要求繼續任盟軍統帥"
page 3	"醫生診斷錯誤要賠錢遊客遊山玩水竟喪命"
page 3	"荷女王將退位以後重用公主稱號"
page 3	"暫時不談聖地事安理會決停止辯論蘇代表極力反對亦無效"
page 3	"南照會聯合國抗議英美特港政策"
page 3	"菲律賓移民政策季里諾說不改變增加華人入境額待考慮"
page 3	"日五大財閥銀行不換湯也不換藥整肅委會宣布不必改組"
