page 1	北京出版赫魯曉夫言論第五集出版者在說明中指出蘇共領導自套絞索同美帝合作絕不能撲滅越南人民反美鬥爭所謂蘇美合作主宰世界永遠也不行不通赫魯曉夫的繼承者至今天還死抱着赫修這艘下沉的破船怎能改變覆沒命運當前世界革命形勢大好帝國主義各國反動派和現代修正主義已經接近死亡它們的日子越來越不好過了
page 2	美報揭穿約翰遜談判騙局譴責鐵托集團為美國開脫說在越南的唯一侵略者是美帝國主義美必須無條件將軍隊武器全數撤出南越
page 2	美報再告約翰遜速低頭承認打輸美無論派多少部隊也難取得軍事勝利李普曼承認美在亞洲自惹麻煩已陷於空前孤立
page 2	蔣幫要換駐美大使周書楷接替蔣廷黻
page 2	抗議日韓談判復交漢城女生國會示威警察武力對付拘捕廿名學生
page 2	工業大臣率領挪工商代表團抵京林海雲雷任民等在機場歡迎
page 2	中國發明新耐火磚全國鋼廠普遍採用平爐爐頂改用鎂鋁磚壽命提高三倍
page 2	昨自漢城來洛奇今離港
page 2	蘇法外長也推動開柬埔寨國際會
page 2	不能同殺人犯談判柬埔寨報紙斥約翰遜騙局
page 2	四川蔗糖超產
page 2	滬郊發展養豬頭數增加三成
page 2	中國獨創特效新藥治血吸蟲病療效高病人服用呋喃丙胺病情顯著改善上海正大量生產並向全國醫療部門推廣
page 2	年產十萬噸氮肥南京化肥工程完工從動工到投入生產費時不到九個月
page 2	美艦封鎖南越海面說準備在越南全面作戰
page 2	美議員罵約翰遜將成最丟臉總統要求連將臘斯克等免職
page 2	美艦開赴多米尼加多京市民自行武裝支持波殊回國執政
page 2	高度警惕敵人動向福建沿海民兵勤練武隨時準備配合解放軍消滅膽敢來犯敵人
page 2	美新聞週刊侮辱柬埔寨王后柬要美表明態度說兩國關係破裂迫在眉睫
page 3	百鳥展覽辦攝影賽元朗下月續建防洪渠道荃灣續撥出工業用地百萬方呎
page 3	三百錢避風塘風季前可啟用各區菜田發生蟲害
page 3	九龍街坊會　廠明祝建廠五周年
page 3	電話按次收費實屬捨本逐末中山僑商會列四項理由指出電話公司應做之事
page 3	日人被劫案今在地院審
page 3	港九油漆業總工會自置新會所今開幕
page 3	兒童安置所新員今接任
page 3	真假濟公旺場公子多情播音
page 3	黑色的假期八院今上映
page 3	鍾士元返港
page 3	玻璃鏡業總商會選出新任理監事
page 3	文商專校七月招生
page 3	涉嫌偷運毒品泰箱男子被控
page 3	國產調味品味珍暢銷
page 4	參加五一國際勞動節慶典大批華僑港澳同胞抵京受到熱情接待連日參觀工廠及名勝
page 4	新例規定不論學生多寡跳舞學校須領牌學校燈光亮度須被認為滿意教育政策白皮書今日動議採納
page 4	十六歲少女鬧戀愛當着男友面前服毒
page 4	港督府園遊會
page 4	被澳門當局着令離境法國婦人變成海上人球佛山輪上袒裼裸裎堅決不欲在香港上岸
page 4	西環牛房昨晚小火
page 4	今天天陰或有大雨
page 4	元朗工場大火
page 4	調查蟲惑狗搜出麻醉品澳門警方表示破案有望否認曾毆打狗伕說如有其事可以上訴
page 4	慶祝我國乒隊大捷文員昨晚舉行酒會並定卅日舉行會員祝捷聯歡會
page 4	本屆世界乒賽紀念郵票商務等書店今天起發售
page 4	兩伙計打交司理人傷手
page 4	日中貿易促進會理事長鈴木一雄過港赴穗日本朋友多人昨同時到港即赴廣州
page 4	侵越美航空母艦珊瑚海號又到港最近港海美艦增至十艘
page 4	小童打架出刀仔其一受傷入醫院
page 4	買汽車送禮的人少了
page 4	競爭劇烈車商代客付稅
page 4	英國車實銷量大大退縮
page 4	汽車生意漸走下坡供過於求今年首季比去年同期實銷約縮三成
page 4	西德車銷數進展迅速
page 4	中小型車比大車合銷
page 4	日本後來居上排第三位
page 5	交易會工藝品館展品多逾四萬件
page 5	一片繁忙融洽氣氛
page 5	抽紗湧現新的產品
page 5	金銀寶石與新首飾
page 6	部分港商由廣州訂貨回來絲綢花色品種均多港商訂貨順利完成海味鮮明乾爽成盤比前增加
page 6	港製各種棉紡織品瑞典不擬限制輸入瑞典商認為港貨標準不如日貨
page 6	要解暫時困難廠商向泰推銷幼紗接單價比市價低未合廠家理想泰國現正研究降低出口貨成本
page 6	南朝鮮商人續購風濕藥本銷以感冒藥較多
page 6	港商訂台糖五百三十噸訂價頻跌港商虧損
page 6	貨商延期贖單銀行頻頻催促對分批贖單提貨者亦有規定
page 6	怡和去年尾期息每股將派四毫半
page 6	米市靜價穩正盤只成千餘包
page 6	星限制入口米粉價突漲
page 6	廢鐵舊船板價均降廢雜每噸普遍降低十元舊船板每擔跌至廿三元
page 8	黃鎮大使等迎於機場中國乒隊抵巴黎將在巴黎里昂等五城市比賽對外文委電賀乒隊並祝訪問歐非成功
page 8	徐寅生張燮林等將前往希臘訪問先在南斯拉夫薩城比賽兩場
page 8	九巴和光華戰果一比一雙方爭持烈
page 8	西拳大賽今演初賽
page 8	亞青杯今有四仗香港出戰以色列
page 8	甲組籃賽伊館一場
