page 1	毛主席親自主持九大隆重開幕動人情景上鏡頭九大彩色紀錄片在全國放映毛主席偉大聲音在片中播出同志們中國共產黨第九次全國代表大會現在開始我們希望這一次代表大會能夠開成一個團結的大會勝利的大會大會以後在全國取得更大的勝利
page 2	天安門中南海燈火輝煌郊區許多縣傾城出動首都連夜慶祝九大閉幕歡樂人羣綿延數十公里羣眾歡呼九大選出新的中央委會決心奪取更大勝利
page 2	喜訊傳到凌晨三時越秀山開慶祝大會廣州250萬軍民遊行港澳同胞華僑參加目睹偉大場面深受感動對新聞公報傳來毛主席的親切問候表示受到極大激勵
page 2	通宵不寐觀看遊行盛況亞非拉朋友熱烈向我祝賀日本來賓將喜訊傳給大家許多外國朋友一再向遊行隊伍鼓掌祝賀
page 2	原黑龍江省委機關八名重要幹部解放包括原省委委員省工會主任原省委組織部副部長原省委統戰部副部長原省委宣傳部副部長原省委副　長原省委監委副書記
page 2	交易會外賓談話讚九大
page 2	中國機床添新品種　製成多用機床體積小可裝上卡車流動使用
page 2	蘇人民熱愛毛主席新沙皇反華卑劣行徑從反面教育了蘇聯人民
page 2	法意來賓談觀感
page 3	蔗渣製富強纖維車間在番禺建成我國第一座對發展紡織業貢獻重大
page 3	廣東為我國主要產蔗區發展人造纖維大有可為每畝甘蔗的蔗渣可產富強纖維絲四十二公斤每噸絲可織八千公尺布具質地優良耐磨耐穿美觀涼爽等特點
page 3	哈佛大學精神病醫生說美國學生自殺多大學生自殺佔死亡原因第二位
page 3	仁愛新村毀家居民現仍未獲合理安置住家式商店被拒給徙置區舖位
page 3	嘉民欠薪事仍未解決數百工人枵腹等發錢女工拖男帶女訴說生活受影響
page 3	南越領事住宅今晨被爆冷格
page 3	油蔴地小輪公司今日中午開年會
page 3	西區部分樓宇今晚深夜停水
page 3	徙置處一助理區長被控四項貪污罪名
page 3	吉普車失事司機傷頭腳
page 3	冷鋒南下今天清涼海面有較強東北風
page 3	中區至淺水灣巴士將逢星期例假加班
page 3	荃灣一男子疑跳樓斃命柴灣一婦人亦跳樓慘死
page 3	啞巴開口演唱實況綠邨電台今日播出各界可依時體會這個人間奇蹟
page 3	多種港製棉質服裝被停發輸瑞典簽證何時恢復發證現仍未知
page 3	英鎊續報跌
page 3	黎巴嫩總理辭職全國危機更嚴重
page 3	英國財相明天訪美
page 3	美報說英經濟不妙美國也在步英後塵新貨幣危機正在醞釀西方正感焦慮
page 3	菲帶錢出國限制放寬至五百披索
page 3	國大黨大會時帳篷起火印度總理險遭燒死離座不到幾分鐘講壇即焚毀
page 4	東風萬里傳喜訊滿懷激情慶九大各界明隆重舉行慶祝大會同時在普慶舉行文藝匯演五天共十二場
page 4	愛國機構張燈結綵一片歡騰同胞深感無限幸福和光榮表示堅決響應號召要團結一切可以團結的人們共同對敵在反帝反修鬥爭中作出更大貢獻
page 4	各業工人滿懷激情表示決心擴大愛國反帝戰線陳耀材楊光在慶祝酒會上講話指出港九工人決掀起活學活用毛澤東思想羣眾運動的新高潮
page 4	慶祝九大像章昨天發行受歡迎
page 4	新界各區農民漁民歡欣鼓舞集會慶祝荃灣各業工人慶祝會氣氛熱烈
page 4	銀行等昨彩旗招展職工敲鑼打鼓報喜中國銀行華潤等紛紛集會慶祝
page 4	九大閉幕公報單行本昨發行出版界以最快速度印製
page 4	熱烈歡呼毛主席萬歲萬萬歲新華分社昨舉行慶祝會工作人員決為反帝反修鬥爭作出最大努力並駁斥帝修反攻擊污衊九大的反動謬論大公新晚及有利職工昨亦集會慶祝
page 4	堅決擁護毛主席為首林副的中央委員會港九同胞熱烈慶祝九大勝利閉幕感謝毛主席的關懷決更加熱愛祖國
page 7	丙組足球兩場準決賽愉園出戰中華今天下午在嘉山分勝負另場獄吏與英空軍交鋒
page 7	在花墟演出煞科戲電話再戰東昇各盡全力可望踢出好波
page 7	疏於練習士無鬥志九巴竟為洋兵所敗
page 7	南華會會員證即日開始轉換
page 7	射球高紀錄陳朝基居首
page 7	下週足球賽程
page 9	港商參加交易會部分已訂貨回來土產雜貨海味化工原料都訂入不少對此次生意頗感滿意有些準備再去
page 9	風扇零售開始旺八吋十二吋檯扇最搶手個別國貨公司每天約銷數十把
page 9	假期少營業日數多票據交換三月回增比二月份多二億二千餘萬元港幣發行廿一億六千餘萬元
page 9	香港加入亞洲銀行對香港有何好處
page 9	日本經濟增長趨緩美國如此預測
page 9	廣東生油續有成盤
page 9	金市呈牛皮在三二一以上徘徊起落差額不過半點
page 9	股市有些動盪部分股價跌後昨又回漲酒店最堅尚無回降跡象
page 9	鮮橙梨與蘋果成交約三百噸
page 9	西德商訂拖鞋單額比前增大預料今後還有訂單寄來
page 9	紐約美棉普遍上升
page 9	電動驅蚊器國產貨暢銷既除蚊又發清香味
page 9	五種外幣市價稍降
page 9	六種外匯價銀行昨調整
