page 1	四屆全國人大首次會議隆重舉行一致通過了修改後的中華人民共和國憲法批准周總理所作政府工作報告通過有關決議選出朱德為人大常委會員長董必武宋慶齡等廿二人任副委員長任命周恩來為國務院總理鄧小平張春橋李先念等十二人為副總理號召各族人民更加團結努力實現大會所提各項戰鬥任務爭取新勝利
page 2	日本反對蘇聯搞亞安體系歸還北方四島談判無協議宮澤喜一返抵東京後說蘇態度強硬
page 2	倫敦每日鏡報一連兩天無報紙
page 2	日首相談中日和約認為締結日期可能比預期更早如獲協議將盡早提交國會批准
page 2	高度增長的時代已經過去日經濟面臨新考驗失業大軍超過百萬失業人數比預期大情況比美國更嚴重
page 2	大風雪席捲日北部宮崎市三十年來昨首次下雪本州九州各地交通陷於混亂
page 2	印通訊社昨報道勃列日湼夫辭職
page 2	差利在倫敦重遊童年時代熟識的街道談及籌拍新戲千奇百怪
page 2	抗議英讓土裔難民前往土耳其塞島學生上街示威襲美使館及英機構雅典亦有類似行動英使館被搗毀
page 2	基辛格穿梭外交傳將在中東恢復
page 2	快意汽車銷售呆滯七萬工人縮短工時每星期只能開工三天或四天
page 2	柬埔寨軍民續推進金邊缺糧達危險點朗諾船隊十多天來未能越過封鎖線
page 2	印尼促星馬聯合行動確保馬六甲海峽安全日本兩貨輪在日沿岸遇事多人喪生失蹤
page 2	進一步爭取非洲解放的堅強決心
page 4	北京昨晚傳來重大喜訊香港同胞歡呼四屆人大表示要認真學習大會公佈的各項文件
page 4	工聯會長陳耀材發表談話四屆人大鼓舞香港工人決壯大愛國團結力量為愛國反霸事業為解放台灣作出應有貢獻
page 4	北京電視台今晚節目廣州台全部直接轉播昨晚播映歌唱四屆人大召開等節目
page 4	洋衣糖果餅業及西式女服三工會將慰問失業工人包括貧苦老弱和病殘者即日起登記
page 4	英兩議員昨抵港訪問白賴恩及費谷基將晤港府官員
page 4	傷殘者坐車問題當局設小組研究
page 4	男子行騙萬餘元說可搞掂新區舖位
page 4	救護車帶保青器將於下月起實行
page 4	今日中國特輯五院週四放映綜合美術園地新圖畫家畜針刺麻醉及今日中國而成的彩色紀錄片
page 4	民政署在九龍增設三諮詢處
page 4	沙頭角鹿頸獵殺一野豬
page 4	服食迷幻藥後一少女自割脈門昏倒路旁被送院救治
page 4	中華出入口商會明天起供應年貨
page 4	靠妻子當妓為生一男子被控兩罪
page 4	深廣及省內鐵路沿線聯運中旅社明天開始接受辦理並公佈廣州各旅店收費情況及預定房間辦法
page 4	中旅社今天仍辦公
page 4	兩青年劫航空公司脅迫女職員開夾萬掠走萬餘元珠寶店被劫職員按警鐘退賊馬頭圍道搜出手槍三男子被拘
page 4	黑社會人物四名恐嚇勒索又行劫
page 5	筲箕灣燒燬五十艇屋大多數隻身逃出財物化為灰燼近五百災民無家可歸急待安置
page 5	居住環境甚為惡劣住戶促徙置無結果
page 5	迪士尼樂園卡通人物今日參加公益金步行
page 5	兩本新書運抵港包括閃閃的紅星換了人間
page 5	蒙民偉書院揭幕
page 5	西貢海邊石隙藏屍林炳證實被人殺死警方列為兇殺村民促緝兇歸案九龍兩宗命案警方盼提供消息
page 5	家計會求診者告增加
page 5	先施歲晚大減價
page 5	港商製造石英表無線電視今介紹
page 5	藝術中心將舉辦一項午間音樂會
page 5	四人油畫明聯展
page 5	中藝介紹文房用具舊瓷印盒水孟徽墨端硯頗豐富
page 5	樂府春秋將公映
page 5	九龍反黑組警司譚保禮寓所被搜查護照被扣留調查期間不准離港
page 5	四機構委出新人
page 5	酒業商會新員就職官校教職工會選出理事
page 5	監業沙田墟設辦事處定二十二日開始營業
page 8	甲組聯賽今恢復上演愉園花墟遇鐵行過去兩次碰頭各勝一場愉園拉開來打可望制敵
page 8	四支弱隊加緊備戰搶分聯賽護級微妙流市電光之戰較受注意
page 8	上午在新界八鄉角逐單車讓賽今舉行賽會備有旅遊車接送運動員
page 8	雙方教練昨分別透露鐵行排四三三陣愉園鄭國根復出愉園球員共商破敵之計
page 8	印務乒賽消息
page 8	歐洲各國足球踢法趨向全面快速搶攻詹薛在歐洲足聯會議上談體會
page 8	女子籃球六強決賽戰果悠悠昨晚輕取群青另兩場男子組警察南華同奏捷
page 8	公開網球今演三場
page 8	重生小球賽今比賽兩場
page 8	貝斯親自赴美接洽轉會美國跳高選手創新紀錄拳擊協會評定優秀拳手
