page 1	革命紀念地韶山郵電部今發特種郵票
page 2	工地紅旗招展機器轟鳴熱氣騰騰學大寨會議五千多名代表參加建毛主席紀念堂勞動西藏代表從世界屋脊帶來了水晶石紅土新疆代表從塔里木帶來核桃種籽紀念毛主席誕辰八十三周年
page 2	沿着毛主席開闢的革命航道勝利前進
page 2	貧下中農懷念毛主席決心學大寨為革命多貢獻
page 2	廣大工人懷念毛主席明年來個開門紅
page 3	廣大科技人員堅持為工農兵服務上海紅外研究取得新成果製成紅外熱軸探測儀和紅外測溫儀等可自動快速檢測列車軸溫和鑒定文物
page 3	在泰國最嚴重空難事件埃航機撞落紡織廠乘客等七十人喪生大部分屍體已被燒焦無法辨認
page 3	從沙特載香客反埃及朝聖客輪紅海沉沒一百二十七人失蹤機房起火後烈焰無法控制造成海難事件
page 3	繆雲台離穗回美林李明會見並設宴招待粵革委有關負責人歡送
page 3	方毅率領經濟團友好訪問柬埔寨
page 3	蘇囚犯受殘酷折磨
page 4	當局強行徵收物業稅船灣六鄉村民齊反對村民說港府當年建淡水湖以屋換屋並保證業權現在卻背信棄義他們決定將往稅局交涉
page 4	屯門新市計劃續收地拆屋散石灣明年要搬村兩千人感徬徨提六要求
page 4	上環數街道將重建荷里活道一段加闊路面改路線
page 4	青年遇劫被斬傷
page 4	強冷空氣到港天氣陰冷有雨
page 4	今晨零時三十分北角兩輛巴士相撞三傷者中一司機傷勢重
page 4	毛主席永垂不朽紀錄片卅日公映
page 6	夜總會狂歡者因碰撞起爭執警探一彈傷了兩人另有兩男子參加舞會後遇襲受傷
page 6	類似民政署機構將在新界區設立
page 6	恒生與澳洲專員公署廿九日舉行留澳講座
page 6	近岸食用漁獲日減本港將探海洋中層魚類漁農處已裝置最新儀器
page 6	當局腰斬中學學制必將引起不良後果教聯會刊十二期為此發表評論
page 6	木版水印畫介紹近日增添新展品
page 6	廿個受歡迎電視節目上月仍然由無線囊括
page 6	商業通濟公會元旦舉行團拜兩工會定期旅行聚餐
page 6	清水灣一住宅地定一月十八拍賣
page 6	戒毒會聯誼會廿八舉行聯歡
page 6	中國書畫聯展今為最後一天
page 12	光華嘉山昨交鋒悶戰終場無紀錄雙方已打完首循環周賽事
page 12	愉流備戰各施各法流浪中路佈重兵企圖突擊搶分愉園變動中前場爭取入第一球
page 12	精工南華銀牌決賽門票昨已全部沽清
page 12	英國足球大賽無線今晚播映
page 12	甲組足球聯賽今演重頭戲愉園埔頭大戰流浪流浪麥當奴楊少年投効亮相鍾楚維如養傷由余國傑掛帥
