page 1	華總理泛舟水鄉威尼斯受到市民萬人空巷歡迎乘岡都拉駛經各水道時街頭市民高呼華華並參觀料器工場觀看工人操作晚赴歌劇院觀劇
page 2	在意大利科西加總理歡迎宴會上華總理譴責霸權主義肆虐重申歐亞安全已息息相關希望中意從各自立場出發在國際事務中加强合作
page 2	要求美國引渡前國王返伊受審伊朗學生佔領美使館宣稱挾持一百名人質美國務院急召專家小組商對策
page 2	美陸戰隊扔催淚彈與學生衝突三小時
page 2	美衞星重返地球已在大西洋墜毀
page 2	柬游擊隊昨指責越使用化學毒藥
page 2	崔圭夏聲明要維持安全和經濟發展南韓政策引人注目公眾要求修改憲法反對黨的動態可能使政治局面有新變化
page 2	孟加拉撞船大慘劇估計二百乘客淹死
page 2	黃華昨訪聖馬力諾聖國位於意大利東面人口只兩萬
page 2	工會舉行總罷工商業陷停頓玻利維亞局勢未穩總統府昨又有戰事政變新領袖實施軍法管制居民搶購食物
page 2	日貸款十五億美元助中國發展五工程分五六年提供每年二億多美元
page 3	社會科學界學術討論各抒己見文藝是否為政治服務北京學者提不同看法涉及三十年來文藝弊病和文藝特性問題
page 3	北京設立體育公司承辦外國體育業務包括接洽外國體育隊來華表演和在華拍攝體育電影電視以及體育場館廣告等
page 3	多年來首次召開會員代表會作協音協等制定新規劃將探討改革體制修改章程選舉新領導機構
page 3	各國手冊叢書第一輯日本出版
page 3	康世恩在京會見北卡羅來納州煙草代表團盼中美擴大輕工業合作
page 3	泰國會代表團離開廣州返國
page 3	滬用十萬噸巨輪改裝成浮動碼頭
page 3	人民日報指出青少年犯罪嚴重號召重視教育青少年工作
page 3	蘇州庭園明軒昨自滬啟運美國用貨櫃運輸技術員赴美裝配
page 3	西藏首座奶粉廠產品已供應市場
page 4	兩女一男起糾紛有人竟縱火燒屋昨發生在藍田新邨兩人遭灼傷婦人自首被警方帶走協助調查
page 4	少女跳樓自殺死疑因情海翻波而輕生
page 4	銅鑼灣一餐廳內兩批人開片青年被刀斬傷滾落樓梯
page 4	大會堂今演京劇
page 4	四匪夜劫酒樓宿舍在一槍三刀下七名職工遭綑綁
page 4	艶陽樓及陳三兩首次演出京劇折子戲昨續獲好評今晚演穆柯寨及盜仙草等
page 4	中國郵票展覽團長周保昌昨天抵港陳列館展覽場已佈置完成
page 4	薄扶林道一段限制行車速度
page 5	在本港西南三百浬處貨輪海安號沉沒廿五名本港及印尼船員均獲救救人者為丹麥阿根廷荷蘭三輪
page 5	校際象棋比賽今起接受報名
page 5	火炭至沙田車廠建高架道路連接工務司署現已招標承建
page 5	南商電腦服務本月十二開始
page 5	瑞士遠東展覽會二十日在港開幕參展瑞士公司百二十家
page 5	港府債券將派息
page 8	教育司陶建昨在樹仁畢業禮中透露認可專上學院課程標準當局快將進行獨立評估包括學院方面頒給學生的資格
page 8	地下鐵路金鐘站行人天橋具雛形頂層植樹木花卉及設座椅
page 8	保良歷屆總理明舉行午餐會
page 8	全港公開攝影賽收件期延至十日
page 8	友誼旅行社受旅客歡迎
page 8	今年兩量多水塘存水近八成
page 8	在沙頭角林區遺下火種掃墓客被罰五百元的士司機拒載被罰一百五十元
page 9	古城羅馬
page 10	石油與金屬價漲部分化工原料新訂價再扳高近日港商多酌量增訂貨
page 10	遠洋新訂單續寄來製衣業年內仍穩定美國近日採購褲類和恤衫居多
page 10	日出口信用證額創空前最高紀錄
page 10	金價大跌小升炒家仍多觀望
page 10	復活節單基本接滿充皮具業穩好個別大廠開始接明夏單
page 10	美布蘭尼航機飛羅省香港線
page 10	建築地盤開工放緩鐵條銷路跡象轉淡個別貨品售價已見略降
page 10	港幣匯率指數
page 10	存息暫不變銀行頭寸近日鬆弛
page 10	巴紗新盤又告上揚每包約提高十美元現恢復來盤港商再落單
page 10	紐約萬國寶通優惠率不提高
page 10	不尋常的加價風
page 12	世界舉重錦標賽吳數德抓舉掄元為我國在歷屆賽事中首奪金牌並破抓舉總成績兩項青年紀錄
page 12	元朗十人應戰精工淨取三球梁順昌上半場因兩犯戴歷被逐
page 12	南華港會旺角相逢實力懸殊前者料可打開勝利門
page 12	伊館上演八時開賽泰男籃今戰港聯雙方實力接近料有劇鬥
page 12	青少男團乒球賽結恆公民B奪標
page 12	工人體育場足球友誼賽北京賽和瑞典雙方未有建樹客軍將訪廣州
