page 1	中國創世乒紀錄囊括全七項冠軍世界男單冠軍郭躍華女單冠軍童玲
page 2	福建台灣同胞聯誼會成立前夕項南致函台聯表示祝賀呼籲台峽兩岸架起金橋省台聯成立將使台灣與大陸三通早實現
page 2	方毅代表黨中央國務院致賀清華大學昨度70周年校慶師生校友二萬人歡聚一堂梅貽琦夫人和旅美校友馬大恢香港容啟東等參加
page 2	校友捐贈紀念碑昨揭幕清華校友總會同時選舉
page 2	大理三月街盛會有港澳同胞參加會上藥材私人所採佔六成
page 2	滬接外商訂船已達三十八艘
page 2	廣州船廠建成華埃爾夫號法青年在穗駕帆船取道好望角赴巴黎仿古中式木帆船下月可抵港
page 2	清華大學國際交往日益頻繁
page 2	北京論當前反傾向原則重點反左也注意防右強調按具體情况辦事不搞運動
page 2	中國各軍事院校今年招生萬餘名
page 2	中國遊艇有出口美商當場訂一批
page 2	廣東省籌集兒童福利基金在羊城昨首次舉辦賣物會名書畫家商承祚容庚黃胄等捐獻了作品郭棣活夫人剪綵霍英東十萬元認購關山月新作
page 2	八六高齡前國民黨中將司令耿幼麟偕夫人在京安新居他說我愛我的祖國我老了樹高千丈落葉歸根新居賓客如雲劉瑤章侯鏡如鄭洞國等都來探望
page 2	清華校慶二一年老校友聚首韓咏華參加活動
page 2	京政協促台當局讓兩岸親人團聚
page 3	聯合國舉行棉花會議對控制棉價將有爭論十八產棉國促穩定棉價美日反對
page 3	英國邀請中國空軍前往視察訓練設施帕蒂在京透露與張廷發會談情况
page 3	法新社電腦推測大選情况德斯坦和密特朗可進入二輪競選
page 3	泰國兩位公主下月上旬訪華
page 3	西方分析油價動向沙特擬促油國減價耶曼尼曾說油價每桶應低於卅六美元
page 3	西哈努克電邀宋雙在新加坡舉行會談商討建立反越聯合陣線
page 3	印尼發現新種蚊子
page 3	菲發生嚴重車禍推土機巴士相撞廿七人喪生十二人受傷
page 3	希臘女神石塑像複製品裝回原地
page 3	蘇科學家新設想發展飛船纜車飛船上引擎與地面電纜相連
page 3	英郵車大盜返抵巴西
page 3	各種收費激增聯邦削減補貼美大學生面臨雙重打擊
page 3	院校收費首次越一萬美元
page 3	六成大學生接受政府補貼
page 3	增加撥欵資助貧困學生
page 3	將有更多學生轉讀公立院校
page 3	更新設備難以實行
page 3	黃華六月訪印度
page 3	蕭克昨會見阿曼軍事團
page 3	希船王女繼承人計劃第四次結婚
page 3	希拉克投票
page 3	吉斯卡爾投票
page 4	劫灣仔一髮型屋刀架職工頸作人質四青少年與警對峙警員轟一槍傷一人三匪聞槍聲喪膽棄刀就擒
page 4	棉花廠三級火警廠房嚴重焚毀一男子被燒傷
page 4	港督今開園遊會慶祝英女王壽辰港九新界卅處有慶祝活動
page 4	港漁船作業東京灣遭越南扣留逾三月漁網等被偷還要寫伙食費欠單船員被囚峴港昨晨隨漁船歸來
page 4	昨晚拉小販兩百街坊圍觀秀茂坪警民起衝突高空墮樽擊中警車調解後人羣散去一少年疑擲樽被帶走
page 4	亞皆老街難民營內兩越南難民被斬警員捕十二難民檢獲一批武器
page 4	丹麥女王抵港訪問明天為嘉士伯啤酒廠主持揭幕
page 6	統籌發展工業教育港府將設立新部門代替教署等安排各種程度課程
page 6	港大學生會教育檢討組建議提高工業教育水準
page 6	氣體燃料出意外澳專家來港調查對死亡事件已呈交報告書
page 6	信和中心商場顧客可獲抽獎
page 6	澳門國際銀行籌得善欵卅萬羅文無線舞蹈員等應邀演出
page 6	英港會計師公會在港推行聯合試聯考分三部分明年初實行
page 6	沙田母嬰院明開始啟用
page 6	八間院校學生組成社工聯會昨舉行成立儀式及會員大會
page 6	市政局及丹麥領事館聯合辦人文科學講座本周三及四在太空館舉行
page 6	百樂勞資糾紛劉千石有談論
page 6	以重建樂富邨為題港大建築系四學生獲得國際性設計獎傷殘者通道設計賽亦有四學生取勝
page 6	增幅約為四成英童學校九月加費加費原因據稱是調整教師薪酬港府亦於下學年開始取消津貼
page 8	角逐足總杯足球賽晉級權愉園埔頭大戰南華中鋒鍾楚維披甲串演告別戰頭場主席杯賽由嘉山精工預備組較量
page 8	愉南開賽前舉行儀式簡煥章向阿維贈金牌
page 8	足總杯足球初賽旗開得勝精工三比一贏東昇古廉權擺烏龍替東昇打破光蛋
page 8	功夫體育維誌創刊號已出版
page 8	一球定乾坤記女單曹燕華洶汰李壽子
page 8	精工贏東昇好像練波愉園拚南華必有激戰
page 8	梁子明昨晚在石澳大營透露愉園今排强陣搏殺南華集宿集訓兩天球員狀態佳
page 8	單車花式訓練今起接受報名
page 8	銀行際乒賽現接受報名
page 8	蔡振華發球搶攻制本格森郭躍華長短棍破舒爾貝克記世界乒賽男子單打準决賽兩場攻堅戰
page 12	銀行高息如再拖延樓宇銷售會更呆滯炒家急於求賣樓價還會稍降另有人謂現時樓市並不如傳聞那樣差
page 12	發展商預測普通寫字樓建費低明年售價跌幅較大中區一級寫字樓價却可望企穩
page 12	競爭接單維持開工工業仍無起色更新設備顯得有心無力
page 12	港金市走勢平淡
page 12	海運貨量進多出少上月入超數額增大中國海洋船運來貨躍居第二位
page 12	渣打滙豐爭購銀行市場人士紛紛談論有人提問如匯豐收購不成如何向股東交代又如何運用該十六億現金會不會多印發股票
page 12	巨額游資陸續流星新加坡市銀根甚鬆兩季中外資流入達四十億新元主要為香港印尼汶萊等地資金
page 12	美匯買賣轉疏落
page 12	中國商船續發展貸欵市場在擴大外國資金出路機會多
page 12	約航去年獲利超過三億美元
page 12	夏季娛樂船隻繁忙容易發生各種意外新西蘭保險指出要加倍防火
