page 1	昨在北京設答謝宴並會記者席爾瓦稱訪華成功保證認眞履行協議葡內閣更迭絕不影響對澳門問題立塲
page 2	關貿審議中國會籍秋季擧行首次會議中國將派團出席就有關問題答疑專家提三原則願以關稅減讓為談判基礎
page 2	春交會今在穗開幕貨品質量花式品種包裝均有改進決加强協調管理保證成交有秩序地進行
page 2	榮毅仁談入股嘉華國泰中信投資香港兩因素促進繁榮與有利可圖國務院批准該公司開拓業務有更大自主權
page 2	中信集團兩方面改革利用外資發展五業務屬下中信實業銀行不久開業
page 2	福建出現寒潮氣温降至五度
page 2	希思抵北京榮毅仁宴請
page 2	西安將增建博物館陳列新出土陶兵馬博物館將增至四家銅馬車已修復
page 2	大陸贈熊貓有反應台報文章建議接納可在香港等地交接並回送珍獸
page 2	穗荔灣退還僑房舉行諮詢服務周為華僑港胞解答疑難
page 2	四一九反安全法民進黨布置示威台當局部署應急總統府前交通管制劃出禁區
page 2	台一軍火庫發生大爆炸
page 2	林洋港談對港聯繫台將看十年再決定
page 2	草委就序言總則條文內容指出基本法須予港人信心應符合聯合聲明精神全國性法律是否適用香港將進一步討論
page 2	新界名稱意見未統一譚惠珠建議用附圖說明
page 2	郵資明信片將發行紀念中葡澳門協議
page 2	穗三家大型賓館安排多種新服務款待春交會復活節來客
page 3	舒爾茨遞交里根函件邀請戈爾巴喬夫訪美蘇領袖不作答謂要有理由才成行蘇外交部形容兩國外長會談氣氛好
page 3	儘管地方選擧遭挫敗日自民黨要員開會決堅持徵收銷售稅並盡快通過預算案俾中曾根按時訪美
page 3	葡萄牙各政黨領袖一致稱讚澳門協議各方利益均獲滿足是最好的協議
page 3	北朝鮮領袖金日成獲蘇頒授列寧勛章
page 3	倫敦專家看好金價昨曾逾四四五元創七個月來高峯
page 3	美母艦尼米茲號在地中海
page 3	在捷克布爾諾博覽會上中國彩電和運動鞋分別榮獲金質獎章兩項展品均獲評委會一致好評
page 3	土耳其申請入共市西歐國家反應冷淡專家謂本世紀內土國難獲加入
page 3	暴風雨肆虐連三天馬爾代夫災情嚴重首都馬累二萬人居所遭水淹沒對外班機取消遊客被迫疏散
page 3	歐洲測出輻射增加疑蘇核電再生意外蘇聯外交部昨否認輻射量增加之說
page 3	雅加達國際博覽會中國決定派團參加
page 3	泰巴士出事翻側一中國記者罹難
page 3	美駐奧使館又出事五名守衞被遣返國駐蘇使館的陸戰隊返國後接受盤問
page 3	德士古仍拒絕妥協不願賠償40億美元認為超過二十億元都不能接受
page 3	各地黃金收市價
page 3	錢其琛會晤羅高壽中蘇昨天恢復會談中國希望雙方就柬問題取得進展
page 3	戈爾巴喬夫會見舒爾茨
page 5	短期租約及特殊用途契約除外新界三萬份土地契約均將自動續期五十年毋湏補地價憲報明天公佈條例草案
page 5	界限街以南契約按個別辦理續期草案不觸及換地權益書問題
page 5	中葡簽署聯合聲明澳門輿論紛表慶賀
page 5	特殊用途契約八百份一般來說可獲得續期機塲地契續約問題在考慮中
page 5	新界須否改名張人龍稱應保留
page 5	張人龍談批地建議按實際需要調整
page 5	中區兩處地方採新交通措施
page 5	少女投訴被姦姐夫昨被落案今將在新蒲崗提堂
page 5	張人龍梁振英贊成地契草例
page 5	行政局昨天開會衞奕信首次主持表示已經開始實際工作
page 5	加註居留權條例草案不影響市民現有權利施偉賢透露六月中完成整個立法程序
page 8	滅罪委會接納反黑報告建議黑人物欲改過自新將獲有關方面特赦試驗一年由有名望者評審要求特赦申請
page 8	脚痛求醫返家出事筲箕灣一名過路婦人慘遭捲入車底被輾死九龍灣與觀塘亦有三男女被撞至重傷
page 8	學童中毒疑案熟食小販被罰先控阻街及售禁制食物罪名
page 8	深圳查獲走私案首季一千四百宗個別港商虛報或冒報進口零部件一港客企圖帶大批假金牛入境
page 8	教子竊奶粉主婦破大財
page 8	尖燒舊男女大門女臨記判監緩刑
page 8	兇徒未獲沉寃待雪滅門四死者今出殯案情疑涉感情糾紛警方正尋一舞女大班
page 8	以膽博膽得手竊匪當眾搬貨竟然無人識破工廠卅五袋原料被竊走
page 8	兩匪擄人劫車掠貨司機由土瓜灣被挾至淺水灣棄下護衞員解庫務署款項亦遇劫
page 9	市政局食物衞生委會主席稱四百間申請牌照食肆超過八成正無牌經營罰款無效當局擬訂法例封閉非法食肆
page 9	市局節約措施收效盈餘億元創新紀錄耗於文娛設施三億元亦破紀錄
page 9	海關人員搜店舖貨倉檢獲萬對冒牌方便鞋總值二百多萬為歷年來最大宗
page 9	警員殉職五年七人一千多人因工受傷凌基理稱警員受家庭壓力大
page 9	港澳碼頭假期辦公
page 9	工人鋸木板鋸斷兩手指
page 9	房委會宴新舊委員杜迪讚揚任滿委員貢獻
page 9	梁定邦昨解釋文娛塲地厠所非公厠收費為觀眾提供服務更可以防止被人濫用及保持清潔
page 10	港隊昨銀禧操練周日力撼中國隊郭家明認為七三波港隊處下風
page 10	穗單車精英賽港澳派隊角逐
page 10	傅瀚洵出席教練研討會稱中國着手培訓奧運羽球員楊陽參加即將擧行世界羽毛球錦標賽
page 10	亞太區分齡泳賽周末在摩池擧行
page 10	足總杯足球爭標戰六月大球塲打日波複賽南荃之戰重編賽期
page 10	港滬單車賽羅兆安奪標
page 10	北韓談八八年奧運要求主辦八個項目
page 10	銀牌籃賽明截止報名
page 10	備戰聯賽硬碰南華東方賽前酒店集宿將作兩塲熱身賽對手未定
page 10	九四年世杯足球賽智利足協要求主辦
page 10	中國隊周五抵港
page 10	男初團體乒球賽元朗勝豐年奪標今晚女團决賽南華內閧
page 13	股市內幕交易違例者晏士廷贊成刑事起訴並認為要在公開資料教育及監管方面配合公司法改革委會成員亦贊成增加處罰方式
page 13	世界其他股票市塲內幕交易亦列刑事晏士廷稱要維持金融中心地位須追隨此做法
page 13	市塲傳嘉道理有計劃擬全面購大酒店股權
page 13	國泰置業擬易名稱國泰城市投資股份一拆二並一送一紅股
page 13	美元利率有上升趨勢銀行家多預料港息會受到影響
page 13	一存款公司註冊撤銷
page 13	港匯指數六十點八
page 13	多種存款外幣再升加元回降英鎊無變動
page 13	美元走勢仍偏軟恒生銀行鍾振東預料
page 13	雷興悟談利率走勢不預期短期內加息
page 13	三日下跌一一七點
page 13	品質企業股份全部完成配售
page 13	陶氏馬婆銳意發展在港投資銀行業務
page 13	在外資沽盤拋售下股市再下跌四十點收市二六六八成交增至八億六
page 14	今年首季貿易署統計顯示輸美紡品配額使用率增部分配額售價上漲六成成本加重利潤削弱走高檔貨路向成趨勢
page 14	歐洲盤入市港金續漲收四○八二元升五十一元
page 14	房地產交易持續活躍新界離島三個物業拍賣全售出興建中豪宅易手作價逾五千萬
page 14	馬克上揚西德車價漲去年十月以來上升一成
page 14	美棉花做價向好每磅價升逾六十美仙
page 14	港市帶頭炒高
page 14	日商積極投資百貨業日資百貨公司將增至十家
page 14	東方海外續擴展業務再租一千二百萬美元貨櫃設備
page 14	出口轉口生意齊增
