page 1	昨在北京招待中外記者錢其琛談中英關係稱逐步在恢復正常英外相訪華將推動兩國關係發展
page 2	朋友越多越好敵人越少越好錢其琛闡述外交政策談中美中蘇中法關係蘇外長訪華將商討江澤民五月訪蘇
page 2	黃菊將任上海代市長吳邦國將任市委書記
page 2	錢其琛盼台灣三思指出台謀求所謂生存空間只能導致分裂並對台灣參加關貿總協定事表明立場
page 2	港澳代表討論李鵬報告沿海開放政策不變對港澳發展很有利方善桂吳康民曾憲梓何厚鏵等發言
page 2	民建中央工商聯宴港澳代表委員榮毅仁霍英東分別發言
page 2	參觀工業技術展有感
page 2	台紅會陳長文抵京商三名保警被扣事中國紅會秘書長透露有關調查完成福州市長說此事依據事實公正處理
page 2	李鵬參加代表團討論就農業政策個體經濟等發展意見
page 2	游德馨談兩岸直航稱閩省已作好準備省內三機場都可使用台應早下決心
page 2	劉華清秦基偉等發言軍界談論國防建設須加强新武器研製遲浩田說海灣戰爭反映現代戰爭趨勢
page 2	鄒爾均談海滄計劃有關細節在商談中希望能早日與王永慶簽約
page 3	將與韓達德商機場問題
page 3	國防經費人均水平低
page 3	法蘇外長將要訪華
page 3	歡迎台當局主張統一
page 3	近兩千各界知名人士參與政協討論李鵬報告就建設大計提建議王光英强調要上下同心協力把握時機
page 3	張學良弟婦在政協
page 3	非中共人士任要職現已有近千二百人副部長法院副院長共九人
page 3	昨會見美華人經濟考察團田紀雲談述中美關係不會因暫時因素受損兩國合作取長補短對雙方都有利
page 3	萬里晤秘魯副總統接受最高榮譽勛章
page 3	台國大臨會召開在即國民黨中常會通過建議包括廢止戡亂條款進行修憲
page 3	粵擬增建三鐵路包括廣州至珠海惠州到汕尾
page 3	李登輝在台北宴大學校長等
page 3	台陸委會任命　然為主任秘書
page 3	宋美齡在台度九一壽辰
page 3	警惕日本軍國主義
page 3	最大的武器出口國
page 3	希望蘇聯局勢穩定
page 3	和平解決國際爭端
page 3	第三世界與反霸權主義
page 3	討論人權問題
page 3	願中美關係順利發展
page 3	中英合作有利香港穩定
page 3	錢其琛在記者會答問
page 4	配備水砲催淚氣裝甲車蘇京部署一萬軍警今武力對付大示威市委稱要帶頭遊行防暴力事件發生
page 4	蘇禁示威
page 4	蘇總統總結六年改革指錯誤出於策略失算强調號召走回頭路也是錯誤的
page 4	莫斯科呈緊張氣氛裝甲運兵車在市郊出現基地司令則說軍車隊只是路過
page 4	世界經濟三大陣營
page 4	貝娜齊爾在巴國否認涉及劫機事
page 4	超越洲際界限的聯合戰術
page 4	海灣戰爭後的世界經濟
page 4	亞太區香港地位重要
page 4	北美貿易區力量龐大
page 4	老撾人民革命黨五大在萬象開幕
page 4	海灣永久停火決議案五常任理事國達共識決議細則有待研究周末仍難作出表決
