page 1	一九八八年杭州對外經濟貿易洽談會開幕誌慶
page 2	戈巴切夫發號施令外交政策不變續與西方合作蘇聯謀求消除核子戰爭災難促成各國改善關係維護和平
page 2	戈巴切夫雖然掌握大權國內問題不易解決承認無法迴避困難改革政治體制實行地方自治
page 2	廣東近來治安有問題深圳開汕頭班車在陸豐三次被劫
page 2	蘇海軍將領反對開放海參威港口此係蘇聯太平洋艦隊基地
page 2	李鵬與金融界人士座談指出銀行業務重要性是宏觀控制重要環節
page 2	六朝風月今勝昔秦淮河重現畫舫方便遊客泛舟秦淮欣賞燈色
page 2	蘇國家第一副主席盧基揚諾夫是法學博士
page 2	美國嚴重罪案上半年增加
page 2	奧運共黨國家勝利證明運動選手應由國家訓練
page 2	現有老人二百多萬
page 2	奧地利人口太少出生率不斷下降增長人口每年接受萬名外國移民
page 2	姚依林訪問德捷兩國
page 2	四川南江最窮困教職人員患病多數無錢治療
page 2	遺傳性高膽固醇血症男性較女性容易罹患能引致心臟病或中風並非不治之症應小心飲食早診療
page 2	油價跌到最低點伊朗譴責石油出口國家組織有兩個成員國增加石油產量
page 2	史太林精神不死
page 3	過去一週收集乘客意見顯示輕鐵班次稀疏服務水平不足候車時間長達廿至三十分鐘接駁巴士未能配合車廂擠迫
page 3	秋高氣爽日麗風和東區走廊百萬行五萬人舉善步美總領事安德遜主持開步禮
page 3	市政局補選議席本月六日投票李詠娜鄒偉雄及鄔欣餘三人鼎立各有競選本錢
page 3	張鑑泉邀請區議員介紹博覽會可行性麗晶酒店今日舉行招待酒會
page 3	食物標籤注明防腐劑
page 3	慎加選擇維護健康
page 3	電腦控制交通年底全面操作外圍裝置安裝已妥
page 3	修路停工行人叫苦承建商與港府糾紛
page 3	華僑日報經濟牌精心貢獻國際投資專欄評論最快最準確是讀者客觀又確實的投資顧問分析貨幣貴金屬利率海外地產與整體投資形勢國際公司動態與評價彙集最新投資線索
page 3	羅定邦捐款一千萬捐贈羅氏信託基金
page 3	鄺廣傑談政制不宜太過複雜劃成多個分區直選產生議員行政首長普遍過程必須簡單
page 3	八八國際華裔小姐選舉港姐李嘉欣奪得了后冠西雅圖小姐亞軍三藩市小姐季軍
page 4	活躍屯門元朗專偷重型貨車偷車拆骨運大陸警破集團拘兩漢探員埋伏丹桂村發現疑匪　車當場拘兩人
page 4	見可疑人物鬼鬼崇崇好市民報警大廈梯間消防喉箱搜出毒品無人被捕
page 4	墮樓洞穿帳篷男子伏屍車斗死者患病久醫不癒相信是自殺
page 4	美麗都大廈今晨又火警
page 4	偷竊化粧品主婦罰五百
page 4	偷竊救火喉咀地盤工人罰款
page 4	自願遺返船民數目增加等待遣返時間政府望能縮短
page 4	七匪劫日本料理店刀斧出齊喊殺連天巡警撞破劫案當場拘四名疑匪
page 4	踢私家車傷人被控英籍工程師罰款賠湯藥兼修車費
page 4	傳呼台女接線生遭人拍裸照勒索男子被拘控判囚三個月
page 4	酒後住所內縱火男子判監管行為
