page 1	立局昨今連續兩天辯論廿一人發言五議員反對預算案指斥加稅助長通脹十餘人則表示支持認為可健全經濟架構
page 2	錢其琛重視英外相訪華顯示中英關係逐步恢復正常中英雙方應該密切協商合作解决香港過渡時期一切問題
page 2	錢其琛希望蘇聯局勢能够穩定改革能够成功
page 2	錢其琛重申外交政策中國願意與各國進一步友好合作朋友越多越好敵人越少越好
page 2	蘇共面臨崩潰
page 2	中國總理李鵬　國家主席楊尚昆和全國人民代表大會常務委員會委員長萬里一齊進入北京人民大會堂　參加人代會會議
page 2	軍委副主席劉華清說中國在新形勢下須加强國防建設
page 2	錢其琛說對海灣危機中國反對用武力力主政治解决中國無需反思日傾向軍國主義中日應警惕
page 2	上　三月二十七日　外交部長錢其琛在七屆人大四次會議第二次新發布會上　就中國對外政策問題答中外記者問下　三月二十七日　李鵬總理參加七屆人大四次會議北京市代表團舉行的第一次全體會議時　認眞聽取代表們的發言
page 2	安理會五强草擬波斯灣和平議案伊局勢不穩南部仍有戰鬥
page 2	鄒家華朱鎔基錢其琛分任副總理國務委員姚依林退休並未出席人代會議
page 2	日本首相希望加强中日合作
page 2	伊拉克起義軍宣稱在北部獲得勝利
page 2	恒生經濟月報分析香港的旅遊業　上恒生銀行
page 2	老戈可能用武力鎮壓反對派示威軍警守衛莫斯科
page 2	波羅的海三國要求獨立布殊促蘇聯積極反應
page 2	財政赤字並非死症
page 2	在海灣參戰的埃及軍隊返回開羅　年僅兩歲的男童沙里赫笑着跳着的歡迎父親凱旋歸來
page 2	蘇聯亂局已成
page 2	六項辦法
page 3	辯論預算案議員有意見檢討狹窄稅基應開徵銷售稅建議設立委會　整體檢討稅制委任民選議員　廣聽民間意見
page 3	個人免稅額寬減二千元未能追上通脹譚耀宗建議應增至五萬八千彭震海說六萬元以上方適合
page 3	錢其琛講香港機場勿使港人背大包袱望與英外相商談解决
page 3	雖對健康有利　干預生活自由大幅度增加烟草稅理由不足亦欠公平議員辯論意見不一有彈有讚剝奪生活樂趣對市民不公平
page 3	汽車過戶費加費驚人張人龍建議比例徵稅
page 3	醫療服務社會福利撥款太少難抵通脹議員建議增博彩稅彌補
page 3	高擧標語橫額浩浩盪盪集會民間團體求遏加風立法局外靜坐請願望修改預算案提高個人入息稅免稅額十萬市民簽名遞交首席議員
page 3	調高公司利得梲無損投資吸引力
page 3	教育經費增幅太少影響未來教育質素
page 3	電訊集團大規模裁員
page 3	危害信心防止依樣葫蘆
page 3	民間團體反加稅潮激烈上　工聯會抗議港府大幅加稅　手持標語在立法局門外請願　下　七十多名新界社團聯會高擧標語橫額靜坐
page 4	脫離黑幫最後機會洗底計劃今日終結
page 4	警方剿懷疑械劫集團何文田破門而入檢兩槍拘八男女
page 4	警方引進新儀器超速駕車無遁形
page 4	八船民申請司法覆核協議終止聆訊港府重新安排甄別資格
page 4	男友傳呼應約並無收取金錢女學生稱首次接客與謝偉豪酒店交歡
page 4	南中國海週邊國家地區產業協作系統的　明珠走向二十一世紀的　香港研究　其六香港浸會學院社會學系首席講師　香港亞太二十一學會會長黃枝連
page 4	筲箕灣中心時裝店少年擲燃燒彈縱火
page 4	赤柱峽道爆水管居民繞道出市區
page 4	健身中心職員酒店墮樓不治
page 5	當局發出五百零四張清拆令限期鰂魚涌一樓宇五十日內清拆僭建
page 5	交諮會新任委員料港督今日公布部份資深成員將告榮休
page 5	圖　鄭偉達稱位於鬧市的樓宇若有僭建物　將嚴重影響市民的安全
page 5	圖　一年後所有僭建物將會清拆　圖中業主自行加建的鐵寵亦不能倖免
page 5	又一愛滋病漢去世感染地點原因不明另三名男子檢驗呈陽性反應
page 5	宮廷祖傳秘方結合現代科學皇帝回春藥餐推出人壽可邁進百卅歲
page 5	台灣憲改僑團反對郝柏村已深切關注在立院强調維護僑胞權益
page 5	委任區議員名單政務署今日公布
page 5	機場泊車收費下月一日提高
page 5	大故障初步調查公布地鐵須檢討維修加强與乘客聯繫
page 5	社署建議增加幼兒暫托中心申請條件盡量降低
page 5	九龍城及北角兩僭建物封閉
page 6	近三十間公司競逐新口岸七幅地開投中方再發聲明重申不予承認
page 6	陳氏宗親總會應邀赴台祭祖
page 6	老人日間醫院擧行奠基典禮
page 6	南北行集團沙田開分店
page 6	全數碼電話系統功能先進可保值
page 6	圖　最先進的全數碼電話系統
page 6	圖　立法局議員陳英麟和陳志斌合攝
page 6	道路　工程　使用及補償　條例香港法例第370章根據第9條規定所發之公告西貢公路豐安村村口服務區建築工程
page 6	道路　工程　使用及補償　條例香港法例第370章根據第8　2　條規定所發之公告工務計劃項目第337TH號　部份收回及修葺海康街及後巷
page 6	道路　工程　使用及補償　條例香港法例第370章根據第8　2　條規定所發之公告工務計劃項目第164TH號前往灣仔填海區之通道分層通道設施分域街行人天橋擴建工程
