page 2	魯案中之鐵路問題
page 3	張作霖到京寓順王府曹錕推病不來京張宣言此次入京係維持金融不干涉政治曹因有川陝軍務無力維持金融故不入京
page 3	美京電膠濟鐵路由中國收回日代表已有允意惟條件太苛現正在磋商中准　十日再議
page 3	美英日法四國協約已簽字但無一字涉及中國聞美議院方面恐尚有阻力不易核准
page 3	徐世昌派劉恩源赴正定請王士珍入京組閣如王不來將請曹錕張作霖親往勸駕
page 3	靳雲鵬準備下台張作霖薦張弧長財政葉恭綽長交通惟總理未定徐世昌力主王士珍交通系組稅說似打銷
page 3	張作霖語入謂挑撥府院破壞金融均屬張志潭主動故張志潭決下台張弧非任財政則長交通
page 3	沈鴻英殘部降直軍不成紛竄平江等處所過焚掠華代表電催匯太會經費
page 3	馮玉祥迭電告捷陳樹藩部傷亡過半
page 3	京綏鐵路風潮擴大西直門亦停車局長擬辭職以平息
page 3	風潮
page 3	曹錕對改組內閣態度殊冷淡有任由徐世昌與張作霖自行協定說
page 3	施肇基顧維鈞王寵惠聯電北京允暫留美維持在國際地位
page 3	管雅泊島問題日美已訂約兩國均得自由使用海電日並允將代管狀況報告美國
page 3	張弧語人謂如繼任財政自有把握
page 3	日代表允交還山東鐵路惟索價三十兆華代表答稱日管理該路已六年計去歲年內贏餘利息已有十六兆日元共計六年獲利已多不應再索價又青島鹽田日代表要求自由出口華代表均嚴拒
page 3	張作霖急速抵京預計勾留半月十五日謁見徐世昌
page 3	靳雲鵬仍留天津曹錕託疾不能入京
page 3	張作霖主張免去張志潭惟靳雲鵬擬並去高淩霨張不允
page 3	徐世昌派員赴正定邀請王士珍
page 3	張作霖擬投資交行千二百萬
page 3	京政府將設直魯豫晉陝經略使曹錕為正蔡勳為副東三省直魯豫兩湖巡閱副使以張作相趙玉珂杜錫珪充任閩浙巡閱使正為盧永祥副為臧致平蘇皖贛巡閱使正為陳光遠或張勳副為馬聯甲或王承斌甘督任馬福祥新督任許蘭洲湘督任張福來
page 3	美京電中日談判膠濟路案中國願以債券買回日仍索抵押品至滿洲鐵路管理權日力爭不肯退讓又電中國代表請廢廿一條款日未表示態度
page 3	四國協定決定十三日上午十一時半簽押
page 3	中國國內外國郵局決定由一九二三年一日撤廢
page 3	上下河鹽商請取銷招商承鹽
page 3	梧州市銀行之難辦
page 3	林永謨催發海軍欠餉
page 3	變賣廣海艦之確訊
page 3	陸豐航政局激動公憤
page 3	北海埠漁民請維持自治
page 3	銀價
page 3	八打威僑商之新印刷品
page 3	風報
page 3	十　月份之刑名案
page 3	建山頂火車橋
page 3	定例局會議
page 6	關　傷
page 6	日代表對勢力範圍　
page 6	中國　發
page 6	會議裁海軍案之經過
page 6	解決中國問題之
page 6	北政府發表魯案宣言
page 6	魯人反對直接交涉之行動
page 6	北京特約記者與　安格　內容　欲　九龍　直是　條約的上　商　
page 6	第三屆國議員對華　會議之通電
page 6	船
page 6	　　月九日京政府命令
page 6	調查戶口報告略誌
page 6	義安公社舉行念五週紀念禮
page 6	撬貨倉行竊案判結
page 6	車夫乘醉截搶又聞
page 6	傳染症
page 6	葡內閣辭職
page 6	雪梨火災
page 6	印度不靖
page 6	英國會議愛爾蘭和約
page 6	緬甸撤銷米禁
page 6	占尾架　拒華人入口
page 7	雪片飛來之雷人請兵電
page 7	查封兩報館
page 7	再續市公安局調查戶口規程
page 7	桂系運大幫槍枝
page 7	解餉赴桂林
page 7	收束援桂粵軍之需款
page 7	裁兵近訊
page 7	請任太永寬為西樵清鄉督辦
page 7	又電控東莞屯田委員
page 7	分發惠潮梅警員來電
page 7	又有緝拿敵黨命令
page 7	黃強何以慰雷民之歡迎希望
page 7	魯案直接交涉之公憤
page 7	市財局發給舊欠款項辦法
page 7	新會縣長不背收受煙賭犯
page 7	發給馬棚崗產價之布告
page 7	鹽務稅關職員薪俸改變銀毫
page 7	籌築江門長堤近聞
page 7	理髮匠停止夜市
page 7	請取銷房捐收大洋
page 7	擬規復糧食救濟會
page 7	香山學界運動會開會之熱鬧
page 7	瑣聞一束
page 9	中日交涉之秘密再續前駐華美使芮恩施秘記
page 9	控毆打案
page 9	好一齣捉姦活劇
page 9	被控行使偽幣
page 9	傢私店究追傢私
page 9	青年會舉行週歲大運動會
page 9	南華選舉職員
page 9	中華聖教育會宣揚孔道又聞
page 9	開平礦務有限公司通告
page 9	漏稅私煙何多
page 9	摩托車又輾斃女童
page 9	被控撬門行竊案
page 9	被控賣當票無牌
page 9	伙伴挾款私逃
page 9	小童摸竊判笞
page 9	摸竊判監
page 12	伍朝樞與蘭　君來電
page 12	　生銀往省要領照
page 12	　　廣西偽幣
page 12	拿獲放火人証
page 12	十四日省議會議事紀
page 12	理髮工會之宣言
page 12	救火會之進行觀
page 12	港商控羅炎賄放要匪
page 12	工務局說明建築領照之佈告
page 12	禁用女招待之前因後果
page 12	新縣長被控何多
page 12	又有死而復生之奇聞
page 12	令拘陳俊周到案
