page 2	孫文兵法
page 3	徐世昌令吳俊陞督奉馮德麟督黑袁金　長奉史紀常長黑東三省巡閱使缺裁張作霖免職查辦　又令趙倜免職查辦馮玉祥督豫劉鎮華督陝
page 3	北京將開全國政治會召集各部署院軍民長官在野名流解決統一國會軍民財政諸問題
page 3	徐世昌與吳佩孚協定裁兵
page 3	辦法先從助張作霖之軍隊人　張　　一　奉軍第一至　　　師汲金　師　廿九師之一　吉黑蔡　混成旅齊占　一　　鄒芬部　師共誘師　　混　旅　另　旅
page 3	傳聞馮玉祥擒趙傑槍斃豫變　傳　傑交趙倜
page 3	吳佩孚通緝邊守靖因偵其敗奉天關
page 3	吳佩孚　徐世昌　查鄭洪年鍾　銘經手帳目
page 3	聞蔣雁　代表　　昌赴保定邀曹錕入京　　小幡　日
page 3	吳佩孚覆　使團直在津行動　臨時緩持瞬將他往
page 3	北　警察廳通緝梁士詒葉恭綽張弧
page 3	張作霖集濼兵約兩師餘直軍扼秦皇島故張　困獸秦皇島唐山間居人紛紛逃避
page 3	薩鎮冰駐泰皇島指揮戰艦握奉歸路
page 3	吳佩孚言已雖贊成促在統一召集國會但應由中央去張我不干涉
page 3	直軍獲械彈馬匹甚夥
page 3	徐世昌十日令趙倜免職馮玉祥督豫劉鎮華督陝馮德麟督吉
page 3	聞　士　閣已定閣員略如前電
page 3	順直同鄉　宣布曹銳　罪請曹錕嚴辦
page 3	鍾　銘辭職已准周家彥暫代財政部長
page 3	徐世昌面懇王士珍組閣珍力辭推周目齊真除但徐　　省督軍來電擁珍故非珍莫屬
page 3	趙爾巽張紹曾王占元孟恩遠八日聯向赴津謁吳佩孚協商解決時局吳主超然內閣及抄沒奉系交系財產充公
page 3	奉訊東三省銀行因張作
page 3	霖吸收免款均被擠兌鮑貴卿請　暫由次長代
page 3	五月　號北京電今　下午與今晚徐世昌　下命令　道免張作霖職查辦　令馮玉祥為河南督軍　代趙倜並　趙聽候查辦又令將張作霖前兼蒙疆經略使一職裁撤蒙古防守事宜直轄內閣　號天津電吳佩孚今晚八時由天津赴保定多數　謂吳離　係　表示伊不願把　政府
page 3	京電徐世昌命令禠張作霖職並任孫烈臣為奉督袁金鎧譯首為　長又接京訊有奉軍電敗兵因無款不能離山海關外交團擬代墊鹽餘　十萬元為解散費又傳直軍中堅現仍駐馬廠
page 3	又北京訊梁士詒葉恭綽張弧住宅已被查封但留存者祇粗笨　十一號上海電浙督盧永祥已致電北京促請招集國民善後會議以解決歷史次戰事不決問題
page 3	吳佩孚向京府索軍餉二百五十萬曹錕索五百萬
page 3	六日向山海關出動之軍艦砲擊關外鐵路帶八日楚有永續海籌艦抵秦皇島
page 3	七日曹錕要求京府下令討伐趙傑京府即經照准並下令　奪趙傑官職勳位解交趙倜看管
page 3	某方面消息吳佩孚在津微露意見以任由奉軍回奉不再窮追為方針對於中國前途則擬一統一南北二取銷南方政府二改良司法四禁止軍人干政五裁撤防礙治安之軍隊並盡力從速恢復交通機關回復種一般形勢之原狀
page 3	九日京院會議決定免張作霖本兼各職聽候查辦以孫烈臣督奉
page 3	王士珍被邀組閣八日謁徐世昌力說難膺重任惟談話中有謂倘必使余為之須照余意力可故忖測王意實非絕對的倘容納其希望　將組閣徐氏現再懇求
page 3	王正廷將於十一日北上
page 3	東京電此間各界以吳佩孚業經戰勝對於其此後如何行動大有研究之興昧十日讀買新聞論云吳氏大獲全勝同時復有無上之機會吳氏處之之道如何即為中國將來禍福之分歧實吳氏與中國國民今茲正當生死關頭固持武力主義是為蹈袁段之覆轍者吳氏此時 為毅然捨棄武力主義實行民主政治計應善用戰勝之地位及機會以軍人不干政為根本原則從事軍民分治裁兵廢督樹立統一政府召法國會諸端因此之故現在無論任何勢力均須並不偏倚並掃除一切恩怨使南北各代表參加從新召集國民會議討論上文所云之根本大計親自擁護此種國民的運動則平和統一之大業達其目的其易將非意料所及吾　為鄰邦中國國民之利益幸福起見切望吳氏自行決定意見選擇應行之道焉十日北京電趙倜擬牽制直軍追擊奉軍致起紛擾北京當局預料馮玉祥無難彈壓
page 3	半官報云北京會議議決時同方針及京閣人物業經報告吳佩孚內容如下東三省巡閱使張作霖免職張錫鑾繼任鮑貴卿督奉吳俊陞督吉王士珍任總理外交顧維鈞財政汪士元交通高淩霨司法董康內務田文烈農商吳笈孫教育蔡元培陸軍張紹曾海軍李鼎新駐英公使顏惠慶
page 3	安徽來電此間傳聞將以馮玉祥督皖人心動搖張文生下戒嚴令
page 3	據傳吳佩孚革新時局之計畫內容如下一廢巡閱使及督軍二裁兵三抄交系奉系重要人物之家產四組織超然內閣五召集醫
page 3	會
page 3	　站起
page 3	孫中山欲　軍政　中央軍
page 3	鹽船罷工　響紙幣
page 3	五仙門附近之軍拉佚
page 3	各處招兵情形
page 3	　　　議長之逐鹿
page 3	西報之廣西消息
page 3	效忠於彼由　往梧
page 3	樂　不倦
page 6	外人與盧永祥談北方戰事
page 6	　報揚英抑張　論調
page 6	京政府對膠路　之準備
page 6	　鬧東　影畫　
page 6	陳光遠請留鹽款被駁
page 6	漁船被擊
page 6	吉　船請入遊船
page 6	槍傷苦力
page 6	實安公民反對豬捐
page 6	顧士士大受歡迎
page 6	英儲離日
