page 2	孫文亦贊成聯省自治目的既同究爭甚麼
page 3	中央電請台省派員赴京討論地方自治
page 3	孫文代表喬某謁黎元洪謂如陳炯明一派去粵孫可下野黎陳與曹錕吳佩孚有聯絡須商諸保定
page 3	三日公使團應黎元洪請在居仁堂茶請閣員相陪甚為融洽
page 3	黎元洪近函電邀請西南名流共發出二十餘件
page 3	聞張作霖尚在備戰將老弱兵士全汰另補壯丁並聘某國軍官數十為助教又在榆關綏中建設要塞洮南附近亦將築砲台
page 3	吳佩孚回洛陽臨行時謁曹錕表明永無攜貳曹引戲辭焦不離孟慰之
page 3	孫文代表徐謙上月廿六日到開封廿九日到保定與曹錕接洽謂孫主聯省自治為解決時局又一說謂孫派代表謁黎元洪允取銷獨立惟粵事不得委陳炯明云
page 3	二日北京國民裁兵會議決請黎元洪履行六日電廢督裁兵另電各巡閱使督軍請其自辭
page 3	黎元洪顏惠慶以張國淦辭內務任農商擬派王毓芝任內務以安曹錕幕府
page 3	曹錕擬派一混成旅赴熱河建平阻奉軍侵入
page 3	聞參陸處決定裁兵辦法甲分三期實行第一期十年一月起　期十三年一月三期十四年一月全國祇留軍隊四十萬人乙劃分七軍區　奉黑吉　直魯豫　蘇皖浙鄂四晉甘新五閩湘贛六兩廣七川滇黔
page 3	近聞滇唐繼堯粵陳炯明湘趙恒惕代表晤吳佩孚言西南堅主聯省自治勸吳讓步否則逆民氣抗潮流西南終不服吳頗為動允疏通議員將來憲法上　以保障一說謂吳亦贊成開各省會議解決
page 3	董康承吳佩孚意請顧維鈞與四國　　團商借四萬萬借款以增收關稅作保未成立以前半年內分期墊交二十萬銀團有允意但須公使團同意故顏惠慶往謁領袖公使使團有允三日開聯席會議取決訊
page 3	七月一號北京電魯案中日聯合委員會之第　部委員開第　天會議日本代表提出實驗公眾物產清冊並　以說明該會議表決組聯合分委員會委員六人審查該報告隨處置青島海關問題亦組分委員會
page 3	又電日使小幡已照會外交部對近日道間島土匪攻擊日本領事署提出抗議伊指明謂日本
page 3	　隊撤退　島中國雖曾擔任維持該處治安秩序今竟發生此無法之事故請中政府答覆對於間島之擾亂情形現設若何方法辦理之等語
page 3	黎元洪徵求廢督裁兵之意見岑春　覆電略謂不辨天下之形勢未可遽然實行
page 3	北京電廿八日黎元洪電請孫中山北上
page 3	天津電以天津為策源地之安福系與皖系及各省地位搖動之督軍暗通聲氣極為活動
page 3	上海電香港海員工會近派前次罷工各　　來滬由工部局請設支部該局不准蔡成勳派代表赴漢口與蕭耀南協議
page 3	東京電間島日本宮憲及僑民因馬賊鎮攻事件要求日本出兵日本政府一拾日閣議　議該項問題以暫時派數十名警吏趕速赴援為目的致電朝鮮總督兼程派赴局子　　春百草溝頭道溝龍井村　處同時著小幡公使將趕派警吏事由通告顏惠慶並堅決定致電附告略謂日本信任中國官憲及其軍隊之能力保護僑民之生命財產完全以不用兵力為方針故須從速　復間島一帶之秩序此後間島形勢愈為險惡僑　生命財產迫切甚為危險時日本不得已而取有意義之處置亦未可知雲雲
page 3	商民仍欲勸魏任省長
page 3	李炳榮代省長說又起
page 3	市民無一不在恐懼之中
page 3	添派陳炯光所部赴梧
page 3	韶城歸客之軍事談
page 3	鹽運使尚未委人
page 3	北軍軍官收容所近狀
page 3	粵局風雲面面觀
page 6	陳炯明覆曹吳電大意主張實行聯省制設立和會　決　督裁
page 6	旁　區域亦限制用水
page 6	關於時局之外電高士賓被擒
page 6	被控恐嚇及勒索
page 6	被控　撻幼女案
page 6	山項醫院求補助
page 6	美國快車意外三號鳥約電有一快車搭載遊客在飛列參非亞至列寧鐵道上每句鍾行七十哩在溫士路站出軌駛於提上約死九人傷七十五人雲
page 6	小呂宋再罷工
page 6	馬克大跌　七　三號倫敦電馬克跌至每磅值一千九百四　現祇有賣家　無買案皆　德國現在局面　致云
page 6	傳染症告報
page 6	美國共和紀念日之慶鬧
page 6	馬孻人遇險得救
page 7	香山軍事要聞彙誌
page 7	河南　　紛建棚門
page 7	米商　繞道運米
page 7	陳永　維持香山　安
page 7	槍決運動粵軍投效之
page 7	洪兆麟督師赴長洲
page 7	粵軍請孫離粵又一說
page 7	警餉發現銀之為難
page 7	財廳　　回承紙幣
page 7	散　業戶契據之善後辦法
page 7	香山蠶桑亦受時局影響
page 7	市立醫院收銀毫
page 7	非陀和尚
page 7	安南　黨之大活動
page 7	瑣聞一束
