page 2	護決戰爭之是是非非四訴　國民
page 3	李烈鈞潰兵陷皖境屯溪秋浦
page 3	曹　　　電推王士珍組閣
page 3	蔡　　　　　報捷泰州萬安遂川均克復　溥攻下贛州
page 3	聞　團與國民方面　注意戰　　　兵變制止實行廢　　理財諸端至於國會開會內閣改組謂係互爭黨　配權利
page 3	農商部派員分赴直魯豫蘇皖調查棉業
page 3	　閣議湯爾　　提議每月教育費二十九萬　增加關稅撥付但關稅　增　但財交兩部負責如不　過則辭職　
page 3	近聞曹錕吳佩孚對張國淦不滿意有人勸其辭職
page 3	王懷慶不願再赴熱河任請裁巡閱使缺改節度使
page 3	黎元洪派董士　赴奉天疏通張作霖發還　稅
page 3	吳佩孚暫緩南下贛　　蔡成勳擔任並令孫傳芳援贛已電蕭耀南接濟械彈
page 3	鍾世銘被押係因接濟奉軍兵餉為最大嫌疑法庭以當時張作霖勢正　赫情有　原祇須將發款收據交出即可釋放
page 3	廿　　財政委員會公決維持內債基金函國務院提出閣議　
page 3	京洛保三方約定京漢路收入吃輸班飯每方收十天但聞黃河橋已過保險年度陸年竟無款可修頗危險
page 3	教育部商財政部將前撥教育準備金鹽餘庫券二兆向六國　行押現款八十萬清理國立　校積欠經費但銀行要財鹽兩署　出證書方允照辦
page 3	廿七日閣議教育經費每月由交省撥七萬元又議吉黑兩省已辦　業收入擬撥半數充數　基金均通過
page 3	吳佩孚電公府謂如顏惠慶決辭閣揆請以王寵惠組閣
page 3	總稅務司安　聯估計關餘除還內　債及各費外本年祗餘一兆回撥充政費
page 3	聞曹元森在法庭供稱毆董康係曹銳　使
page 3	七月廿七號北京電內閣今日會議表決由交通部每月撥款七萬元為教育經費現教育費每月可共得二拾九萬元又決以吉林黑龍江兩省政府森林每月撥出一半為教育基金
page 3	南通州醫學會上呈黎總統反對內務取締內外科醫業規則謂該例過於嚴苛於合格醫生並無獎勵等語查此例規定凡中國人習學外國醫學須得有合度之院所所發文憑方准　牌業醫否則將其醫館封閉如有醫死人或醫理不善者
page 3	將接律懲　　　
page 3	　　魯案　　　　第　第　本代表答覆中國關於合約租約及停止各項　築等提　每　　顯　　　時將厘　提交中國欲　館　能同時　各種文件盡為交　遇中國欲　重要文件最　僅係立刻就地提出至於已滿期合約　中國將　無同等責任關係無提出會議　必要至中國欲日本停止各項建築日本　人之合法建築及工程等現欠能日以強迫停止之然遇害有　合法之建築　　可　絮煩平常法律　續或外　文　交之　為　起見青島行政委員已決定派　出所中日分委員曾於青　理之
page 3	北江將再有劇戰
page 3	葉舉親赴前敵續聞
page 3	湘軍人粵再誌
page 3	利　維持會尚欲請李炳榮作調人
page 3	厘商繳餉之觀望
page 3	燕春臺拘去飲客
page 3	銀價
page 3	風訊
page 3	帆船　之西　
page 3	西報之廣州要訊
page 6	　與湘人
page 6	川省戰　續紀
page 6	澳州通過華府條約
page 6	德國出入口貨之比較
page 6	美國鐵路煤礦罷工近聞
page 6	苦力官慎
page 6	竊案
page 6	銀鏢及鍊招　承認
page 6	　書嗚謝
page 6	傳染症　告
page 6	南華大
page 6	煙未　　　　
page 6	　民政務　告示照錄
page 7	戰事消息別報
page 7	致　　會要電兩則
page 7	　　要　　機關
page 7	粵審招募補充兵
page 7	　利駐軍請領　彈
page 7	日人口中之中山態度
page 7	李炳　　駐　　　司令部
page 7	承領水廳廢艦
page 7	瑣聞一束
