page 2	強迫拉伕之宜禁
page 3	黎元洪令王寵惠代理總理
page 3	顏惠慶一日出京
page 3	褚輔成向眾院告假十天
page 3	金永炎往洛陽
page 3	黎元洪謂吳佩孚堅持武人不干政對閣事未允發表意見
page 3	昨令王寵惠代閣顏惠慶准給假十天
page 3	國務院電催蔡成勳叩謝遠涵　贛省長任
page 3	漢口　景翼部與馮玉祥部三十日在彰德附近發生衝突
page 3	聞黎元洪囑秘書擬命令宣告一退職離京痛責軍閥二廢督令係根據前次各督通電三免吳佩孚蕭耀南職
page 3	聞直魯豫陝鄂蘇皖贛各省擬派代表在鄂會商時局有下月發表訊
page 3	聞政府擬在滬開會議與西南接洽並請東三省加入
page 3	川訊楊森前月十八日午佔綏定第一軍大敗但懋辛逃第二軍十八晚佔大竹獲槍砲甚夥楊森下令停戰
page 3	內閣擬局部改組唐閣緩提董康張國淦均出閣將以孫丹林汪士元長財政王毓芝長農商張英華任鹽政署
page 3	吳佩孚允交回京漢南　惟交部以後不得以京漢津浦兩路車權押借外債
page 3	　省長諸世英電李烈鈞潰　過出發　仍在各處招軍
page 3	已飭知事設法遣散參陸辦事處覆電照准並電張文生派兵協助
page 3	蕭耀南電鄂人拒湯薌銘請蕭兼省長請示辦理聞黎元洪頗憤蕭拒湯自兼擬以去就力爭
page 3	財部已籌到九六公債本屆息金一百八十萬擬即發給
page 3	交通部擬召各路會議取締軍人佔車並商准曹錕分　查車
page 3	昨蘇省代表顧維鈞丁錦等謁黎元洪請令齊燮元回藉守制實行廢督
page 3	吳佩孚迭求黎元洪下令援贛均未許恐中南計自悔扶持非人
page 3	聞京保洛三方面商定二年內假廢督仿民國三年督理軍務辦法并須每省有省長管理民政實行發治二年後實行廢督
page 3	吳佩孚近主通電表揚孫文有功民國並護法偉績
page 3	七月三十號北京電顏惠慶呈請辭職總統祇准給假十天又令王寵惠署理總理
page 3	卅一號北京電奉天吉林黑龍江參眾議員昨日有廿五人到京現兩院報到者已足法定人數
page 3	黎總統昨日致電唐紹儀詢兵允否就內閣總理之職
page 3	聞吳佩孚現薦張紹會為陸軍總長湯銘為海軍總長
page 3	魯案中日委員會第一部開第十次會議日本委員提出關於土地及產業建設因此議涉及山東條約第二十三及二十四兩款會議要點全注重此兩款交意之解釋無結果而散決於下次會議再行討論
page 3	粵軍進攻仁始之戰報
page 3	都爹利街火警續聞
page 3	西報之羊城要訊
page 3	孫中山近狀記
page 3	北江軍　近訊
page 3	清淨局討論開井問題
page 3	帆船罷工近訊
page 6	李厚基出師援粵之所聞
page 6	楊森有帶傷消息
page 6	開審永利源劫案
page 6	張太炎等反對江西用兵電
page 6	朱慶瀾奔走奉粵
page 6	官地投價
page 6	新船下水
page 6	定例局聚會期
page 6	傳染症報告
page 6	東華醫院會議食水問題
page 6	爭水命案續審
page 6	美國鐵路煤礦罷工近聞
page 6	俄國專使首途來華
page 6	德國馬克再跌
page 6	上海船廠准減資本
page 6	煤炭昧來歷
page 6	偷笠衫判監
page 6	影畫誌
page 7	粵軍將有收取孫艦之舉動
page 7	謠傳第三四師獨立之原因
page 7	顏惠慶與西南商榷國是
page 7	戰事消息別報
page 7	粵軍設檢查處
page 7	召集工界代表會議之消息
page 7	續誌拉伕之影響
page 7	自治各省聯席會議消息
page 7	粵軍兵站近聞
page 7	石獅頭大戰貴人初續聞
page 7	汕尾廠分趕製子彈
page 7	香山城近況
page 7	澳門近聞彙誌
page 7	瑣聞一束
