page 2	中國果不能進於軌道乎
page 3	黎元洪已收受王寵惠辭代揆呈文
page 3	顧維鈞不肯繼王寵惠代閣
page 3	吳佩孚電保孫洪伊組閣
page 3	黎元洪電何豐林保護孫文
page 3	國務院罷工已發薪一月可照常開工但各機關援例正在醞釀海部聞亦擬罷工索薪
page 3	王寵惠在醫院目疾外并頭痛不肯力疾出席閣議
page 3	昨閣員入公府會議黎元洪請張紹曾暫代閣張仍卻
page 3	吳佩孚續電京反對唐閣
page 3	日損失三萬元
page 3	外交團調查京奉京綏京漢津浦四路共被軍隊扣車在一萬輛上沿站放置並不運貨
page 3	吳佩孚派代表到保定請曹錕表示對時局態度免為人利用並請通電糾正保洛分離事聞曹已允
page 3	楊森到宜昌仍請孫傳芳繼續援川孫以劉湘退出重慶未允楊將赴洛陽求援聞吳佩孚已令駐陝第七師及鎮嵩軍一混旅出南鄭甯姜進援
page 3	外報載直系代表孫岳接吳佩孚來電贊成孫文宣言主張並謂國會集會應自由行動不受外界干涉等語
page 3	昨王寵惠蘇齊燮元浙盧永祥各派代表到滬謁孫文孫擬日　分頭接洽并訂廿四晚宴請報界
page 3	廿　日午黎元洪宴杜錫珪吳毓麟蔡廷幹磋商解決時局方針大致唐閣聽國會解決吳佩孚不得參加意見現閣仍請王寵惠暫代中央行政疆吏不得干涉孫丹林長內務湯薌銘長鄂並由杜吳轉向保洛疏通政潮漸緩和
page 3	高恩洪廿二日晨返京即到協和醫院謁王寵惠但尚未回部
page 3	財政部長高淩霨仍決辭前傳借款到手上台說不確張英華以無法籌款亦不就代部職
page 3	漢口訊旅鄂川人廿二日電直鄂陝滇各軍停止援川劉存厚又電促孫傳芳援川但孫無入川意盧師宋旅均陸續回鄂
page 3	吳佩孚見空氣險惡語人日予不做總統總理總長督軍省長隨時有發言權無欲則剛
page 3	十七日河南陝州為土匪侵襲搶掠全市之後攻入隴海鐵路局將鐵路人員法人希臘人各一
page 3	孫中山將宣布粵軍將佐罪狀
page 3	李群所部福軍之改編
page 3	將派永豐艦赴汕梭巡
page 3	陳炯明與議員談話記略
page 3	前財長董康二十日抵滬現俟周自齊二十三日抵滬後偕同赴歐
page 3	外人消息陸榮廷劉顯世二十日同乘歐洲輪船赴桂擬乘粵桂方面之不靖圖謀再舉
page 3	據聞吳佩孚昨電駐滬代表孫岳對於孫中山十五日之宣言表同情於其所謂國會自由行使職權及地方自治或縣自治之主張反對以督軍為主體之聯省自治及以工兵為裁兵善後辦法之三項尤為贊同並聞齊爕元盧永祥及王寵惠亦已派代表與孫中山協議又黎元洪代表黎樹昨日起程北上攜有孫中山致黎元洪之書函係述贊助其收拾目下政局之意滬上法統維持會議員昨經議決北上出席國會揣測此事亦係黎曹孫已疏通意見之結果
page 3	民黨某領袖談孫中山不北上雖傳派陳友仁郭泰祺代表入京惟非確定祇係將派代表向曹錕黎元洪吳佩孚答禮亦未決定何人近日雖有曹吳乖離之說但聞孫岳在滬係完全為兩人之代表
page 3	風訊兩則
page 3	史督抵英
page 6	京保洛三方之內閣觀
page 6	又有組織第三政府說
page 6	愈鬧愈糟之皖局
page 6	輪船茶會
page 6	妓婦當街賭博被控
page 6	遊船紀聞
page 6	小錢　案
page 6	本港年報紀要
page 6	駭人聽聞　到期國債本息　年應遠之內外債本息約萬二千五百萬
page 6	賊劫妓婦
page 6	伙伴報告被搶
page 6	南華賽球籌賑續聞
page 6	酒樓賣雞雜被罰
page 6	盜買旅順案之日使態度
page 6	銀價
page 6	教育會籌賑潮災
page 6	被控不修水渠
page 6	馬克又跌價
page 7	總指控處定期收束
page 7	水廳長易人續聞
page 7	令放回被封鹽船
page 7	葉舉　部抽調回防
page 7	袁帶所部已回原防
page 7	自治各省聯席會議消息
page 7	贛軍各省設立辦事處
page 7	高廉軍事消息
page 7	小紙幣之累人
page 7	美國商部次長將來粵
page 7	兵士擺賣　物
page 7	粵軍痛擊
page 7	民軍有平米出賣
page 7	商店呈報打單信
page 7	海軍司令部之卻酬布告
