page 2	中國不能進於軌道乎四
page 3	直系軍官紛電擁王寵惠組閣
page 3	黎元洪令趙倜褫奪原官勳位勳章與趙傑一體通緝
page 3	今日眾院本定決選副議長及臨時動議退回同意案惟民八議員擬今日闖入眾院出席恐開會不成
page 3	湖北麻布局亦被燬損失三百萬
page 3	唐閣同意案星期三未列議事日程王寵惠甚焦灼再呈公府請准辭本兼各職
page 3	張紹曾以對軍閥與政客斷難兩全而政客必欲保留閣員數人已覆黎元洪請另擇人組閣又吳佩孚對張閣恐受政客包圍頗露不快吳意留王寵惠不成則促顏惠慶回京組過渡內閣並擬廿九日赴保定與曹錕商內閣問題
page 3	聞劉成勳已將夔州以下三峽封鎖不准中外商輪經過又派韋某到宜昌修好並聲明川鄂聯防約仍有效孫傳芳雖允電吳佩孚蕭耀南贊同但戒備極嚴聞楊森擬收集殘部以圖再舉廿六日偕孫傳芳由宜赴巫視察
page 3	公府擬授章　炎勳位冀取消聯省自治主張
page 3	吳景濂盧信廿七日謁黎元洪謂唐紹儀有北來意容設法疏通請暫停物色新閣黎領之但各派意見分歧唐閣案又未列議事日程
page 3	聞盧信連日函聘顧問廿餘人昨又函聘楊仲衡何炳森等充商務調查員至實業獎券並不實行停辦
page 3	聞國會方面迎合曹錕意贊成張紹曾組閣但聞吳佩孚堅持孫洪伊說並主不提國會
page 3	王家襄吳景濂請黎元洪聘護法議員為顧問月薪四百元留滬議員得此佳音已紛紛準備北上
page 3	聞梁土詒寓港某行擬提款數十萬為總管理所知已派李鍾楚赴港勸止
page 3	副署蔡成勳督辦贛省軍務令王寵以辭職拒絕現擱置候新閣辦理
page 3	張作霖語人我決不先發難俟某方取得總統時即聲罪致討又宣佈錦州至榆關為戒嚴區域
page 3	直系督軍擬發表反對聯省自治會通電
page 3	周自齊董康已搭澳洲皇后船放洋赴美將由美赴法
page 3	某系政客運動吳佩孚
page 3	陳競存改革軍　之計劃
page 3	省署將從新組織
page 3	陳席儒由香山回省
page 3	劫案判監
page 3	各埠匯款賑災
page 3	港政府再撥款賑災
page 3	發假誓案判結
page 3	政府撥地擴充廣華醫院
page 3	直隸輪擱淺續聞
page 3	海員梁和己執行繯首刑
page 3	五十一司令公讌陳炯明
page 3	沈鴻英仍欲假道回桂
page 3	第一師一團駐防嘉應
page 6	中國政黨之統系觀
page 6	盧信突然到任之原因
page 6	甘長令發表之趣聞
page 6	華商總會同人總聚會
page 6	高恩洪以武力對待京綏路員
page 6	新律師到港
page 6	福州撤銷香港為傳染埠之禁令
page 6	清淨局會議
page 6	青年會賣物籌賑
page 6	風訊
page 6	銀價
page 6	傳染症報告
page 6	女子策進會創辦女子義務夜學之先聲
page 6	軍械案
page 6	來函照錄
page 6	賊案
page 6	打架案
page 7	芳村發現暗殺死屍
page 7	河南之煙賭
page 7	陳德春部隊開赴江門
page 7	魏邦平尚未離省
page 7	省會開第三次特會
page 7	桂省盧林相攻之近狀
page 7	將以翁式亮任邊防督辦
page 7	再誌高審長之逐鹿觀
page 7	省議會舉定省長之通電
page 7	改編降兵之別報
page 7	關於華工卹款之布告
page 7	石龍絲商之不平鳴
page 7	財廳佈告兩誌
page 7	肇慶電船之火警
page 7	馬路有私遺軍火
page 7	瑣聞一束
page 7	南澳法官釋放要犯
page 7	廣州看守所之黑幕
page 7	香山縣長之交通政策
