page 2	陳炯明當從速就職
page 3	財部擬發一千萬國庫券總稅務司安格聯已覆電同意
page 3	國立八校長辭職
page 3	顧維鈞擬照會公使團收回西南關餘
page 3	參議院議決曹汝霖陸宗輿除名
page 3	通緝鄭洪年何瑞章命令今日己下
page 3	顏惠慶回京王寵惠請顏組閣願任司法總長相助顏不允讀欲再休息並望緩發財政委員會長令
page 3	十　日參議院議決盧信辭職曹汝霖陸宗輿均除名
page 3	十三日眾議院議事日程第一案為唐閣咨文吳景濂已連日疏通可望退回
page 3	公府與兩院議長商定自後如民八議員在議場擾亂由議會以法院繩之在院外滋擾即以地方治安法繩之如無滋擾仍和平對待聞保洛亦同此意
page 3	聞段祺瑞派其六子駕良到京將京寓什物一概運津並函陸軍部撤回衛兵津傳段巳於月初赴滬一說謂有新活動一說謂恐奉直再戰牽入漩渦故避往上海
page 3	教育費王寵惠允力籌一月教職員不滿校長再辭
page 3	外部昨正式照復榮農代表允開議中俄問題太平洋商務會議交涉派檀香山領事譚學徐列席
page 3	王閣改代為署因閣員不易支配擬向黎元洪再辭
page 3	張英華擬發之特種庫券電徵安格聯同意安已覆電贊成惟主減輕利息在六厘內實價須九折以上昨提閣議已通過趕秋節前印發
page 3	聞黎元洪擬雙十節在南苑行閱兵禮著陸軍部籌備並聞指定第九師十一師游擊隊操演戰術以王懷慶為總指揮陸錦副之
page 3	粵海軍北歸條件聞已議妥惟要求先發欠餉及指定在港交付部院頗為難已電薩鎮冰北上再決定
page 3	旅京魯人昨向院請願拒絕英人五項要求並取銷梁如浩接收威海衛委員長
page 3	陳競存對於財政之樂觀
page 3	唐少川無出山意
page 3	調兵防許之近聞
page 3	令各軍速攻黃明堂
page 3	澳門近事彙誌
page 3	桂省風雲之逐鹿觀
page 3	警官對於華人自衛之話談
page 3	本港之新建水車館
page 3	卜碌君返港
page 6	國會民六民八之爭持真相
page 6	兩議長歡宴俄代表越飛紀　王
page 6	女權會請願國會
page 6	改良路政之進行
page 6	偷酒判監
page 6	摩托車輾斃案
page 6	石底煤之銷場
page 6	新裁判司
page 6	攔途截搶
page 6	勒索嫌疑被捕
page 6	東華醫院聚會
page 6	傳染症報告
page 6	一日之雨水
page 6	銀價
page 6	懷有利劍判監
page 6	煙案
page 6	毆傷案不敢到堂
page 6	竊案
page 6	新戲院演新劇
page 6	影畫誌
page 6	星洲總督到小呂宋
page 6	長春日俄會議
page 6	小亞細亞戰雲
page 6	限制製麼啡
page 6	美國木船之價值
page 7	陳度儒再促陳炯明就職
page 7	省會咨請陸孟飛遞補遺缺
page 7	陳炯明飭憲兵糾察軍隊
page 7	黃福芝署水警廳長消息
page 7	醞釀中之學潮
page 7	擬設軍官請習所
page 7	續辦粵軍屬官研究所
page 7	南屬絲廠被劫案
page 7	軍人圍困警署
page 7	煤炭工潮近誌
page 7	香山縣城之搶案
page 7	鶴山僑商質問李一諤
page 7	瑣聞一束
