page 2	總工會合併問題
page 3	成都來訊
page 3	廿七日閣議
page 3	中東路定三月起改收華幣
page 3	淩文淵決辭財次長以蘇錄第繼一說張英華繼
page 3	吳佩孚催交通部速築川粵漢鐵路
page 3	楊森兩路攻川一由忠州窺培陵二由大察攻綏定
page 3	京師警廳諭書坊勿售過激書報
page 3	關於孫中山對北計劃之談話
page 3	段祺瑞經靳雲鵬王揖唐力勸有已允出山訊靳王預定計劃聯合直奉段三派曹錕任正總統盧永祥副段祺瑞組閣張作霖恢復東三省巡閱使職先統一北方然後對南議和
page 3	駐閩海軍陸戰隊以馬江公民名義舉藍建樞為閩總司令擬擁藍進佔福州商會調停無效閩局恐有變化
page 3	法退還庚子賠款眾議院擬廿八日提議致謝並明訂用途又定廿八日議金佛郎案三日議黃郛外長同意案
page 3	黃郛因旅大交涉催汪榮寶速赴日使任
page 3	張作霖泒冷　來京協商防俄
page 3	張紹曾新定計劃一與國會提攜二由參陸兩部籌議明令宣佈裁兵限期三信任吳佩孚注意江防積極對南四十二年公債增額重訂
page 3	聞川省內訌已息有合力抵禦楊林訊
page 3	議員駱繼周質問黎元洪下尊重約法令何意
page 3	吳佩孚擬派顏啟漢溫雄飛慰勞沈鴻英軍
page 3	李根源有充片馬劃界專員訊
page 3	內閣擬撤回十二年公債咨文眾議院不允祇允修正
page 3	參議員黃元操擬照眾議院劾彭允　
page 3	外交部咨公使團由關稅年提四十萬充上海棉茶絲肉四項出口檢查所等費
page 3	滇軍毀報毆人續誌
page 3	李烈鈞又回汕頭
page 3	黃強往謁沈鴻英
page 3	沈軍移防尚在磋商中
page 3	上海銀行聚會續誌
page 3	西報所載之西江近訊
page 3	油麻地　崙街劫案續聞
