page 2	節儉與人生
page 3	何豐林張載揚齊燮元電留張閣
page 3	保洛電仍催發孫傳芳督閩沈鴻英督粵令不提及張閣辭職事
page 3	保系閣員通電謂孫督閩沈督粵令不足為和平障礙並謂並無取代張閣意
page 3	趙月修返粵結束緝私艦欠餉
page 3	政府巳通牒日本使館
page 3	宜昌來訊楊森部已佔夔府及萬縣
page 3	內閣昨日下午遞第二次辭呈黎洪元已即晚將書退還
page 3	張紹曾二次辭職黎元洪仍將辭呈退還張九日提出閣議保系閣員不到外交黃郛財政劉恩源教育彭允　司法程克與張一致十一日再議決定去留
page 3	蘇齊　元滬何豐林電京挽留張紹曾齊並允電孫文責孫背約建帥府
page 3	吳佩孚電張紹曾謂任孫傳芳沈鴻英非用武力孫文稱元帥豈為和平又謂破壞和平孫應負責末言無倒閣意勿誤會
page 3	撤廢廿一條照會九日送日使內容略謂此約由日脅迫並未通過國會去歲華會經我國聲明取消且此約性質與華會精神衝突將為破壞和平導線故當根據國會議決及民意取消之以維持中日睦誼並由駐日華使咨達日政府
page 3	津派陽勸張紹曾勿辭職韶關預備組織繼閣但張得津留已有緩和意
page 3	張紹曾自認對內主和平對
page 3	外正議收旅大可延譽自固
page 3	外部以協商取銷廿一條情節重大再催施肇基顧維鈞汪榮寶各回本任
page 3	許崇智王永泉臧致平通電誓死拒孫傳芳入閩
page 3	奉軍集中瀋陽鐵嶺直方良鄉駐軍進駐榆關又成對峙形勢又奉聞直增喜峰防軍開緊急會議亟謀對付
page 3	李錄有京師警察總監希望
page 3	九日十一日吳佩孚仍電催發表孫傳芳督閩沈鴻英督粵令謂事當速決勿疑彼預有把握一個月內必底定廣州釜底抽薪關係大局至鉅
page 3	齊燮元擬調停孫文勸孫離粵
page 3	旅京粵同鄉會議不贊成粵開黃埔埠借債
page 3	滇助劉世顯回黔有已逼近貴陽訊
page 3	魯田中玉熊秉琦競爭愈烈
page 3	張紹曾擬上辭呈如不准則改為維持十日政系閣員李根源彭允彝主拆台益友系主維持議員陳中等質問內閣不應辭職但孫系議員以張擬發通電誣孫文僭設帥府圖亂湘滇大起詰責張因擱電未發現內閣有局部組說
page 3	日對撤銷廿一條照會取何態度至十一日午外交界尚無所聞
page 3	兵工製彈廠盡為滇桂軍所有
page 3	那打素醫院女看護罷工
page 3	　搜獲大幫軍火
page 3	孫文借澳款之西訊
page 3	楊西嚴又欲辭職
page 3	許軍回粵之波折責令洪翁讓道
page 3	金庫券已發生爭端
