page 2	日人已絕我矣我國民其能膜視耶
page 3	日拒廢廿一條覆文送到外部仍發十五日閣議通告但高淩霨劉恩源吳毓麟赴保恐閣議又不成張紹曾往問高病請高出席
page 3	孫傳芳代表謁張紹曾謂已與薩鎮冰王永泉臧致平接洽薩長閩臧任閩南總司令王任閩北總司令孫任贛閩邊防督辦共同對粵勿下督閩令保定電張紹曾亦改變態度注重對粵免回盧永祥樹敵不再催孫沈兩令
page 3	撤銷廿一條復牒十四日由小幡送外交部同時日外相亦同式照復駐日中國公使拒絕廢約
page 3	公使團訊各國以中國內亂故對二十一條交涉均冷靜態度
page 3	張閣形勢仍不佳黎元洪十三日召李根源面挽留勸各員十五日務出席閣議是晚張宅會議高淩霨劉恩源吳毓麟未到黃郛仍主堅辭李忽主暫時維持張紹曾言俟系閣員高劉吳表示態度再議
page 3	張紹曾系議員聞靳雲鵬顏惠慶繼閱說決借金佛郎案劾顏借參戰案劾靳先發制人
page 3	眾議院以吳景濂攜妓鬧店決提懲戒但吳已商允東方飯店主登報辯白
page 3	馮玉祥雖愈以政潮險惡仍擬留院一星期
page 3	保定議任馮玉祥為察綏熱三特別區巡閱使留王懷慶任衛戍司令
page 3	孫傳芳現駐南城俟命但前部已進駐全甌
page 3	護法議員紛到天津各組俱樂部觀望時局再定附南與否
page 3	張紹曾有允暫維持一月待吳佩孚兩星期平襄閩粵訊
page 3	奉直兩軍在榆關各掘戰壕備戰形勢緊張但張紹曾尚否認奉直將決裂
page 3	奉訊張作霖催孫文北伐允俟孫動即入關
page 3	魯陝均電張紹曾詆孫文失信重組元帥府請討孫
page 3	鄂公團反對提用鄂餉械征川入閩助黔但吳佩孚置不理
page 3	聞吳佩孚接黔電黔得械助已能拒滇粵閩川又形得手頗自豪
page 3	許崇智回粵之途程
page 3	孫中山仍未移出農場
page 3	駐汕艦隊未能歸隊
page 3	安暹米行因米輪被劫通電
page 3	黃恩錫被唐繼堯槍斃
page 3	善界維持柴荒續聞
page 3	廣州市民有絕食之憂
page 3	永平輪被劫續聞
page 3	吳佩孚代表來粵
page 3	永平輪船被劫續聞
page 3	郵政新章
