page 2	粵局的波瀾
page 3	林俊廷電報就省長職又另電述裁兵意見政府均電獎
page 3	張紹曾已回京鋪張與曹錕會晤之結果倒閣派詆為虛張聲勢
page 3	被毆議員張昇雲之女在眾議院門前哭罵吳景濂包庇兇犯
page 3	京傳滇對北提出條件一實行聯省自治二對川無野心三黔有地域歷史與滇有關當取滇省意見四北方與西南接洽不能單以孫文代表西南
page 3	張紹曾到保定與曹錕商定對奉計劃維持現狀以海軍
page 3	獨立事由李鼎新杜錫珪齊變元商辦對內閣張自疏通國會如能局部改組將著名壞者淘汰更好對統一苟南北各省均肯派代表任何地開會均可
page 3	顏惠慶覆張紹曾金佛郎當案予任未決王寵惠任決用紙法使照覆認為拒絕請將法使復王閣照會公佈
page 3	京傳孫文以廣九路借英款六兆保定電京向英使阻止
page 3	美僑憲政會趙萬勝等中華會館梅宗周等電京請任徐勤長粵救民
page 3	川西北各軍聯合抗楊森
page 3	張天驥電京孫洪伊表示欲孫文下野但須吳佩孚先放棄兵權
page 3	十五日財部續匯寧海軍餉五十萬
page 3	陳籙電京法政府決還廣州灣
page 3	蕭耀南十八日赴洛祝吳佩孚壽並議川省善後
page 3	周蔭人部李旅開赴蒲田福州各民軍在聞孫傳芳迫令繳械十五夜投馬江降劉冠雄
page 3	魯大公司十五日成立舉靳雲鵬為總裁潘復副總裁田邊勝經理
page 3	但懋辛又反攻重慶張允明十四日電鄂戰事吃緊趙榮華佔十里坡現在頭陀寺激戰盧金山急派兵往援
page 3	劉恩源張壽　運動新銀團墊政費六個月每月二百萬由二五加稅扣還銀團允墊但要求一承認該銀團二鹽餘由該銀團支部扣款三印花鐵路餘利概在監督範圍財部又欲吉會借款展為五千萬
page 3	京傳山海關方面巳有軍事衝突
page 3	十六日午張昇雲女謁吳景濂言語衝突吳批女頰女追至眾議院在門外哭罵
page 3	成都尚未下劉成勳仍死守被陝甘軍圍攻
page 3	十六日閩城軍隊藉拉伕大掠各商店罷市莆田有已開戰訊
page 3	孫傳芳定十七日就職
page 3	劉冠雄電滬艦請堅持聯省主義滬工界通電贊成滬艦行動
page 3	海軍部代表十六日在海軍聯歡社昭林建章允以後維持餉項請取銷獨立林嚴拒
page 3	十五十六兩日之戰事詳情沈軍已完全擊退
page 3	滇沈兩軍戰事續報
page 3	陳永善近狀
page 3	捕獲命案嫌疑犯續聞
page 3	食水再施限制說不確
