page 2	廣州政局的投機化續靜
page 3	吳佩孚電參陸處稱楊坤如大有可為自後械由洛陽撥餉由中央匯倘楊能平粵即畀以督理之職
page 3	張紹曾咨催眾議院投外長顧維鈞同意票
page 3	黎元洪令張英華署財長係張閣以全體辭職要挾黎遂蓋印
page 3	交長吳毓麟赴臨城劫車處視察
page 3	參議員張光煒因劫車提案曹錕吳佩孚擁兵縱匪應嚴懲
page 3	奉直議和條件張作霖要求恢復蒙疆經略使及巡閱使廿七八師餉中央擔付三省長官張作霖得自行任免直提對案准復巡閱使不復經略官吏由中央任免罷張學良楊宇霆鹽款解京扣車放還現兩方條件距離尚遠
page 3	吳佩孚因劫車案被議員提案攻擊謂議員係受張紹曾嗾使決拆張台惟張態度極強硬決不下台決定如閱員星散即以次長出席劫車案未結前閱可暫全
page 3	吳佩孚電曹錕懇王士珍出山
page 3	吳佩孚因臨城劫車案有含政治意味恐敵嗾豫匪仿擾京漢路舊事故急電胡景翼為京漢南段護路司令胡因此十一日到漢晤蕭耀南吳並嚴防隴海路
page 3	十二日閣議高淩程克仍不到張競仁辭財次張紹曾慰留閣次催眾議院速投顧維鈞同意票
page 3	十一日黎令馮玉祥蒙疆督辦張紹曾催馮赴任馮要開拔費三百萬
page 3	福州訊王永泉公文仍用軍長舊銜惟咨孫傳芳方則用幫辦銜故王永泉臧致平秘密聯絡說或非盡誣
page 3	傳盧永祥接王永泉密電孫傳芳兵寡請盧速催李烈鈞臧致平許崇智會台攻孫王願內應
page 3	府擬換魯皖兩督保定已同意但吳佩孚主留田中玉齊燮元亦保留馬聯甲
page 3	張紹曾送張英華長財令至府黎元洪拒不蓋印吳景濂乘機保荐邊守靖惟黎屬意張壽楠
page 3	使團質問劫車案限期已滿匪原允十一日釋被擄外人惟匪疑係何鋒鈺鎮使設陷忽反悔交長吳敏麟十二日晚親赴臨城劫車處巡視田中　十二早亦抵臨城匪要求官兵撤退五十里並留嶧費滕等各紳商作質並發餉一年田中玉派賀旅長入府報告洋顧問安特生亦入府對匪條儘量容納定地點議洽二十晚雖不能盡釋決不至久延外部懇領使寬限另訊匪與田中玉有宿仇如停剿罷田雖無贖款亦必釋各被擄者又訊匪因被何鋒鈺軍圍困無逃路故謀引起大交涉以圖　毀何但匪用山東建國自治軍旗號故有疑劫車案含有政治臭味者使圍已暗中偵察如得確據則牽涉必大現何鋒鈺仍主力剿
page 3	政局變化之前因後果
page 3	北路軍事之餘聞
page 3	北路聯軍紛紛調省
page 3	新會人戒嚴
page 3	資本派恢復政權之運動
page 3	王棠被拘餘聞
page 3	泰順輪船被劫駭聞失贓六七萬斬傷大伙及水手
