page 2	孫章政見之異同三
page 3	大選會出席四百十人流會擬下星期三日再開
page 3	張勳在津逝世
page 3	吳佩孚以三旅一師援湘已下動員令
page 3	閣議通過添編八師國軍沈鴻英為十七師長鄧錫侯陳國棟潘文華唐　遵為三十至三十三師長袁祖銘為三十四師長彭漢章王天培為黔軍第一二師長
page 3	留滬議員十二日開談話會黎元洪初欲出席宣佈南下宗旨嗣因談話會依例不能旁聽即使議員仍認黎總統資格但總統出席談話會亦無先例可援故中止
page 3	黎元洪離津時原約段祺瑞孫中山同到滬合組政府採委員制黎棄總統與孫段張作霖同充委員段意尚審慎惟李根源謂段將繞道奉天來滬至孫中山則須待東江戰事結束方來張作霖則祇遙領不來
page 3	黎元洪謀組政府以急唐紹儀已允任內閣總理兼外交總長褚輔成長內務章士釗長教育李根源長農商惟黎拾二日宴西南代表奉代表不贊成組政府浙代表則須徵盧永祥意見其餘各省代表均無表示滬商界對黎此舉亦極不贊成因恐黎組政府後必招江浙戰禍
page 3	拾　日滬議員談話會議決對黎元洪只認公民資格
page 3	京議員劉景農致函吳景濂謂十日預選我並未出席乃有人冒簽我名故十日會應無效馮振驥字兆年張瑾雯李汝翼皆因被冒簽提出詰問
page 3	十二日選舉總統議員到者
page 3	只四百十四人不足法數流會吳景濂定十四日再開選舉會
page 3	拾一晚出京議員廿餘人惟同時由王承斌等派員送回之方鍋亦有廿餘人來去人數適足相抵吳景濂言仍須設法拉補湊數雖不能湊足三分二法數亦必能得過半數津派臨時動議改以過半數為當選
page 3	津派查得有種議員乘三等車往來京津滬三處領款京津滬三處均有其名
page 3	院擬通電各省區謂攝政期滿總統未選出望各抒意見意在使各省贊成大選
page 3	吳佩孚對津派請其發表時局意見主張昨覆電略謂為大帥策安全久遠對大選宜聽其自然
page 3	交部密飭電局黎元洪發電不論明密碼一律扣留
page 3	曹錕因黎元洪已南下決即入京致遲雙十選舉不成即由直系擁戴登位據政系宣傳吳佩孚最近主雙十前如總統尚難產生則仍宜擁黎為掛名總統
page 3	廈訊粵軍封鎖廈門港口以困臧致平致廈門糧食斷絕領事團極力反對
page 3	吳佩孚電沈鴻英謂援粵備嘗艱阻請兼任十七師長
page 3	武長路不通湘鄂雙方各扣車輛運兵戰機已迫鄂南戒嚴
page 3	曹錕電財部川湘粵戰費至少須四百八十萬速籌撥張弧無法
page 3	交部覆煙台商會煙濰借款無其事但未提滄石借款則其事似確
page 3	十二日京蝗飛蔽天日
page 3	張謇元十三謁黎元洪勸審慎勿遽組織政府
page 3	上海領事團以非正式通告
page 3	粵閩湘戰事懸談粵局生死關頭在最近十日內
page 3	平山劇戰後之惠州形勢
page 3	廈門西訊
page 3	再報風警
page 3	謝贈月餅
