page 2	我欲問問何謂保證
page 3	外交團以孫文扣留海關稅款向孫警告
page 3	北歸海軍因欠餉四十萬未照給又歸停頓
page 3	唐繼堯現正積極援川近忽傳唐提北附條件唐為滇黔巡閱使兼滇長唐繼虞黔長兩省不設督理軍民長官由唐荐任中央命緩解兩年欠賦等語但駐京滇代表否認有與中央接洽此事
page 3	使團警告粵政府扣留關餘
page 3	之公文由領袖公使辦稿江日三日已脫稿拍發內容略謂如不將粵稅關恢復則債權國得執行相當處置
page 3	沈鴻英令鄭右文何才傑鄧瑞澂由桂邊分道入粵
page 3	趙恒惕急謀恢復省務院
page 3	周朝武反攻益陽常德賀耀祖已棄益陽陶忠洵亦有反攻安化訊趙恒惕調葉開鑫胡念先會攻
page 3	楊漢烈暗聯高義願讓溪尾楊部陳錚反對現安溪由陳維持拒王永　又訊民勞勸高義驅王永　高允民軍能奪取洪瀨彼即加入會攻王永泉蕭耀南兼鄂長久暫仍候吳佩孚決定
page 3	唐在禮以護路軍不敷調遣請增加由彼自練
page 3	奉直和議將從撤榆喜兩處防軍入手
page 3	湯薌銘兼督辦武陽夏商埠為停調鄂省長問題
page 3	二日趙恒惕代表江雋謁曹錕談甚久
page 3	水口礦罷工係軍工誤會現已解決
page 3	反吳景濂派原定以硝鏹水注吳經吳發覺故未果
page 3	吳景濂本定三日開會有人調停暫緩如成會孫閣必通過孫已著手延攬閣員
page 3	一日夜反吳派請王毓芝籌費霸縻中立派但小孫派因王湘不得參議院長勸牟琳等與吳和好
page 3	曹錕獎財部裁員得法閣議因決一星期內各部一律裁竣但以眾議院出席人數漸多孫閣有成立希望故高淩霨對裁員事擬俟新任辦理
page 3	王克敏乘各省祝壽代表集京二日開會邀各代表列席報告財政情形交通部員言路政年不敷四十五兆電政不敷六兆故開會議
page 3	昨晚夜船專訪稿未到
page 3	清遠縣城罷市之一瞥
page 3	聯軍入駐後之石龍
page 3	惹人注目之趙某重婚案
page 3	港督宴會法提督
page 3	福州西訊
