page 2	孫寶琦王克敏經接商妥協王已允就職
page 3	有張國淦任教育部長說
page 3	馬濟陸廷均有電請餉
page 3	馬聯甲十九日電稱如任皖財吏非徵同意不可
page 3	吳佩孚電路政局索魯全省路線圖議興兵工魯籍議員以吳對魯事橫加干涉電吳質問
page 3	劉湘楊森佔銅梁大足袁祖銘進攻安岳鄧錫侯陳國棟克安居潼南川北戰事緊急吳新田王鴻恩下廣元劍閣昭化梓潼等處進抵綿陽境成都危急
page 3	趙恒惕將劉敘彝田鎮藩改編兩混旅
page 3	李耀漢在湘與趙恒惕馬濟商編舊部協同方本仁沈鴻英唐生智援粵
page 3	十九日閩商仍決反對貼印花
page 3	閩北大軍雲集糧食價漲兩倍臧致平允商會月繳餉十三萬元免除一切苛捐商店十九日開市
page 3	京銀行界反對崇文門稅發公債贊成發庫券
page 3	王克敏有廿二日就職說
page 3	民治社決組大黨與憲政黨抗
page 3	奉吉黑湖滇黔川粵湘桂議員合組甲子同志會
page 3	八使駁金佛郎案照會廿一日午送出措詞尚婉惟詳舉用金理由
page 3	交部電廣九路監督溫德章稱款絀無法協助請就地籌借
page 3	劉存厚在渝力僅兩團利用楊森劉湘進取某實力派主川局稍平時擇較有力者督川以護軍使給劉
page 3	省銀團劉尚清等八人赴美考察圜法
page 3	東北江戰事與財政問題
page 3	二十廿一兩日國民黨大會紀聞決定織組民國政府孫中山以棚廠譬國民黨又謂反革命派聰明過于俄羅斯
page 3	廣州旅港米業買手團宣言書擁護本團利益
page 3	羊城西訊
